,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板_含一字,BK1051,20046.44,1305.61,6.97,78609891000,12.76,14,1,中嘉博创,10.09
1,2,昨日连板,BK0816,91.74,5.15,5.95,58065476000,16.01,9,1,菲林格尔,9.96
2,3,VPN,BK0885,1188.79,42.11,3.67,308449456000,6.7,16,2,南凌科技,19.99
3,4,赛马概念,BK0709,743.11,16.86,2.32,11717439000,7.51,2,1,海南瑞泽,7.49
4,5,民爆概念,BK1066,1348.05,28.6,2.17,172176564000,2.56,15,2,高争民爆,6.56
5,6,昨日涨停_含一字,BK1050,645.31,11.98,1.89,619199376000,11.97,45,31,中嘉博创,10.09
6,7,滨海新区,BK0566,10327.96,179.84,1.77,205155635000,2.98,11,8,海泰发展,9.95
7,8,草甘膦,BK0950,1563.4,24.33,1.58,163748636000,1.72,10,3,扬农化工,5.18
8,9,房屋检测,BK1179,1325.17,19.43,1.49,209900586000,2.68,29,8,重庆建工,9.88
9,10,肝素概念,BK0944,945.71,13.75,1.48,229449537000,2.61,7,5,常山药业,15.12
10,11,供销社概念,BK1109,1094.72,15.95,1.48,133346683000,1.7,12,2,湖南发展,9.98
11,12,昨日涨停,BK0815,2003.45,28.87,1.46,601972912000,12.32,40,31,华体科技,10.01
12,13,F5G概念,BK1088,2279.38,32.68,1.45,544268576000,1.31,17,4,剑桥科技,7.84
13,14,东数西算,BK1064,1566.15,21.85,1.41,1015746608000,2.86,35,17,南凌科技,19.99
14,15,小金属概念,BK0695,2451.19,33.59,1.39,2810666032000,1.48,71,32,湖南白银,9.89
15,16,长寿药,BK0936,1036.62,13.85,1.35,137136447000,5.19,9,4,银禧科技,8.23
16,17,ST股,BK0511,6133.23,79.94,1.32,673740624000,2.13,123,40,ST峡创,8.4
17,18,油气设服,BK0606,1741.03,22.19,1.29,1762493728000,1.59,36,10,仁智股份,9.98
18,19,氟化工,BK0690,3230.0,40.1,1.26,580935968000,1.11,22,6,永和股份,6.56
19,20,噪声防治,BK1082,1367.63,16.81,1.24,34738910000,5.43,7,1,天铁科技,6.97
20,21,刀片电池,BK0951,2160.78,24.04,1.13,1214583632000,1.85,8,3,德新科技,10.04
21,22,BC电池,BK1148,783.63,8.64,1.11,327760032000,0.94,8,13,杰普特,12.18
22,23,化工原料,BK0512,21379.49,235.03,1.11,1079862704000,1.81,51,19,渤海化学,10.1
23,24,智慧灯杆,BK1069,1437.59,15.57,1.09,121574862000,2.99,17,7,华体科技,10.01
24,25,稀缺资源,BK0519,22289.18,238.94,1.08,3105787872000,1.22,65,9,贵研铂业,6.62
25,26,HIT电池,BK0908,2028.48,21.24,1.06,532442752000,1.22,22,15,航天机电,10.06
26,27,PVDF概念,BK1012,826.62,8.6,1.05,267805592000,1.7,9,4,永和股份,6.56
27,28,海绵城市,BK0724,977.6,9.98,1.03,282782048000,2.37,22,13,海南瑞泽,7.49
28,29,国资云概念,BK1008,1534.78,15.5,1.02,375663408000,3.94,11,7,美利云,10.04
29,30,微盘股,BK1158,2499.03,25.02,1.01,827935728000,3.44,312,78,华体科技,10.01
30,31,磷化工,BK1010,684.36,6.42,0.95,714976048000,1.41,34,9,洛阳钼业,3.97
31,32,黄金概念,BK0547,13777.84,130.33,0.95,1876269088000,1.99,42,23,湖南白银,9.89
32,33,煤化工,BK0492,9169.87,85.01,0.94,2319082816000,0.86,55,13,丹化科技,10.16
33,34,地下管网,BK1058,1008.85,9.12,0.91,306928704000,1.82,33,13,金洲管道,4.93
34,35,超导概念,BK0679,4469.46,39.35,0.89,248464309000,5.69,8,7,百利电气,9.96
35,36,汽车拆解,BK0943,1104.57,9.46,0.86,253820425000,2.09,11,6,浩通科技,11.72
36,37,商汤概念,BK0942,1190.11,10.14,0.86,470066928000,1.36,10,4,星宸科技,4.07
37,38,磁悬浮概念,BK0975,1760.72,15.09,0.86,705380688000,1.07,18,9,华伍股份,8.26
38,39,装配建筑,BK0945,973.53,8.17,0.85,1379420064000,1.03,61,22,重庆建工,9.88
39,40,存储芯片,BK1137,1302.17,10.88,0.84,1021555328000,2.52,33,23,大为股份,10.01
40,41,页岩气,BK0603,2057.04,16.75,0.82,2585613376000,0.28,20,10,中洲特材,6.26
41,42,复合集流体,BK1113,812.03,6.61,0.82,203966356000,2.46,14,13,宝明科技,10.0
42,43,低碳冶金,BK0979,891.76,7.09,0.8,294308960000,0.38,7,0,首钢股份,1.72
43,44,环氧丙烷,BK1011,595.51,4.51,0.76,444059056000,1.17,12,6,永和股份,6.56
44,45,LED,BK0580,3233.06,24.51,0.76,1269982992000,1.48,55,38,华体科技,10.01
45,46,新型城镇化,BK1080,951.11,6.97,0.74,443090896000,3.66,68,29,重庆建工,9.88
46,47,CPO概念,BK1128,2553.73,18.71,0.74,1201121168000,2.77,26,15,剑桥科技,7.84
47,48,数据安全,BK1047,989.12,7.15,0.73,971166672000,2.61,53,27,南凌科技,19.99
48,49,MLCC,BK0890,1909.33,13.45,0.71,198660433000,1.93,7,7,博迁新材,5.64
49,50,水利建设,BK0597,1690.62,11.8,0.7,2025805872000,1.66,65,29,湖南发展,9.98
50,51,腾讯云,BK1189,891.64,6.18,0.7,563863312000,4.38,12,10,二六三,10.05
51,52,猪肉概念,BK0882,1291.69,8.93,0.7,802450176000,1.18,25,7,罗 牛 山,8.36
52,53,锂矿概念,BK1173,1123.0,7.57,0.68,2396442848000,1.01,22,14,大为股份,10.01
53,54,京津冀,BK0684,1635.86,10.91,0.67,575732544000,1.72,33,17,海泰发展,9.95
54,55,WiFi,BK0915,1137.81,7.3,0.65,506904224000,1.35,14,12,剑桥科技,7.84
55,56,固态电池,BK0968,1646.71,10.61,0.65,5258575104000,1.7,109,80,德新科技,10.04
56,57,远程办公,BK0912,1431.21,9.12,0.64,715884048000,3.33,19,18,石基信息,10.01
57,58,生态农业,BK0669,1305.65,8.32,0.64,249541857000,2.11,28,8,恒兴新材,7.8
58,59,时空大数据,BK1130,1275.95,7.93,0.63,208760160000,4.72,16,10,中电鑫龙,9.96
59,60,锂电池,BK0574,2970.06,18.27,0.62,7638750976000,2.0,225,150,华体科技,10.01
60,61,PPP模式,BK0721,714.15,4.43,0.62,2264627376000,1.45,97,46,中电鑫龙,9.96
61,62,天然气,BK0843,1360.42,8.09,0.6,4801141760000,0.59,83,35,仁智股份,9.98
62,63,算力概念,BK1134,1571.88,9.32,0.6,6781683456000,2.07,83,61,华体科技,10.01
63,64,CAR-T细胞疗法,BK0986,1032.83,6.08,0.59,440456784000,3.98,7,16,迈威生物-U,17.67
64,65,光通信模块,BK1136,1386.41,8.03,0.58,840585456000,4.08,33,20,华脉科技,10.02
65,66,雄安新区,BK0813,906.33,5.2,0.58,2328094272000,1.47,96,44,中嘉博创,10.09
66,67,广电,BK0904,1504.36,8.66,0.58,240913081000,2.5,13,14,创维数字,5.34
67,68,低价股,BK1053,1027.33,5.86,0.57,1915505024000,1.23,107,54,白银有色,10.0
68,69,换电概念,BK0985,1360.92,7.56,0.56,786950080000,1.45,24,20,英飞特,8.84
69,70,钙钛矿电池,BK1094,708.86,3.98,0.56,516725936000,1.04,15,12,杰普特,12.18
70,71,网络安全,BK0655,4294.09,23.84,0.56,5005978112000,1.91,71,56,南凌科技,19.99
71,72,边缘计算,BK0860,1992.74,10.93,0.55,2797820432000,1.87,64,54,华体科技,10.01
72,73,有机硅,BK0961,1231.02,6.6,0.54,277938704000,1.55,20,9,博菲电气,3.37
73,74,免税概念,BK0927,1324.04,6.96,0.53,928280192000,0.86,14,12,海南高速,5.33
