,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
0,300765.SZ,300765,新诺威,10125748,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-24 00:00:00,2025-04-24 00:00:00,CNY,471967670.63,-9.9413264583,471967670.63,-9.9413264583,,,,,,,,,,,601326520.36,30.9447649896,283552644.93,1.5232657472,,,,,240479825.0,117.6756282514,,,,,,,,,,,,,7248903.59,-18.1276013179,65596932.76,23.6799499855,18984758.44,-19.922459963,,,-14536544.36,10.0039962586,4031030.8,22664.50075194,3290747.54,-76.8419715868,,,,,,,,,-321477.97,93.029935398,-2501921.24,45.755061624,,,,,1683395.89,,,,-2907966.17,44.2422389749,4330833.52,280.6297684698,,,0,,-126574064.46,-325.3990374832,568099.75,-13.6445882084,,,2118613.65,7125.5155641227,,,,,0,,-128124578.36,-325.6346463622,14236453.85,-46.9235802646,,,,,,,-142361032.21,-575.1460655535,,,-142361032.21,-575.1460655535,,,-26901607.29,-134.0262817454,-115459424.92,-135.1528696257,-30636078.09,-139.1906272586,,,,,-0.0192,-128.4023668639,-0.0192,-128.4023668639,47590.14,112.7782239298,47590.14,112.7782239298,,,,,,,,,,,,,,,,,,,,,47590.14,112.7782239298,,,,,,,,,,,,,,,47590.14,112.7782239298,,,,,,,,,-142313442.07,-580.96578933,-26854017.15,-134.1268480853,-115459424.92,-135.1528696257,,,,,,,,,,,
1,300765.SZ,300765,新诺威,10125748,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-21 00:00:00,2025-03-21 00:00:00,CNY,1980753001.94,-21.9780797028,1980753001.94,-21.9780797028,,,,,,,,,,,2217749624.95,-3.6493763607,1149391809.72,-16.0423806794,,,,,842200779.58,25.4400905997,,,,,,,,,,,,,32592617.11,-12.4367156183,154244694.29,-26.7255161653,82180530.25,-12.7480567425,,,-42860806.0,46.8056677518,6373314.62,-63.8398677946,42205021.28,-42.4515139598,,,,,,,89694.44,,-976740.42,-107.7641871881,-2620814.55,-120.8330630481,,,,,545287.31,,-2277183.1,80.9230898759,2299937.62,-59.093050838,18974612.23,3.586766989,,,0,,-218341014.93,-183.4804302081,961896.71,-68.3849401458,,,3921759.52,59.8686508412,,,,,0,,-221300877.74,-184.4218533485,81911906.3,-39.9779580699,,,,,,,-303212784.04,-341.2822667003,,,-303212784.04,-341.2822667003,,,53726318.63,-87.6330763637,-356939102.67,-15.6009360032,42341882.94,-94.3063841555,,,,,0.0384,-87.652733119,0.0384,-87.652733119,511552.3,-59.5636690112,511552.3,-59.5636690112,,,,,,,,,,,,,,,,,,,,,511552.3,-59.5636690112,,,,,,,,,,,,,,,511552.3,-59.5636690112,,,,,,,,,-302701231.74,-338.4744964443,54237870.93,-87.5515752946,-356939102.67,-15.6009360032,,,,,,,,,,,标准无保留意见
2,300765.SZ,300765,新诺威,10125748,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-24 00:00:00,2024-10-24 00:00:00,CNY,1478923011.81,-23.6568919888,1478923011.81,-23.6568919888,,,,,,,,,,,1460363336.66,-12.2261279112,843096731.05,-16.7857538967,,,,,456957233.2,4.6731986869,,,,,,,,,,,,,24491841.91,-13.6184782283,107924429.63,-38.9661286276,57256543.75,-5.6905268585,,,-29363442.88,43.3493468441,2875531.01,-81.7884629057,33475361.52,-28.8020227128,,,,,,,,,-2847413.26,-257.1178704429,-2847413.26,-257.1178704429,,,,,,,-625000.0,,-3486844.09,-238.687226731,7908564.12,1.1445347814,,,0,,19508981.92,-93.1684564832,1478435.94,-77.4002399047,,,1862451.73,-16.7245024956,,,,,0,,19124966.13,-93.4023953948,65606355.63,-35.619145334,,,,,,,-46481389.5,-124.7275757359,,,-46481389.5,-124.7275757359,,,139329413.32,-63.5029930828,-185810802.82,4.1133982215,136742338.33,-76.2555106378,,,,,0.0995,-63.6596055515,0.0995,-63.6596055515,-502392.06,-151.3766616558,-502392.06,-151.3766616558,,,,,,,,,,,,,,,,,,,,,-502392.06,-151.3766616558,,,,,,,,,,,,,,,-502392.06,-151.3766616558,,,,,,,,,-46983781.56,-124.8654897028,138827021.26,-63.72750483,-185810802.82,4.1133982215,,,,,,,,,,,
3,300765.SZ,300765,新诺威,10125748,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-17 00:00:00,2024-08-17 00:00:00,CNY,971860199.72,-27.705684482,971860199.72,-27.705684482,,,,,,,,,,,904045554.23,-21.5103838027,546323078.27,-22.7098875213,,,,,251856157.19,-15.9677411792,,,,,,,,,,,,,16876307.99,-8.7080652896,73263657.7,-35.6825733512,43080283.2,0.1632131624,,,-27353930.12,9.3156449205,2862109.38,-78.1399309993,24735773.01,-15.2666823477,,,,,,,,,-3793661.23,-500.3953893425,-3793661.23,-500.3953893425,,,,,,,-625000.0,,-1781129.59,-462.2416653362,5381445.89,-14.0877947082,,,0,,66996300.56,-66.5371518519,934576.5,-73.3423127444,,,915130.74,239.5220939057,,,,,0,,67015746.32,-67.0598989607,38617142.26,-43.845488642,,,,,,,28398604.06,-78.9136806189,,,28398604.06,-78.9136806189,,,137027524.09,-48.2713609651,-108628920.03,16.5798017373,134482142.06,-65.8710808554,,,,,0.1,-47.3684210526,0.1,-47.3684210526,-382208.6,-122.5809799557,-382208.6,-122.5809799557,,,,,,,,,,,,,,,,,,,,,-382208.6,-122.5809799557,,,,,,,,,,,,,,,-382208.6,-122.5809799557,,,,,,,,,28016395.46,-79.4556735851,136645315.49,-48.7431629457,-108628920.03,16.5798017373,,,,,,,,,,,
4,300765.SZ,300765,新诺威,10125748,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-23 00:00:00,2025-04-24 00:00:00,CNY,524066868.93,-27.0833462798,524066868.93,-27.0833462798,,,,,,,,,,,459221504.89,-24.6144121838,279298191.25,-23.96475206,,,,,110476228.75,-21.421082793,,,,,,,,,,,,,8853904.01,-5.0256109787,53037644.96,-21.4373303448,23707969.09,30.9143467534,,,-16152433.17,-356.3212464138,17707.53,-91.9227466018,14209964.17,-56.6076896043,,,,,,,,,-4612266.72,-554.5649061213,-4612266.72,,,,,,,,,,-5215356.78,-1424.000319799,1137807.36,-58.0893782025,,,0,,56155547.9,-49.5117008427,657862.36,-12.7868362339,,,29321.28,,,,,,0,,56784088.98,-49.2904989909,26822558.72,-19.5289530527,,,,,,,29961530.26,-61.9039079349,,,29961530.26,-61.9039079349,,,79061260.62,-38.855479768,-49099730.36,3.0703738537,78171951.39,-56.4354657605,,,,,0.0676,-40.4405286344,0.0676,-40.4405286344,-372431.57,-212.6884146925,-372431.57,-212.6884146925,,,,,,,,,,,,,,,,,,,,,-372431.57,-212.6884146925,,,,,,,,,,,,,,,-372431.57,-212.6884146925,,,,,,,,,29589098.69,-62.3203913717,78688829.05,-39.0874020723,-49099730.36,3.0703738537,,,,,,,,,,,
5,300765.SZ,300765,新诺威,10125748,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-15 00:00:00,2025-03-21 00:00:00,CNY,2538713472.31,-3.3419277946,2538713472.31,-3.3419277946,,,,,,,,,,,2301749112.96,28.9218706229,1369014294.38,-8.2165858755,,,,,671396820.23,1350.0972330869,,,,,,,,,,,,,37221784.61,81.319747673,210502600.93,-13.8164020202,94187621.71,35.4892281986,,,-80574008.9,7.1531152131,17625252.54,7939.7227040158,73338195.64,123.9494562407,,,,,,,,,12580073.05,-25.2117152198,12580073.05,22.1014972625,,,,,,,-11936855.0,,5622364.09,171.9079498848,18317602.51,241.5854185564,,,0,,261547544.0,-69.4306676845,3042526.93,22.0083811738,,,2453113.54,-63.4379234961,,,,,0,,262136957.39,-69.2100663673,136469709.57,9.3852654229,,,,,,,125667247.82,-82.7050332221,,,125667247.82,-82.7050332221,,,434435597.81,-40.1832821,-308768349.99,-92605.6676734181,743672985.61,13.0874533911,,,,,0.311,-52.2932965179,0.311,-52.2932965179,1265080.9,-34.152154708,1265080.9,-34.152154708,,,,,,,,,,,,,,,,,,,,,1265080.9,-34.152154708,,,,,,,,,,,,,,,1265080.9,-34.152154708,,,,,,,,,126932328.72,-82.5769941411,435700678.71,-40.1673700883,-308768349.99,-92605.6676734181,,,,,,,,,,,标准无保留意见
6,300765.SZ,300765,新诺威,10125748,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-25 00:00:00,2024-10-24 00:00:00,CNY,1937205663.14,2.3265860908,1937205663.14,2.3265860908,,,,,,,,,,,1663779097.25,29.8387420537,1013163935.9,-5.7719008514,,,,,436556099.3,1479.8081767078,,,,,,,,,,,,,28353103.08,97.649564635,176827107.97,-4.6751581152,60711338.79,30.4062958936,,,-51832487.79,23.5947380495,15789611.8,2118.5582279559,47017292.9,135.0847963383,,,,,,,,,1812278.42,-64.9654882752,1812278.42,117.1728761497,,,,,,,,,2514178.25,132.7803108928,7819072.12,176.7766660938,,,0,,285572094.68,-53.4407275775,6541821.39,-2.5117943757,,,2236494.27,-63.2595466887,,,,,0,,289877421.8,-52.7867561232,101903517.7,6.0113012498,,,,,,,187973904.1,-63.7010663482,,,187973904.1,,,,381755724.89,-26.2349205457,-193781820.79,-60544.3547193753,575890836.16,25.6579243057,,,,,0.2738,-48.0060767186,0.2738,-48.0060767186,977860.46,186.5938608521,977860.46,186.5938608521,,,,,,,,,,,,,,,,,,,,,977860.46,186.5938608521,,,,,,,,,,,,,,,977860.46,186.5938608521,,,,,,,,,188951764.56,-63.5362606202,382733585.35,-26.0946975031,-193781820.79,-60544.3547193753,,,,,,,,,,,
7,300765.SZ,300765,新诺威,10125748,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-18 00:00:00,2024-08-17 00:00:00,CNY,1344310673.33,8.2609932766,1344310673.33,8.2609932766,,,,,,,,,,,1151802745.42,36.6097108253,706847306.53,0.7162784613,,,,,299713658.45,2069.6371838736,,,,,,,,,,,,,18486088.66,106.2774644752,113909497.81,-6.6926098151,43010085.08,57.3112912899,,,-30163891.11,2.3277879696,13092865.26,2036.9626578376,29192499.12,111.2098921636,,,,,,,,,947478.75,-52.0099846796,947478.75,737.1910067097,,,,,,,,,491696.5,108.0198523177,6263889.83,243.9552467477,,,0,,200210992.99,-49.5741091562,3505842.39,62.2490700815,,,269534.96,-95.1448260323,,,,,0,,203447300.42,-48.3176333326,68769438.69,11.6392843178,,,,,,,134677861.73,-59.4404473914,,,134677861.73,-59.4404473914,,,264896828.23,-20.1754630078,-130218966.5,-64950.8903248297,394041608.79,30.5922299861,,,,,0.19,-43.7370447142,0.19,-43.7370447142,1692612.99,277.7318853945,1692612.99,277.7318853945,,,,,,,,,,,,,,,,,,,,,1692612.99,277.7318853945,,,,,,,,,,,,,,,1692612.99,277.7318853945,,,,,,,,,136370474.72,-58.9860485509,266589441.22,-19.7737380145,-130218966.5,-64950.8903248297,,,,,,,,,,,
8,300765.SZ,300765,新诺威,10125748,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2024-04-23 00:00:00,CNY,718720405.0,32.8433829138,718720405.0,32.8433829138,,,,,,,,,,,609163526.07,57.7097454056,367327257.84,23.2083823217,,,,,140592709.44,1767.9504837566,,,,,,,,,,,,,9322412.18,163.7066616967,67509983.04,-1.9749699887,18109527.09,46.7306939596,,,6301636.48,251.7467119115,219227.12,2297.1246809879,32747655.15,569.5689603779,,,,,,,,,-704630.92,-151.0912873144,,,,,,,,,,,-342214.94,87.4723841186,2714842.47,681.6382239412,,,0,,111224875.54,-27.6666512554,754315.44,21.5319831298,,,,,,,,,0,,111979190.98,-25.703868821,33331937.06,22.4644941843,,,,,,,78647253.92,-36.3192763994,,,78647253.92,-36.3192763994,,,129302283.05,4.6811430168,-50655029.13,-286426.55201086,179439428.78,60.8788294143,,,,,0.1135,-43.1077694236,0.1135,-43.1077694236,-119106.29,-134.9079780799,-119106.29,-134.9079780799,,,,,,,,,,,,,,,,,,,,,-119106.29,-134.9079780799,,,,,,,,,,,,,,,-119106.29,-134.9079780799,,,,,,,,,78528147.63,-36.5908974367,129183176.76,4.2966169049,-50655029.13,-286426.55201086,,,,,,,,,,,
9,300765.SZ,300765,新诺威,10125748,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-17 00:00:00,2024-03-15 00:00:00,CNY,2626488832.63,41.997160717,2626488832.63,41.997160717,,,,,,,,,,,1785382962.44,28.3065405027,1491570462.31,43.2509028917,,,,,46300124.22,74.714405241,,,,,,,,,,,,,20528257.45,29.9187892694,244249028.66,-8.1129646789,69516686.28,16.9247973004,,,-86781596.48,-401.5901446186,219227.12,-92.2638569083,32747655.15,18.4012795199,,,,,,,,,16820913.98,-5.053576256,10302963.79,40.9155676729,,,,,117542.75,,,,-7818835.19,-30.3192190472,5362524.72,-70.5727409182,,,0,,855588016.45,75.5538682656,2493703.22,183.7173517119,,,6709448.08,-34.5628087918,,,,,0,,851372271.59,78.114848454,124760596.45,46.278061258,,,,,,,726611675.14,85.0294302911,,,726611675.14,85.0294302911,,,726277891.97,84.6961526362,333783.17,163.2291864426,657608747.31,120.3057295492,,,,,0.6519,2.6129387691,0.6519,2.6129387691,1921218.37,273.9454931454,1921218.37,273.9454931454,,,,,,,,,,,,,,,,,,,,,1921218.37,273.9454931454,,,,,,,,,,,,,,,1921218.37,273.9454931454,,,,,,,,,728532893.51,86.0419169325,728199110.34,85.7063374824,333783.17,163.2291864426,,,,,,,,,,,标准无保留意见
