,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
1,2,002962,五方光电,16.62,-0.72,-0.12,155724,262193652.89,4.0,17.11,16.44,16.95,16.74,7.44,56.58,2.65
2,3,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
3,4,603501,韦尔股份,136.0,-1.42,-1.96,134741,1832940852.0,2.88,138.66,134.68,138.3,137.96,1.11,52.22,7.38
4,5,300400,劲拓股份,17.45,-3.11,-0.56,65752,115933156.0,3.22,17.98,17.4,17.83,18.01,2.74,52.63,5.45
5,6,002273,水晶光电,23.11,-3.39,-0.81,353833,827096434.66,3.26,23.86,23.08,23.72,23.92,2.61,27.98,3.64
6,7,603005,晶方科技,30.73,-4.06,-1.3,249629,777892755.0,4.25,32.02,30.66,31.88,32.03,3.83,81.48,4.74
7,8,002189,中光学,20.2,-4.36,-0.92,80308,164624475.2,3.88,20.99,20.17,20.96,21.12,3.08,-177.33,4.91
8,9,002036,联创电子,11.88,-4.65,-0.58,672578,809579175.59,4.33,12.4,11.86,12.32,12.46,6.39,-204.39,4.69
9,10,688322,奥比中光-UW,58.3,-5.97,-3.7,140867,832039176.0,4.82,60.99,58.0,60.7,62.0,5.48,-388.75,8.13
10,11,002456,欧菲光,13.11,-6.76,-0.95,2578825,3438507304.0,4.69,13.74,13.08,13.71,14.06,7.93,691.03,11.98
