,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
1,2,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
2,3,002547,春兴精工,5.37,-1.1,-0.06,2603841,1429656323.28,7.37,5.66,5.26,5.43,5.43,23.57,-25.71,91.37
3,4,300217,东方电热,5.42,-1.45,-0.08,1050888,581771358.64,4.91,5.68,5.41,5.45,5.5,8.57,21.49,1.97
4,5,600207,安彩高科,4.61,-1.5,-0.07,184433,85460769.0,2.35,4.69,4.58,4.67,4.68,1.69,-41.89,1.67
5,6,301051,信濠光电,24.36,-1.97,-0.49,17246,42002832.6,3.1,24.84,24.07,24.7,24.85,1.29,-14.95,1.66
6,7,300173,福能东方,6.47,-2.85,-0.19,317719,206975256.41,3.9,6.68,6.42,6.67,6.66,4.32,526.68,5.23
7,8,300088,长信科技,6.46,-2.86,-0.19,748887,487604117.37,3.31,6.63,6.41,6.6,6.65,3.01,41.31,1.88
8,9,300400,劲拓股份,17.45,-3.11,-0.56,65752,115933156.0,3.22,17.98,17.4,17.83,18.01,2.74,52.63,5.45
9,10,600666,奥瑞德,3.12,-3.7,-0.12,1217416,382231890.0,3.7,3.22,3.1,3.2,3.24,5.03,-234.96,8.77
10,11,300433,蓝思科技,25.14,-3.83,-1.0,503084,1275703714.23,4.09,26.02,24.95,25.94,26.14,1.01,39.63,2.65
11,12,300508,维宏股份,33.65,-4.02,-1.41,32357,109786548.0,3.85,34.79,33.44,34.71,35.06,5.65,33.37,4.88
12,13,002036,联创电子,11.88,-4.65,-0.58,672578,809579175.59,4.33,12.4,11.86,12.32,12.46,6.39,-204.39,4.69
13,14,000536,华映科技,5.23,-5.77,-0.32,1873047,986505692.24,5.05,5.45,5.17,5.39,5.55,6.78,-12.79,9.18
14,15,603773,沃格光电,24.94,-5.78,-1.53,95076,241641181.0,5.82,26.42,24.88,26.4,26.47,4.67,-84.47,4.21
15,16,300503,昊志机电,27.17,-7.46,-2.19,290773,803622471.32,5.69,28.74,27.07,28.6,29.36,12.16,77.16,7.01
16,17,600552,凯盛科技,12.41,-7.8,-1.05,800644,1013206725.0,8.1,13.45,12.36,13.25,13.46,8.48,78.61,2.83
17,18,300256,星星科技,5.06,-10.44,-0.59,3405122,1765571045.8,7.43,5.47,5.05,5.41,5.65,20.72,-67.44,9.54
