,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,002115,三维通信,9.38,9.96,0.85,1694326.0,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
2,3,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
3,4,002498,汉缆股份,3.88,6.89,0.25,2098617.0,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
4,5,300265,通光线缆,10.06,6.46,0.61,852913.0,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
5,6,600289,*ST信通,9.18,5.03,0.44,116981.0,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
6,7,600105,永鼎股份,6.18,4.57,0.27,2003783.0,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
7,8,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
8,9,002217,*ST合泰,2.21,3.76,0.08,1061398.0,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
9,10,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
10,11,300698,万马科技,41.95,3.38,1.37,69156.0,284732598.32,8.5,42.8,39.35,40.9,40.58,5.83,135.02,11.85
11,12,600487,亨通光电,17.59,3.23,0.55,2108044.0,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
12,13,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
13,14,002080,中材科技,15.23,3.04,0.45,410748.0,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
14,15,600804,*ST鹏博,1.77,2.91,0.05,863849.0,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
15,16,300887,谱尼测试,9.05,2.61,0.23,403480.0,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
16,17,300762,上海瀚讯,23.62,2.07,0.48,379589.0,892241409.39,5.32,24.15,22.92,23.1,23.14,6.04,-121.85,6.17
17,18,301517,陕西华达,55.42,2.06,1.12,52649.0,290823800.82,5.1,56.36,53.59,53.95,54.3,12.39,131.61,4.45
18,19,300050,世纪鼎利,6.14,1.99,0.12,459234.0,274105343.0,5.81,6.15,5.8,6.03,6.02,8.43,-44.96,8.48
19,20,603228,景旺电子,35.69,1.97,0.69,270611.0,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
20,21,600345,长江通信,25.65,1.91,0.48,140316.0,360168537.0,4.37,26.18,25.08,25.2,25.17,6.63,127.36,2.45
21,22,600183,生益科技,28.77,1.88,0.53,389480.0,1110479293.0,2.97,28.8,27.96,28.06,28.24,1.64,40.08,4.69
22,23,300537,广信材料,20.13,1.67,0.33,151418.0,304519747.98,5.71,20.47,19.34,19.71,19.8,10.52,84.05,4.93
23,24,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
24,25,600941,中国移动,106.65,1.57,1.65,354595.0,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
25,26,300153,科泰电源,41.15,1.5,0.61,448041.0,1866749969.59,5.82,42.84,40.48,41.69,40.54,14.07,394.49,15.33
