,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600320,振华重工,4.92,10.07,0.45,1159817,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
1,2,600610,中毅达,7.96,8.74,0.64,1239329,952188559.0,13.39,8.0,7.02,7.1,7.32,17.49,-605.47,128.62
2,3,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
3,4,600689,上海三毛,13.1,5.14,0.64,156874,201320894.0,9.55,13.36,12.17,12.36,12.46,10.31,120.88,5.73
4,5,001872,招商港口,21.42,5.05,1.03,243955,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
5,6,000530,冰山冷热,6.35,4.27,0.26,1067472,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
6,7,600751,海航科技,3.0,2.04,0.06,1473050,446506693.0,6.8,3.11,2.91,2.94,2.94,5.72,58.41,1.17
7,8,600754,锦江酒店,27.29,1.75,0.47,121495,329525757.0,2.72,27.44,26.71,26.8,26.82,1.34,19.81,1.72
8,9,000429,粤高速Ａ,13.79,1.55,0.21,101140,138412844.77,1.77,13.79,13.55,13.55,13.58,0.78,18.46,2.75
9,10,600619,海立股份,13.29,1.37,0.18,464562,614088347.0,4.81,13.46,12.83,12.97,13.11,5.89,471.08,2.34
10,11,600618,氯碱化工,10.27,0.88,0.09,110520,113491464.0,2.16,10.38,10.16,10.16,10.18,1.47,14.68,1.4
11,12,000012,南  玻Ａ,5.05,0.8,0.04,234216,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
12,13,600272,开开实业,15.33,0.66,0.1,177364,276675456.0,3.55,15.86,15.32,15.39,15.23,11.09,80.74,6.02
13,14,600295,鄂尔多斯,9.28,0.65,0.06,76797,71330517.0,1.63,9.36,9.21,9.21,9.22,0.39,11.32,1.24
14,15,600726,华电能源,2.32,0.43,0.01,334677,77764717.0,2.6,2.35,2.29,2.31,2.31,1.22,30.39,4.52
15,16,600648,外高桥,12.28,0.41,0.05,41264,50532730.0,1.31,12.33,12.17,12.2,12.23,0.44,14.65,1.07
16,17,600623,华谊集团,7.25,0.28,0.02,262456,189115496.0,2.49,7.3,7.12,7.2,7.23,1.41,19.22,0.68
17,18,600822,上海物贸,9.97,0.2,0.02,76568,76108907.0,1.71,10.02,9.85,9.9,9.95,1.93,81.0,4.11
18,19,000505,京粮控股,6.18,0.16,0.01,84405,52359086.0,1.94,6.27,6.15,6.17,6.17,1.33,120.97,1.43
19,20,600639,浦东金桥,11.17,0.0,0.0,38643,43241373.0,1.34,11.26,11.11,11.19,11.17,0.45,12.51,0.86
20,21,600190,ST锦港,1.46,0.0,0.0,93292,13594268.0,2.05,1.47,1.44,1.45,1.46,0.52,-1.03,0.64
21,22,600617,国新能源,2.59,0.0,0.0,139440,36245924.0,2.32,2.63,2.57,2.59,2.59,0.79,-375.66,1.43
22,23,000029,深深房Ａ,14.53,-0.27,-0.04,36641,53120402.91,3.09,14.74,14.29,14.47,14.57,0.41,-83.18,4.19
23,24,600054,黄山旅游,11.91,-0.33,-0.04,66078,78629072.0,1.59,12.0,11.81,11.88,11.95,1.29,22.87,1.88
24,25,600844,丹化科技,2.74,-0.36,-0.01,179788,49341914.0,2.18,2.78,2.72,2.76,2.75,2.19,-10.52,8.2
25,26,600819,耀皮玻璃,5.55,-0.36,-0.02,57571,31926294.0,1.97,5.62,5.51,5.55,5.57,0.77,40.43,1.5
26,27,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
27,28,000539,粤电力Ａ,4.75,-0.42,-0.02,348549,166449751.99,2.52,4.84,4.72,4.76,4.77,1.36,12.75,1.06
28,29,000019,深粮控股,6.55,-0.46,-0.03,43248,28408219.1,1.37,6.61,6.52,6.58,6.58,1.04,23.15,1.56
29,30,000055,方大集团,4.24,-0.47,-0.02,87564,37141992.0,1.64,4.28,4.21,4.28,4.26,1.3,22.81,0.75
30,31,000011,深物业A,8.52,-0.47,-0.04,47317,40314266.6,2.57,8.65,8.43,8.49,8.56,0.9,1063.47,1.13
31,32,000726,鲁  泰Ａ,6.15,-0.49,-0.03,68478,42267544.64,1.62,6.22,6.12,6.19,6.18,1.16,13.1,0.55
32,33,600612,老凤祥,52.29,-0.51,-0.27,10905,56983076.0,1.85,52.89,51.92,52.56,52.56,0.34,14.03,2.19
33,34,000869,张  裕Ａ,21.75,-0.64,-0.14,11852,25870213.0,1.74,22.05,21.67,21.82,21.89,0.26,48.93,1.38
34,35,000553,安道麦A,6.12,-0.65,-0.04,61989,38277814.85,2.44,6.25,6.1,6.17,6.16,0.28,-4.91,0.75
35,36,600221,海航控股,1.49,-0.67,-0.01,2992973,447460547.0,2.0,1.51,1.48,1.5,1.5,0.91,22.23,14.78
36,37,000037,深南电A,8.62,-0.69,-0.06,128042,110893980.1,3.46,8.81,8.51,8.62,8.68,3.78,-85.4,3.67
37,38,000056,皇庭国际,3.6,-0.83,-0.03,645846,231347044.0,3.03,3.66,3.55,3.59,3.63,7.15,-12.49,5.94
38,39,000028,国药一致,26.04,-0.88,-0.23,32326,84682396.34,1.98,26.45,25.93,26.29,26.27,0.68,22.56,0.82
39,40,600663,陆家嘴,8.7,-0.91,-0.08,68834,60299706.0,1.82,8.84,8.68,8.77,8.78,0.22,29.06,1.78
40,41,600848,上海临港,9.6,-1.03,-0.1,130784,126495876.0,2.47,9.8,9.56,9.69,9.7,0.55,29.37,1.3
41,42,000550,江铃汽车,22.85,-1.08,-0.25,62409,143100524.0,1.6,23.14,22.77,23.0,23.1,1.2,12.83,1.75
42,43,000596,古井贡酒,175.79,-1.15,-2.04,21201,374805623.5,2.74,179.88,175.0,177.5,177.83,0.52,14.68,3.98
43,44,000058,深 赛 格,8.55,-1.38,-0.12,139275,119069775.0,2.31,8.67,8.47,8.64,8.67,1.41,207.08,5.24
44,45,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
45,46,600604,市北高新,4.86,-1.42,-0.07,229982,111370907.0,2.84,4.92,4.78,4.9,4.93,1.63,-69.87,1.45
46,47,600094,大名城,3.35,-1.47,-0.05,164986,55502116.0,2.35,3.41,3.33,3.4,3.4,0.72,26.72,0.65
47,48,000488,ST晨鸣,1.97,-1.5,-0.03,556722,110369603.0,2.5,2.01,1.96,2.0,2.0,3.32,-6.12,0.36
