,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688339,亿华通-U,25.9,5.03,1.24,110427,284301767.0,5.31,26.39,25.08,25.1,24.66,6.93,-13.24,2.32
1,2,600876,凯盛新能,10.85,4.73,0.49,249719,265308706.0,12.45,11.39,10.1,10.44,10.36,6.31,-21.25,1.6
2,3,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
3,4,601808,中海油服,15.53,3.95,0.59,499918,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
4,5,601298,青岛港,8.79,3.9,0.33,292789,256243598.0,4.02,8.91,8.57,8.59,8.46,0.54,10.9,1.34
5,6,600871,石化油服,2.04,3.55,0.07,2391007,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
6,7,600685,中船防务,24.89,2.47,0.6,377715,942595299.0,4.36,25.3,24.24,24.39,24.29,4.6,140.91,1.89
7,8,688187,时代电气,50.76,2.11,1.05,206694,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
8,9,601963,重庆银行,9.45,1.61,0.15,158144,149115014.0,2.26,9.5,9.29,9.35,9.3,0.84,6.42,0.62
9,10,000898,鞍钢股份,2.53,1.61,0.04,688256,175169106.48,3.61,2.57,2.48,2.48,2.49,0.86,-3.5,0.48
10,11,601068,中铝国际,4.48,1.59,0.07,182617,81444612.0,2.27,4.49,4.39,4.39,4.41,0.71,39.94,5.45
11,12,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
12,13,601811,新华文轩,14.2,1.5,0.21,35336,49995635.0,2.07,14.22,13.93,13.93,13.99,0.45,14.74,1.27
13,14,002490,ST墨龙,3.72,1.36,0.05,137320,50744757.64,3.54,3.76,3.63,3.67,3.67,2.54,34.04,6.05
14,15,002202,金风科技,9.67,1.26,0.12,990531,961288112.37,4.4,9.89,9.47,9.52,9.55,2.95,17.1,1.11
15,16,600585,海螺水泥,24.92,1.01,0.25,222178,556476960.0,3.04,25.36,24.61,24.67,24.67,0.56,19.05,0.71
16,17,600012,皖通高速,16.29,0.99,0.16,38143,61836173.0,1.86,16.36,16.06,16.09,16.13,0.33,16.6,2.1
17,18,600801,华新水泥,13.04,0.85,0.11,74024,96499049.0,1.7,13.15,12.93,12.93,12.93,0.55,17.86,0.94
18,19,601866,中远海发,2.42,0.83,0.02,1208997,294307683.0,2.92,2.46,2.39,2.4,2.4,1.22,17.84,1.09
19,20,601880,辽港股份,1.54,0.65,0.01,1606306,248648309.0,3.27,1.57,1.52,1.52,1.53,0.86,29.2,0.92
20,21,601107,四川成渝,4.91,0.61,0.03,131654,64499634.0,1.43,4.93,4.86,4.87,4.88,0.61,10.03,0.93
21,22,601588,北辰实业,1.77,0.57,0.01,272702,48271820.0,2.27,1.79,1.75,1.77,1.76,1.03,-4.82,0.51
22,23,601077,渝农商行,5.85,0.52,0.03,396022,231571417.0,1.37,5.89,5.81,5.84,5.82,0.45,4.83,0.54
23,24,601330,绿色动力,6.58,0.46,0.03,87794,58043064.0,2.14,6.67,6.53,6.54,6.55,0.89,13.65,1.16
24,25,601868,中国能建,2.31,0.43,0.01,3681949,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
25,26,600956,新天绿能,7.45,0.4,0.03,66646,49753731.0,1.75,7.52,7.39,7.41,7.42,0.28,15.71,1.46
26,27,600377,宁沪高速,14.26,0.35,0.05,92990,132305243.0,1.2,14.32,14.15,14.21,14.21,0.24,13.08,1.95
27,28,601991,大唐发电,2.98,0.34,0.01,1290730,385685328.0,2.02,3.02,2.96,2.96,2.97,1.04,9.34,1.79
28,29,601618,中国中冶,3.15,0.32,0.01,1254156,397433242.0,2.23,3.2,3.13,3.14,3.14,0.7,7.17,0.64
29,30,601326,秦港股份,3.28,0.31,0.01,230959,75907253.0,1.83,3.32,3.26,3.26,3.27,0.49,10.27,0.95
