,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
1,2,300846,首都在线,30.45,3.22,0.95,1505927,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
2,3,301027,华蓝集团,14.41,2.86,0.4,38179,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
3,4,300844,山水比德,36.2,2.12,0.75,20487,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
4,5,688787,海天瑞声,111.4,1.09,1.2,46774,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
5,6,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
6,7,002315,焦点科技,43.38,0.3,0.13,87718,375697827.84,3.84,43.68,42.02,43.0,43.25,4.34,30.5,5.48
7,8,300071,福石控股,6.22,0.16,0.01,557311,352275696.6,4.51,6.48,6.2,6.27,6.21,5.9,-150.42,23.44
8,9,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
9,10,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
10,11,300010,豆神教育,8.11,0.0,0.0,875623,708138810.04,2.84,8.2,7.97,8.02,8.11,5.26,113.37,15.45
11,12,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
12,13,603189,网达软件,19.12,-0.62,-0.12,311815,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
13,14,600229,城市传媒,7.1,-0.84,-0.06,63946,45594651.0,1.96,7.2,7.06,7.06,7.16,0.95,27.1,1.48
14,15,600998,九州通,5.06,-0.98,-0.05,339945,174174268.0,2.74,5.2,5.06,5.15,5.11,0.67,11.28,1.03
15,16,002229,鸿博股份,13.05,-1.06,-0.14,216661,281149768.12,2.65,13.19,12.84,13.01,13.19,4.39,-78.3,4.36
16,17,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
17,18,605168,三人行,30.38,-1.24,-0.38,24656,75171325.0,2.24,30.84,30.15,30.76,30.76,1.17,26.44,2.3
18,19,301330,熵基科技,29.65,-1.27,-0.38,41797,125412438.5,3.73,30.6,29.48,29.93,30.03,5.46,36.17,1.78
19,20,300058,蓝色光标,9.89,-1.3,-0.13,1473525,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
20,21,300592,华凯易佰,12.58,-1.41,-0.18,56042,70762800.4,2.12,12.8,12.53,12.74,12.76,1.53,20.18,2.3
21,22,002722,物产金轮,15.94,-1.42,-0.23,63297,101598901.0,2.35,16.3,15.92,16.03,16.17,3.61,21.78,1.3
22,23,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
23,24,002803,吉宏股份,12.88,-1.45,-0.19,50384,65205162.1,1.99,13.12,12.86,13.08,13.07,1.75,27.6,2.29
24,25,301558,三态股份,8.45,-1.52,-0.13,76313,64885384.54,1.86,8.6,8.44,8.58,8.58,3.47,116.25,4.95
25,26,603598,引力传媒,17.88,-1.54,-0.28,79755,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
26,27,001330,博纳影业,4.78,-1.65,-0.08,146979,70719769.29,2.26,4.88,4.77,4.87,4.86,1.39,-13.91,1.13
27,28,300413,芒果超媒,26.54,-1.67,-0.45,64088,171146895.96,2.74,27.15,26.41,26.95,26.99,0.63,25.78,2.2
28,29,002558,巨人网络,14.91,-1.78,-0.27,247304,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
29,30,603888,新华网,23.36,-1.85,-0.44,72299,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
30,31,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
31,32,301052,果麦文化,29.02,-2.03,-0.6,38492,112577873.18,3.54,29.95,28.9,29.5,29.62,4.8,101.42,4.13
32,33,603687,大胜达,7.24,-2.03,-0.15,116567,85010601.0,2.44,7.39,7.21,7.36,7.39,2.12,36.11,1.23
33,34,600556,天下秀,5.21,-2.07,-0.11,466420,244604228.0,2.63,5.33,5.19,5.31,5.32,2.58,107.98,2.43
34,35,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
35,36,002878,元隆雅图,15.74,-2.18,-0.35,71796,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
36,37,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
37,38,300418,昆仑万维,36.34,-2.21,-0.82,228935,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
38,39,300033,同花顺,301.22,-2.21,-6.8,81235,2469945141.83,3.02,309.99,300.7,307.88,308.02,2.95,88.82,25.46
39,40,300612,宣亚国际,15.4,-2.22,-0.35,50171,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
40,41,301102,兆讯传媒,10.9,-2.24,-0.25,41616,45790850.21,3.05,11.21,10.87,11.12,11.15,4.1,49.38,1.46
41,42,300059,东方财富,23.27,-2.27,-0.54,3308993,7778007075.49,2.86,23.91,23.23,23.71,23.81,2.48,38.22,4.55
42,43,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
43,44,301313,凡拓数创,23.64,-2.31,-0.56,28555,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
44,45,300654,世纪天鸿,11.21,-2.35,-0.27,97944,110946578.0,2.79,11.52,11.2,11.35,11.48,3.0,97.78,4.87
45,46,300616,尚品宅配,13.24,-2.36,-0.32,38004,50576192.0,3.32,13.55,13.1,13.51,13.56,2.44,-19.53,0.85
46,47,300578,会畅通讯,20.21,-2.37,-0.49,42433,86578926.0,2.51,20.7,20.18,20.65,20.7,2.19,130.68,3.41
47,48,300036,超图软件,16.92,-2.37,-0.41,91153,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
48,49,002400,省广集团,8.17,-2.39,-0.2,700809,576800674.57,2.75,8.38,8.15,8.34,8.37,4.06,117.1,2.9
49,50,300347,泰格医药,54.9,-2.4,-1.35,90131,496324610.62,3.54,56.29,54.3,56.01,56.25,1.59,43.78,2.25
50,51,300949,奥雅股份,34.99,-2.4,-0.86,10791,37873190.0,3.85,35.99,34.61,35.85,35.85,3.15,-15.31,2.42
51,52,300079,数码视讯,5.67,-2.41,-0.14,285945,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
52,53,002131,利欧股份,3.96,-2.46,-0.1,3377277,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
53,54,300987,川网传媒,15.85,-2.46,-0.4,40810,65054330.0,3.26,16.3,15.77,16.13,16.25,2.35,198.62,3.47
54,55,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
55,56,300315,掌趣科技,5.62,-2.6,-0.15,985716,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
56,57,603018,华设集团,8.49,-2.64,-0.23,130625,111501994.0,3.1,8.71,8.44,8.71,8.72,1.91,18.76,1.18
57,58,300063,天龙集团,9.5,-2.66,-0.26,301767,288874833.5,2.46,9.74,9.5,9.58,9.76,4.83,111.61,4.48
58,59,002373,千方科技,9.76,-2.69,-0.27,238657,235656404.0,3.09,10.05,9.74,10.0,10.03,1.73,734.02,1.23
59,60,002657,中科金财,21.81,-2.72,-0.61,300296,658167400.0,4.77,22.6,21.53,22.09,22.42,8.93,-71.01,4.1
60,61,301171,易点天下,27.58,-2.72,-0.77,172855,479364327.0,3.28,28.28,27.35,28.1,28.35,5.6,50.06,3.7
61,62,603322,超讯通信,46.5,-2.74,-1.31,84475,394325570.0,4.62,48.01,45.8,47.0,47.81,5.36,216.15,22.84
62,63,000810,创维数字,13.58,-2.79,-0.39,261690,357777492.16,2.51,13.89,13.54,13.8,13.97,2.34,49.54,2.46
63,64,000977,浪潮信息,56.63,-2.86,-1.67,443668,2536951292.44,2.88,58.18,56.5,57.88,58.3,3.02,48.31,4.43
64,65,300130,新国都,22.54,-2.89,-0.67,144001,329253579.74,4.09,23.44,22.49,23.1,23.21,3.32,32.24,2.98
65,66,002624,完美世界,10.99,-2.92,-0.33,272719,302866325.4,4.06,11.4,10.94,11.26,11.32,1.49,-41.13,2.79
66,67,300170,汉得信息,19.69,-2.96,-0.6,948554,1918418317.85,7.44,21.11,19.6,20.0,20.29,10.01,107.1,3.88
67,68,300133,华策影视,7.49,-2.98,-0.23,607059,460325849.49,3.11,7.72,7.48,7.68,7.72,3.74,64.25,2.01
68,69,002649,博彦科技,13.88,-3.0,-0.43,186394,260856957.03,3.0,14.25,13.82,14.18,14.31,3.4,34.15,1.94
69,70,688777,中控技术,53.64,-3.05,-1.69,136766,741018571.0,3.45,55.33,53.42,55.21,55.33,1.75,37.53,4.11
70,71,603777,来伊份,14.26,-3.06,-0.45,115104,165327715.0,3.2,14.67,14.2,14.6,14.71,3.42,-84.45,2.7
71,72,301066,万事利,13.95,-3.06,-0.44,40931,57511474.0,3.34,14.39,13.91,14.31,14.39,2.17,70.98,3.94
72,73,300348,长亮科技,14.79,-3.08,-0.47,306628,458355469.5,2.88,15.2,14.76,15.03,15.26,4.33,2262.85,5.94
73,74,300075,数字政通,18.68,-3.16,-0.61,222565,420604230.08,3.58,19.29,18.6,19.08,19.29,4.33,424.4,2.93
74,75,300822,贝仕达克,21.13,-3.21,-0.7,42358,90438214.34,4.35,22.0,21.05,22.0,21.83,1.47,82.76,5.15
75,76,300703,创源股份,14.71,-3.22,-0.49,45553,67917347.2,2.89,15.15,14.71,15.1,15.2,2.68,33.34,3.15
76,77,301085,亚康股份,68.58,-3.22,-2.28,29785,206399381.25,4.19,71.23,68.26,71.23,70.86,5.06,78.16,5.37
77,78,002181,粤 传 媒,5.64,-3.26,-0.19,243530,139011375.0,3.26,5.83,5.64,5.76,5.83,2.15,-129.13,1.58
78,79,002298,中电鑫龙,5.87,-3.29,-0.2,428172,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
79,80,300299,富春股份,6.29,-3.38,-0.22,339709,215922542.61,3.38,6.48,6.26,6.47,6.51,4.93,-77.59,8.05
80,81,688228,开普云,60.18,-3.4,-2.12,19742,120467624.0,4.82,62.59,59.59,60.8,62.3,2.92,196.63,3.12
81,82,300996,普联软件,23.91,-3.47,-0.86,63649,154077217.6,3.51,24.75,23.88,24.57,24.77,3.77,243.28,4.08
82,83,300785,值得买,33.86,-3.53,-1.24,49987,171716209.65,4.73,35.36,33.7,35.1,35.1,4.09,1327.33,3.68
83,84,300624,万兴科技,65.87,-3.56,-2.43,65066,434277297.71,3.34,68.09,65.81,67.8,68.3,3.8,-1737.44,9.99
