,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688173,希荻微,12.92,2.95,0.37,142112,185304981.0,9.32,13.55,12.38,12.65,12.55,5.92,-18.8,3.57
1,2,002938,鹏鼎控股,36.24,-1.12,-0.41,77248,281169434.27,2.1,36.87,36.1,36.51,36.65,0.34,23.21,2.62
2,3,300657,弘信电子,37.85,-1.23,-0.47,520284,1987111117.6,3.94,38.92,37.41,38.03,38.32,11.39,253.44,13.93
3,4,688036,传音控股,93.29,-1.28,-1.21,50544,473883993.0,2.4,94.99,92.72,94.53,94.5,0.44,19.03,5.26
4,5,603160,汇顶科技,76.2,-1.52,-1.18,50020,383698745.0,2.73,78.07,75.96,77.11,77.38,1.08,58.3,3.94
5,6,300283,温州宏丰,6.21,-2.05,-0.13,133469,83447548.25,2.52,6.35,6.19,6.3,6.34,4.34,-162.47,3.34
6,7,300218,安利股份,16.85,-2.21,-0.38,41358,70137512.6,2.73,17.22,16.75,17.12,17.23,1.91,18.25,2.64
7,8,300647,超频三,6.2,-2.36,-0.15,146001,91061201.0,2.99,6.35,6.16,6.35,6.35,3.2,-45.42,3.02
8,9,300909,汇创达,28.1,-2.8,-0.81,35670,100652584.2,3.46,28.81,27.81,28.8,28.91,3.12,48.24,2.46
9,10,300496,中科创达,61.83,-2.86,-1.82,174632,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
10,11,002845,同兴达,15.82,-2.89,-0.47,98808,157549736.3,2.64,16.21,15.78,16.2,16.29,3.95,53.64,1.89
11,12,688601,力芯微,42.5,-2.97,-1.3,24628,106037562.0,3.33,43.96,42.5,43.88,43.8,1.84,45.02,4.49
12,13,000063,中兴通讯,35.11,-3.01,-1.09,1275809,4519847650.36,3.29,36.19,35.0,36.01,36.2,3.17,19.94,2.31
13,14,301489,思泉新材,62.91,-3.02,-1.96,16618,106028870.02,3.51,65.12,62.84,64.38,64.87,4.89,65.24,3.55
14,15,688088,虹软科技,46.92,-3.06,-1.48,55445,262383281.0,3.6,48.38,46.64,48.06,48.4,1.38,107.43,6.93
15,16,301308,江波龙,99.72,-3.06,-3.15,95702,955919192.72,4.01,102.0,97.88,102.0,102.87,8.25,83.18,6.41
16,17,688798,艾为电子,76.0,-3.27,-2.57,38994,295660855.0,5.38,78.12,73.89,77.98,78.57,2.88,69.36,4.51
17,18,688049,炬芯科技,43.79,-3.31,-1.5,45643,201717389.0,4.15,45.38,43.5,45.1,45.29,4.07,60.38,3.41
18,19,002273,水晶光电,23.11,-3.39,-0.81,353833,827096434.66,3.26,23.86,23.08,23.72,23.92,2.61,27.98,3.64
19,20,603327,福蓉科技,12.95,-3.65,-0.49,113200,147952168.0,3.42,13.39,12.93,13.39,13.44,1.47,52.44,4.78
20,21,002632,道明光学,9.36,-3.7,-0.36,190775,181269683.38,3.5,9.67,9.33,9.66,9.72,3.28,30.45,2.79
21,22,688153,唯捷创芯,34.48,-3.85,-1.38,34126,118824774.0,4.04,35.7,34.25,35.7,35.86,3.0,-624.92,3.71
22,23,688525,佰维存储,72.8,-4.21,-3.2,200381,1496468358.0,5.58,77.0,72.76,75.2,76.0,6.32,178.71,12.83
23,24,002579,中京电子,8.56,-4.36,-0.39,250360,217597726.12,4.58,8.94,8.53,8.84,8.95,4.3,-41.99,2.18
24,25,688458,美芯晟,36.74,-4.52,-1.74,24968,92650043.0,3.9,38.07,36.57,37.81,38.48,2.97,-61.31,2.17
25,26,002036,联创电子,11.88,-4.65,-0.58,672578,809579175.59,4.33,12.4,11.86,12.32,12.46,6.39,-204.39,4.69
26,27,002600,领益智造,9.13,-4.99,-0.48,1706057,1582559140.53,4.68,9.55,9.1,9.5,9.61,2.47,34.15,3.3
27,28,300684,中石科技,24.93,-5.64,-1.49,128658,329205236.04,5.37,26.35,24.93,26.3,26.42,6.41,42.4,3.84
28,29,300598,诚迈科技,48.5,-5.66,-2.91,115070,567030040.35,4.73,50.88,48.45,50.5,51.41,5.3,-95.96,6.67
29,30,300766,每日互动,49.01,-6.02,-3.14,1151777,5754811031.3,8.63,52.5,48.0,49.39,52.15,32.38,2271.59,11.9
30,31,605488,福莱新材,47.9,-6.04,-3.08,77321,375536637.0,5.24,50.44,47.77,50.03,50.98,4.0,100.7,6.75
31,32,300968,格林精密,17.61,-6.18,-1.16,142255,255188768.0,5.54,18.65,17.61,18.2,18.77,3.44,115.67,3.86
32,33,300735,光弘科技,29.08,-9.61,-3.09,447103,1331813057.04,7.24,31.4,29.07,31.4,32.17,5.9,112.51,4.64
33,34,600203,福日电子,10.06,-10.02,-1.12,1051683,1078826258.0,6.53,10.79,10.06,10.51,11.18,17.74,-33.37,3.13
