,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600797,浙大网新,14.15,4.04,0.55,4145789,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
1,2,301396,宏景科技,86.25,3.98,3.3,185315,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
2,3,600734,实达集团,5.04,1.82,0.09,1820817,893595531.0,8.48,5.1,4.68,4.92,4.95,8.4,225.3,25.6
3,4,300840,酷特智能,26.39,1.38,0.36,426949,1150000484.95,8.84,28.0,25.7,26.58,26.03,24.94,30.48,4.77
4,5,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
5,6,002315,焦点科技,43.38,0.3,0.13,87718,375697827.84,3.84,43.68,42.02,43.0,43.25,4.34,30.5,5.48
6,7,300010,豆神教育,8.11,0.0,0.0,875623,708138810.04,2.84,8.2,7.97,8.02,8.11,5.26,113.37,15.45
7,8,688066,航天宏图,21.13,-0.98,-0.21,158924,339266566.0,4.45,21.88,20.93,21.0,21.34,6.08,-3.86,5.62
8,9,300058,蓝色光标,9.89,-1.3,-0.13,1473525,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
9,10,688500,慧辰股份,29.9,-1.52,-0.46,11337,34098165.0,3.99,30.88,29.67,30.26,30.36,1.53,-39.84,3.0
10,11,300143,盈康生命,10.22,-1.92,-0.2,70867,72734225.82,3.07,10.47,10.15,10.32,10.42,1.1,69.59,3.21
11,12,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
12,13,300418,昆仑万维,36.34,-2.21,-0.82,228935,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
13,14,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
14,15,300654,世纪天鸿,11.21,-2.35,-0.27,97944,110946578.0,2.79,11.52,11.2,11.35,11.48,3.0,97.78,4.87
15,16,300616,尚品宅配,13.24,-2.36,-0.32,38004,50576192.0,3.32,13.55,13.1,13.51,13.56,2.44,-19.53,0.85
16,17,300036,超图软件,16.92,-2.37,-0.41,91153,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
