,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
1,2,603031,安孚科技,30.56,-0.81,-0.25,30492,93423305.0,1.98,30.96,30.35,30.81,30.81,1.44,38.36,3.51
2,3,688262,国芯科技,29.27,-1.11,-0.33,116093,336727139.0,8.01,30.5,28.13,29.48,29.6,4.39,-55.92,4.47
3,4,300811,铂科新材,49.09,-2.15,-1.08,36100,178772326.36,2.73,50.33,48.96,49.83,50.17,1.57,37.03,5.68
4,5,300418,昆仑万维,36.34,-2.21,-0.82,228935,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
5,6,300531,优博讯,14.52,-2.55,-0.38,64052,93456189.0,2.82,14.87,14.45,14.85,14.9,2.03,204.5,3.17
6,7,000100,TCL科技,4.56,-2.56,-0.12,3338848,1539398798.95,2.78,4.69,4.56,4.67,4.68,1.84,42.11,1.62
7,8,688256,寒武纪-U,685.05,-2.64,-18.58,96457,6546979147.0,6.94,710.19,661.36,710.19,703.63,2.31,-645.27,52.65
8,9,688385,复旦微电,47.15,-2.68,-1.3,111465,528116683.0,4.54,48.88,46.68,48.0,48.45,2.08,67.65,6.57
9,10,688008,澜起科技,74.02,-2.78,-2.12,250379,1872391227.0,3.59,76.45,73.72,75.5,76.14,2.19,60.02,7.43
10,11,300409,道氏技术,15.61,-2.8,-0.45,368571,581133403.27,3.92,16.17,15.54,16.05,16.06,6.2,54.84,1.45
11,12,300474,景嘉微,83.89,-3.1,-2.68,101742,863070400.13,3.28,86.7,83.86,86.18,86.57,3.11,1377.29,6.04
12,13,300192,科德教育,17.46,-3.16,-0.57,142880,251612871.49,3.16,17.97,17.4,17.96,18.03,6.8,40.57,7.01
13,14,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
14,15,688049,炬芯科技,43.79,-3.31,-1.5,45643,201717389.0,4.15,45.38,43.5,45.1,45.29,4.07,60.38,3.41
15,16,688099,晶晨股份,79.79,-3.52,-2.91,83983,674713989.0,5.02,83.15,79.0,82.18,82.7,2.0,40.81,5.19
16,17,002049,紫光国微,66.2,-3.67,-2.52,289514,1947698960.68,4.95,69.4,66.0,68.12,68.72,3.41,47.24,4.53
17,18,688416,恒烁股份,42.39,-3.83,-1.69,22748,97420379.0,4.61,44.33,42.3,43.76,44.08,4.76,-21.61,2.57
18,19,688041,海光信息,145.8,-3.86,-5.86,213896,3156244397.0,5.69,152.63,144.0,151.5,151.66,2.41,175.5,16.73
19,20,688107,安路科技,29.99,-4.52,-1.42,54931,166988191.0,4.55,31.41,29.98,31.29,31.41,1.37,-58.51,9.89
20,21,603893,瑞芯微,160.5,-5.2,-8.8,121331,1963460953.0,5.72,168.98,159.3,167.0,169.3,2.9,143.37,20.58
21,22,300184,力源信息,10.39,-5.2,-0.57,960355,1020417488.67,6.48,11.1,10.39,10.85,10.96,9.16,89.69,3.24
22,23,688343,云天励飞-U,60.87,-5.23,-3.36,136569,845383598.0,6.23,64.7,60.7,64.1,64.23,5.3,-37.71,5.48
23,24,688619,罗普特,9.48,-5.95,-0.6,72500,69794773.0,8.53,10.29,9.43,10.28,10.08,3.91,-9.2,1.97
24,25,002195,岩山科技,6.25,-6.02,-0.4,6143851,3892319821.18,4.21,6.53,6.25,6.5,6.65,10.95,628.88,3.63
25,26,301536,星宸科技,69.08,-6.81,-5.05,39404,277692341.37,6.81,74.13,69.08,74.0,74.13,10.4,111.17,10.05
26,27,688168,安博通,70.5,-8.69,-6.71,35702,258949369.0,8.12,76.65,70.38,76.63,77.21,4.65,-46.5,4.82
27,28,832149,利尔达,14.32,-9.19,-1.45,149884,220377284.37,9.26,15.66,14.2,15.51,15.77,12.99,-41.2,8.69
