,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301231,荣信文化,24.35,3.62,0.85,58258,139358431.78,5.19,24.62,23.4,23.62,23.5,10.81,-61.7,2.33
1,2,688787,海天瑞声,111.4,1.09,1.2,46774,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
2,3,000719,中原传媒,10.89,0.37,0.04,67991,73781537.17,1.47,10.92,10.76,10.85,10.85,1.02,16.44,1.01
3,4,300071,福石控股,6.22,0.16,0.01,557311,352275696.6,4.51,6.48,6.2,6.27,6.21,5.9,-150.42,23.44
4,5,600825,新华传媒,7.58,-0.52,-0.04,684521,532612037.0,6.82,8.1,7.58,7.62,7.62,6.55,606.62,3.2
5,6,601949,中国出版,6.67,-0.6,-0.04,129824,87030811.0,1.94,6.78,6.65,6.7,6.71,0.68,30.43,1.37
6,7,601595,上海电影,29.19,-0.68,-0.2,75989,219831736.0,3.57,29.45,28.4,29.21,29.39,1.7,91.35,7.68
7,8,300788,中信出版,32.25,-0.74,-0.24,21875,71209472.0,3.08,33.1,32.1,32.61,32.49,1.15,51.68,2.83
8,9,601858,中国科传,20.19,-1.03,-0.21,34866,70750036.0,2.16,20.55,20.11,20.4,20.4,0.44,54.93,3.09
9,10,688500,慧辰股份,29.9,-1.52,-0.46,11337,34098165.0,3.99,30.88,29.67,30.26,30.36,1.53,-39.84,3.0
10,11,300413,芒果超媒,26.54,-1.67,-0.45,64088,171146895.96,2.74,27.15,26.41,26.95,26.99,0.63,25.78,2.2
11,12,301052,果麦文化,29.02,-2.03,-0.6,38492,112577873.18,3.54,29.95,28.9,29.5,29.62,4.8,101.42,4.13
12,13,301025,读客文化,9.12,-2.15,-0.2,47701,43788063.0,2.47,9.32,9.09,9.21,9.32,1.83,181.74,5.84
13,14,300418,昆仑万维,36.34,-2.21,-0.82,228935,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
14,15,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
15,16,300654,世纪天鸿,11.21,-2.35,-0.27,97944,110946578.0,2.79,11.52,11.2,11.35,11.48,3.0,97.78,4.87
16,17,603533,掌阅科技,19.44,-2.41,-0.48,73224,143488412.0,2.71,19.92,19.38,19.85,19.92,1.67,-173.75,3.42
17,18,002131,利欧股份,3.96,-2.46,-0.1,3377277,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
18,19,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
19,20,603721,中广天择,26.55,-2.64,-0.72,32906,88319162.0,2.09,27.12,26.55,27.02,27.27,2.53,-2697.79,6.72
20,21,300133,华策影视,7.49,-2.98,-0.23,607059,460325849.49,3.11,7.72,7.48,7.68,7.72,3.74,64.25,2.01
21,22,600100,同方股份,8.16,-3.09,-0.26,757805,624527468.0,2.49,8.36,8.15,8.33,8.42,2.26,274.63,1.81
22,23,002908,德生科技,9.55,-3.24,-0.32,112906,109040362.08,3.34,9.86,9.53,9.8,9.87,3.66,345.22,3.63
23,24,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
24,25,000681,视觉中国,22.1,-4.25,-0.98,367805,823781295.0,3.9,22.97,22.07,22.88,23.08,5.44,142.14,4.42
25,26,002343,慈文传媒,7.02,-4.75,-0.35,344505,245490548.01,4.61,7.35,7.01,7.3,7.37,7.25,219.18,3.41
26,27,002195,岩山科技,6.25,-6.02,-0.4,6143851,3892319821.18,4.21,6.53,6.25,6.5,6.65,10.95,628.88,3.63
