,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,900947,振华Ｂ股,0.272,6.67,0.017,201879,5380473.0,6.27,0.272,0.256,0.259,0.255,1.04,17.4,0.66
1,2,900922,三毛B股,0.513,1.58,0.008,3851,196669.0,3.17,0.517,0.501,0.505,0.505,0.79,33.17,1.57
2,3,900938,海科B,0.186,1.09,0.002,27824,518770.0,2.72,0.188,0.183,0.184,0.184,0.85,25.38,0.51
3,4,900904,神奇B股,0.539,0.94,0.005,5912,322981.0,4.12,0.56,0.538,0.558,0.534,1.08,25.49,0.86
4,5,201872,招港B,12.62,0.72,0.09,5691,7208958.57,2.0,12.74,12.49,12.51,12.53,0.32,5.71,0.47
5,6,900906,中毅达B,0.282,0.71,0.002,34505,971544.0,4.29,0.287,0.275,0.278,0.28,0.96,-154.19,32.75
6,7,900941,东信Ｂ股,0.43,0.7,0.003,9915,422958.0,2.11,0.432,0.423,0.426,0.427,0.33,27.39,1.09
7,8,200530,冰山B,1.69,0.6,0.01,5780,974488.8,1.79,1.7,1.67,1.69,1.68,0.24,10.19,0.41
8,9,200037,深南电B,1.82,0.55,0.01,805,145482.7,1.66,1.83,1.8,1.83,1.81,0.03,-16.26,0.7
9,10,200596,古井贡Ｂ,125.0,0.33,0.41,2197,27283846.37,2.01,125.0,122.5,124.35,124.59,0.18,9.42,2.55
10,11,900927,物贸Ｂ股,0.416,0.24,0.001,2338,97009.0,1.2,0.418,0.413,0.415,0.415,0.23,23.68,1.2
11,12,200429,粤高速Ｂ,7.88,0.13,0.01,5473,4294882.49,0.76,7.88,7.82,7.87,7.87,0.16,9.77,1.46
12,13,900910,海立Ｂ股,0.426,0.0,0.0,11113,471572.0,2.35,0.43,0.42,0.423,0.426,0.39,105.81,0.53
13,14,200706,瓦轴B,2.93,0.0,0.0,2301,671465.0,4.1,2.98,2.86,2.98,2.93,0.15,-16.52,3.29
14,15,900957,凌云Ｂ股,0.313,0.0,0.0,11063,348170.0,3.83,0.321,0.309,0.314,0.313,0.6,42.73,1.24
15,16,200570,苏常柴Ｂ,1.89,0.0,0.0,1965,367733.0,1.06,1.89,1.87,1.89,1.89,0.13,19.46,0.35
16,17,200016,深康佳Ｂ,1.01,0.0,0.0,6406,644915.0,1.98,1.02,1.0,1.02,1.01,0.08,-1.02,0.54
17,18,900913,国新B股,0.218,0.0,0.0,4588,99738.0,1.83,0.22,0.216,0.219,0.218,0.3,-221.57,0.84
18,19,200771,杭汽轮Ｂ,10.64,-0.09,-0.01,6209,6590346.6,0.94,10.67,10.57,10.65,10.65,0.15,21.47,1.26
19,20,900948,伊泰Ｂ股,2.093,-0.14,-0.003,41776,8736009.0,1.1,2.099,2.076,2.091,2.096,0.31,6.32,0.9
20,21,200581,苏威孚Ｂ,14.23,-0.21,-0.03,6427,9104591.0,1.47,14.29,14.08,14.29,14.26,0.37,7.51,0.66
21,22,900936,鄂资Ｂ股,0.85,-0.23,-0.002,10618,901550.0,1.76,0.859,0.844,0.859,0.852,0.13,7.26,0.8
22,23,200512,闽灿坤Ｂ,3.63,-0.27,-0.01,1329,481860.13,1.1,3.65,3.61,3.61,3.64,0.07,8.56,0.57
23,24,200030,富奥B,3.43,-0.29,-0.01,283,97057.0,1.45,3.46,3.41,3.41,3.44,0.06,9.1,0.7
24,25,900908,氯碱Ｂ股,0.585,-0.34,-0.002,10430,609383.0,1.36,0.589,0.581,0.585,0.587,0.26,5.86,0.56
25,26,200029,深深房Ｂ,2.71,-0.37,-0.01,929,247481.0,1.84,2.71,2.66,2.7,2.72,0.08,-14.37,0.72
26,27,200869,张  裕Ｂ,7.81,-0.38,-0.03,3245,2513597.0,2.17,7.85,7.68,7.84,7.84,0.15,15.85,0.45
27,28,900939,汇丽B,0.51,-0.39,-0.002,3547,182442.0,2.73,0.523,0.509,0.513,0.512,0.4,95.5,4.77
28,29,900929,锦旅Ｂ股,1.234,-0.48,-0.006,692,84913.0,1.05,1.238,1.225,1.225,1.24,0.1,40.45,1.2
29,30,200726,鲁  泰Ｂ,4.04,-0.49,-0.02,672,271459.0,0.74,4.06,4.03,4.06,4.06,0.03,7.76,0.32
30,31,200550,江  铃Ｂ,10.73,-0.56,-0.06,1861,1991151.0,1.48,10.81,10.65,10.81,10.79,0.05,5.43,0.74
31,32,200055,方大Ｂ,1.68,-0.59,-0.01,2138,357839.0,1.18,1.69,1.67,1.68,1.69,0.05,8.15,0.27
32,33,200026,飞亚达Ｂ,6.65,-0.6,-0.04,183,121732.0,1.05,6.7,6.63,6.7,6.69,0.05,11.34,0.74
33,34,200019,深粮B,3.32,-0.6,-0.02,1195,397090.0,0.9,3.34,3.31,3.33,3.34,0.23,10.58,0.71
34,35,200521,虹美菱B,4.34,-0.69,-0.03,3309,1430443.37,1.83,4.37,4.29,4.32,4.37,0.22,5.7,0.67
35,36,900943,开开Ｂ股,0.566,-0.7,-0.004,7064,404603.0,3.51,0.586,0.566,0.57,0.57,0.88,20.89,1.56
36,37,900945,海控B股,0.276,-0.72,-0.002,1902,52385.0,1.44,0.278,0.274,0.275,0.278,0.05,28.85,19.18
37,38,900911,金桥Ｂ股,0.803,-0.74,-0.006,5125,413405.0,1.73,0.814,0.8,0.807,0.809,0.19,6.3,0.43
38,39,200020,深华发Ｂ,2.54,-0.78,-0.02,247,62362.0,1.17,2.54,2.51,2.52,2.56,0.02,34.15,1.7
39,40,200625,长  安Ｂ,3.64,-0.82,-0.03,39273,14350597.72,1.09,3.68,3.64,3.67,3.67,0.24,6.82,0.45
40,41,900903,大众Ｂ股,0.238,-0.83,-0.002,14239,338705.0,1.67,0.24,0.236,0.239,0.24,0.18,13.23,0.41
41,42,900915,中路Ｂ股,0.468,-0.85,-0.004,3627,169048.0,1.69,0.472,0.464,0.472,0.472,0.43,274.84,1.72
42,43,200992,中  鲁Ｂ,2.29,-0.87,-0.02,1495,339682.0,2.6,2.3,2.24,2.29,2.31,0.11,149.25,0.53
43,44,900909,华谊B股,0.535,-0.93,-0.005,5260,281793.0,1.67,0.541,0.532,0.541,0.54,0.22,9.94,0.35
44,45,200553,安道麦B,2.11,-0.94,-0.02,1597,335681.0,1.88,2.13,2.09,2.12,2.13,0.1,-1.57,0.24
45,46,900934,锦江Ｂ股,1.561,-0.95,-0.015,7567,1186302.0,1.4,1.578,1.556,1.577,1.576,0.49,7.94,0.69
46,47,900912,外高Ｂ股,0.769,-1.03,-0.008,2596,200150.0,1.93,0.778,0.763,0.778,0.777,0.13,6.43,0.47
47,48,900905,老凤祥Ｂ,3.593,-1.05,-0.038,10506,3821288.0,1.85,3.66,3.593,3.618,3.631,0.51,6.75,1.05
48,49,900916,凤凰B股,0.375,-1.06,-0.004,3127,117405.0,2.11,0.381,0.373,0.38,0.379,0.18,20.24,0.61
49,50,900902,市北B股,0.179,-1.1,-0.002,11389,204689.0,2.21,0.182,0.178,0.18,0.181,0.24,-18.03,0.37
50,51,200541,粤照明Ｂ,2.65,-1.12,-0.03,15588,4172760.61,1.87,2.7,2.65,2.69,2.68,0.53,10.97,0.57
51,52,900937,华电B股,0.169,-1.17,-0.002,20169,340627.0,2.34,0.171,0.167,0.169,0.171,0.47,15.51,2.31
52,53,200045,深纺织Ｂ,4.14,-1.19,-0.05,95,39027.0,1.67,4.17,4.1,4.11,4.19,0.02,17.98,0.65
53,54,200017,深中华B,1.56,-1.27,-0.02,2302,359033.0,2.53,1.58,1.54,1.58,1.58,0.09,97.97,3.07
54,55,900940,大名城B,0.232,-1.28,-0.003,1653,38524.0,1.28,0.235,0.232,0.234,0.235,0.08,12.97,0.32
55,56,200505,京粮B,2.12,-1.4,-0.03,523,111443.33,1.86,2.15,2.11,2.15,2.15,0.08,37.42,0.44
56,57,900926,宝信Ｂ,1.815,-1.47,-0.027,53223,9620397.0,3.31,1.846,1.785,1.843,1.842,0.74,14.25,3.29
57,58,900921,丹科B股,0.134,-1.47,-0.002,3022,40634.0,2.21,0.136,0.133,0.135,0.136,0.16,-3.61,2.81
58,59,200539,粤电力Ｂ,1.96,-1.51,-0.03,16306,3220539.6,2.01,2.0,1.96,2.0,1.99,0.2,4.74,0.4
59,60,900942,黄山Ｂ股,0.74,-1.6,-0.012,5427,405688.0,1.86,0.754,0.74,0.753,0.752,0.25,9.96,0.82
60,61,900932,陆家Ｂ股,0.476,-1.65,-0.008,16289,778889.0,2.27,0.485,0.474,0.485,0.484,0.15,11.14,0.68
61,62,200056,皇庭B,1.18,-1.67,-0.02,1822,214162.2,2.5,1.2,1.17,1.19,1.2,0.07,-3.69,1.76
62,63,900914,锦在线B,0.587,-1.68,-0.01,5554,328064.0,2.35,0.6,0.586,0.598,0.597,0.34,10.39,0.56
63,64,900928,临港B股,0.614,-1.76,-0.011,1866,115175.0,2.08,0.626,0.613,0.624,0.625,0.15,13.16,0.58
64,65,200012,南  玻Ｂ,2.0,-1.96,-0.04,13279,2671931.72,1.96,2.04,2.0,2.03,2.04,0.12,5.28,0.39
65,66,900924,上工Ｂ股,0.39,-2.01,-0.008,8982,350207.0,3.02,0.397,0.385,0.396,0.398,0.37,-37.72,0.61
66,67,200025,特  力Ｂ,4.37,-2.02,-0.09,900,391484.35,2.24,4.43,4.33,4.33,4.46,0.24,11.79,1.0
67,68,900918,耀皮Ｂ股,0.332,-2.06,-0.007,2229,74509.0,1.77,0.338,0.332,0.338,0.339,0.12,16.95,0.63
68,69,900917,海欣Ｂ股,0.279,-2.11,-0.006,6934,195396.0,2.11,0.285,0.279,0.285,0.285,0.15,12.76,0.54
69,70,200058,深赛格B,1.74,-2.25,-0.04,1412,246530.0,2.25,1.77,1.73,1.77,1.78,0.06,38.0,0.96
70,71,200468,宁通信B,3.71,-2.37,-0.09,1240,461056.0,3.95,3.81,3.66,3.8,3.8,0.12,-25.91,-40.31
71,72,200028,一致Ｂ,12.02,-2.51,-0.31,2615,3189876.16,3.24,12.42,12.02,12.36,12.33,0.37,9.39,0.34
72,73,200011,深物业B,3.24,-2.7,-0.09,1001,326459.8,2.4,3.31,3.23,3.31,3.33,0.15,364.7,0.39
73,74,900920,动力Ｂ股,0.215,-2.71,-0.006,17107,370665.0,4.07,0.222,0.213,0.221,0.221,0.5,-1.24,0.49
74,75,900946,天雁B股,0.214,-2.73,-0.006,23467,509340.0,3.64,0.222,0.214,0.217,0.22,1.02,977.09,2.1
75,76,200761,本钢板Ｂ,1.37,-2.84,-0.04,8411,1167120.0,2.13,1.4,1.37,1.4,1.41,0.21,-1.19,0.39
76,77,900925,机电Ｂ股,1.206,-3.05,-0.038,21274,2567434.0,4.02,1.244,1.194,1.244,1.244,0.98,9.46,0.65
77,78,900923,百联Ｂ股,0.627,-3.09,-0.02,6313,402259.0,2.94,0.646,0.627,0.646,0.647,0.35,3.63,0.41
78,79,900952,ST锦港Ｂ,0.087,-3.33,-0.003,7721,67437.0,3.33,0.089,0.086,0.088,0.09,0.35,-0.43,0.27
79,80,200725,京东方Ｂ,2.76,-3.5,-0.1,22419,6261447.0,3.5,2.86,2.76,2.86,2.86,0.32,21.23,0.72
80,81,900901,云赛Ｂ股,0.8,-4.08,-0.034,50234,4077022.0,3.84,0.832,0.8,0.828,0.834,1.71,36.41,1.63
