,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000566,海南海药,5.08,1.2,0.06,376143,191224782.09,2.59,5.15,5.02,5.05,5.02,3.23,-16.75,3.73
1,2,300181,佐力药业,15.66,0.45,0.07,286973,455090608.22,4.11,16.22,15.58,15.97,15.59,4.77,21.76,3.96
2,3,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
3,4,688238,和元生物,5.39,-0.19,-0.01,80108,43202706.0,2.04,5.45,5.34,5.43,5.4,1.72,-10.76,2.01
4,5,300147,香雪制药,10.02,-0.5,-0.05,448045,462211045.9,6.55,10.66,10.0,10.45,10.07,6.81,-22.82,3.88
5,6,300272,开能健康,6.49,-1.07,-0.07,92421,60051162.0,1.98,6.57,6.44,6.55,6.56,2.14,33.38,3.2
6,7,300247,融捷健康,3.88,-1.52,-0.06,208341,81047945.0,2.54,3.95,3.85,3.92,3.94,2.59,64.21,2.97
7,8,300122,智飞生物,24.74,-1.63,-0.41,181382,451393984.15,2.35,25.25,24.66,25.1,25.15,1.28,20.65,1.88
8,9,300009,安科生物,8.68,-1.7,-0.15,158417,138652849.65,2.72,8.89,8.65,8.82,8.83,1.3,18.46,3.85
9,10,301080,百普赛斯,54.06,-1.73,-0.95,12827,69764852.73,3.64,55.5,53.5,54.82,55.01,1.42,58.28,2.56
10,11,600196,复星医药,24.5,-1.8,-0.45,117445,290311453.0,2.28,25.05,24.48,24.94,24.95,0.55,24.41,1.38
11,12,837344,三元基因,21.84,-1.84,-0.41,15231,33324051.1,6.25,22.77,21.38,22.0,22.25,1.34,88.35,4.28
12,13,002605,姚记科技,27.89,-1.86,-0.53,82386,232628241.04,3.98,28.92,27.79,28.33,28.42,2.47,20.46,3.49
13,14,688710,益诺思,37.03,-1.88,-0.71,8491,31820412.0,4.08,38.38,36.84,37.74,37.74,3.01,35.33,2.18
14,15,300404,博济医药,9.81,-2.0,-0.2,180484,180117463.52,5.59,10.35,9.79,10.24,10.01,6.49,65.12,3.81
15,16,600645,中源协和,21.31,-2.07,-0.45,59560,127686704.0,2.85,21.8,21.18,21.73,21.76,1.27,56.02,2.76
16,17,300149,睿智医药,6.37,-2.6,-0.17,82700,53208583.7,3.36,6.58,6.36,6.54,6.54,1.66,-38.58,2.32
17,18,300238,冠昊生物,12.99,-2.62,-0.35,129540,172751736.9,8.02,13.97,12.9,13.72,13.34,4.89,92.8,6.3
18,19,300030,阳普医疗,6.01,-2.91,-0.18,66244,40219502.7,3.72,6.22,5.99,6.19,6.19,2.43,-32.78,2.73
19,20,300109,新开源,16.73,-3.46,-0.6,170877,292762292.05,5.14,17.62,16.73,17.16,17.33,3.81,19.54,2.31
20,21,603259,药明康德,66.98,-3.72,-2.59,470393,3177821204.0,4.1,69.57,66.72,69.16,69.57,1.88,20.47,3.3
21,22,300244,迪安诊断,16.0,-4.48,-0.75,257530,418216936.48,4.0,16.65,15.98,16.64,16.75,5.14,57.31,1.42
22,23,688062,迈威生物-U,17.82,-5.56,-1.05,65648,118258864.0,6.62,18.86,17.61,18.8,18.87,3.22,-6.67,4.61
