,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600105,永鼎股份,6.18,4.57,0.27,2003783,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
1,2,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
2,3,600487,亨通光电,17.59,3.23,0.55,2108044,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
3,4,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
4,5,600601,方正科技,5.3,1.34,0.07,1682251,878112257.0,3.82,5.33,5.13,5.18,5.23,4.03,78.96,5.44
5,6,688102,斯瑞新材,10.01,1.11,0.11,114294,113676317.0,3.84,10.1,9.72,9.88,9.9,1.57,62.1,6.55
6,7,002792,通宇通讯,15.74,0.58,0.09,333336,527084072.96,6.45,16.24,15.23,15.42,15.65,10.62,119.77,2.96
7,8,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
8,9,300570,太辰光,86.42,-0.67,-0.58,88151,765562752.5,2.82,88.37,85.92,86.23,87.0,4.58,100.96,13.88
9,10,001267,汇绿生态,9.23,-0.75,-0.07,58046,53615112.65,2.15,9.37,9.17,9.31,9.3,1.03,205.52,4.73
10,11,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
11,12,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
12,13,300548,博创科技,41.39,-1.55,-0.65,105590,440626310.3,2.81,42.46,41.28,41.81,42.04,4.73,238.35,7.09
13,14,688205,德科立,62.41,-1.55,-0.98,43973,274868359.0,3.77,63.97,61.58,63.2,63.39,6.48,75.21,3.37
14,15,002185,华天科技,10.85,-1.81,-0.2,407392,445278173.12,2.44,11.08,10.81,11.0,11.05,1.27,73.03,2.11
15,16,300303,聚飞光电,7.02,-1.96,-0.14,402219,284521565.7,3.21,7.2,6.97,7.14,7.16,3.05,29.18,2.66
16,17,002902,铭普光磁,19.83,-1.98,-0.4,62038,123733676.0,2.17,20.24,19.8,20.16,20.23,3.49,-25.11,4.22
17,18,603052,可川科技,36.15,-2.03,-0.75,13573,49458852.0,2.3,36.91,36.06,36.9,36.9,3.31,63.93,4.41
18,19,600584,长电科技,36.26,-2.03,-0.75,312769,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
19,20,601869,长飞光纤,35.26,-2.22,-0.8,41135,146468993.0,2.44,36.14,35.26,35.81,36.06,1.01,34.98,2.31
20,21,301205,联特科技,70.58,-2.27,-1.64,23988,171313911.52,3.39,72.95,70.5,71.95,72.22,3.53,110.32,6.19
21,22,300308,中际旭创,102.45,-2.43,-2.55,227333,2343385547.87,2.71,104.96,102.11,104.32,105.0,2.07,21.89,5.91
22,23,300394,天孚通信,87.72,-2.53,-2.28,143950,1271891357.06,2.94,89.95,87.3,89.3,90.0,2.6,37.32,12.55
23,24,300620,光库科技,47.27,-2.64,-1.28,60021,287222366.05,3.15,48.79,47.26,48.46,48.55,2.43,158.29,6.13
24,25,603083,剑桥科技,38.37,-2.71,-1.07,78465,304153779.0,2.71,39.43,38.36,39.43,39.44,2.96,50.83,4.57
25,26,301165,锐捷网络,71.51,-2.85,-2.1,59993,435012689.33,3.23,73.78,71.4,73.0,73.61,8.8,74.01,9.23
26,27,300757,罗博特科,180.55,-2.96,-5.51,35574,646339479.84,4.19,186.83,179.03,181.01,186.06,2.4,294.95,27.41
27,28,600498,烽火通信,23.14,-3.02,-0.72,347682,811334834.0,2.81,23.71,23.04,23.61,23.86,2.98,52.24,2.16
28,29,603803,瑞斯康达,10.92,-3.36,-0.38,151375,166899458.0,3.19,11.24,10.88,11.19,11.3,3.56,-54.05,2.79
29,30,300502,新易盛,95.07,-3.42,-3.37,229323,2215654706.34,4.41,99.32,94.98,97.87,98.44,3.64,30.7,9.51
30,31,002725,跃岭股份,12.48,-3.48,-0.45,109706,138273140.52,3.02,12.86,12.47,12.81,12.93,5.18,-376.11,3.33
