,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
1,2,600797,浙大网新,14.15,4.04,0.55,4145789,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
2,3,301396,宏景科技,86.25,3.98,3.3,185315,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
3,4,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
4,5,688787,海天瑞声,111.4,1.09,1.2,46774,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
5,6,300338,*ST开元,3.81,0.53,0.02,65922,25162653.0,3.17,3.88,3.76,3.77,3.79,1.91,-31.86,-10.35
6,7,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
7,8,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
8,9,688058,宝兰德,31.59,-0.38,-0.12,16806,52954416.0,3.78,32.11,30.91,31.61,31.71,2.16,-42.69,3.38
9,10,002226,江南化工,5.68,-0.7,-0.04,278891,160195574.6,2.97,5.84,5.67,5.72,5.72,1.05,15.05,1.61
10,11,601138,工业富联,20.63,-1.06,-0.22,714499,1479176185.0,1.58,20.91,20.58,20.78,20.85,0.36,17.65,2.68
11,12,002229,鸿博股份,13.05,-1.06,-0.14,216661,281149768.12,2.65,13.19,12.84,13.01,13.19,4.39,-78.3,4.36
12,13,605168,三人行,30.38,-1.24,-0.38,24656,75171325.0,2.24,30.84,30.15,30.76,30.76,1.17,26.44,2.3
13,14,300058,蓝色光标,9.89,-1.3,-0.13,1473525,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
14,15,300592,华凯易佰,12.58,-1.41,-0.18,56042,70762800.4,2.12,12.8,12.53,12.74,12.76,1.53,20.18,2.3
15,16,688318,财富趋势,153.41,-1.44,-2.24,21886,339226480.0,2.88,157.2,152.72,155.02,155.65,1.2,92.01,7.77
16,17,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
17,18,002803,吉宏股份,12.88,-1.45,-0.19,50384,65205162.1,1.99,13.12,12.86,13.08,13.07,1.75,27.6,2.29
18,19,300688,创业黑马,30.59,-1.45,-0.45,78393,240160288.9,4.12,31.48,30.2,30.73,31.04,5.29,-88.97,10.54
19,20,600449,宁夏建材,15.87,-1.73,-0.28,217403,349670716.0,3.28,16.38,15.85,16.07,16.15,4.55,33.32,1.05
20,21,603687,大胜达,7.24,-2.03,-0.15,116567,85010601.0,2.44,7.39,7.21,7.36,7.39,2.12,36.11,1.23
21,22,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
22,23,002878,元隆雅图,15.74,-2.18,-0.35,71796,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
23,24,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
24,25,300418,昆仑万维,36.34,-2.21,-0.82,228935,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
25,26,300033,同花顺,301.22,-2.21,-6.8,81235,2469945141.83,3.02,309.99,300.7,307.88,308.02,2.95,88.82,25.46
26,27,300612,宣亚国际,15.4,-2.22,-0.35,50171,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
27,28,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
28,29,300059,东方财富,23.27,-2.27,-0.54,3308993,7778007075.49,2.86,23.91,23.23,23.71,23.81,2.48,38.22,4.55
29,30,301313,凡拓数创,23.64,-2.31,-0.56,28555,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
30,31,300465,高伟达,16.45,-2.43,-0.41,144075,239263133.0,3.74,16.98,16.35,16.73,16.86,3.25,227.72,11.05
31,32,300188,国投智能,14.81,-2.44,-0.37,178380,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
32,33,300479,神思电子,21.46,-2.5,-0.55,74175,160834647.48,3.82,22.14,21.3,22.01,22.01,3.76,-28.16,9.95
33,34,300002,神州泰岳,13.72,-2.56,-0.36,637755,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
34,35,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
35,36,300315,掌趣科技,5.62,-2.6,-0.15,985716,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
36,37,300352,北信源,5.58,-2.62,-0.15,350601,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
37,38,301171,易点天下,27.58,-2.72,-0.77,172855,479364327.0,3.28,28.28,27.35,28.1,28.35,5.6,50.06,3.7
38,39,002362,汉王科技,23.38,-2.79,-0.67,69525,163829518.98,2.79,23.97,23.3,23.96,24.05,3.35,-57.14,4.84
39,40,300496,中科创达,61.83,-2.86,-1.82,174632,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
40,41,300133,华策影视,7.49,-2.98,-0.23,607059,460325849.49,3.11,7.72,7.48,7.68,7.72,3.74,64.25,2.01
41,42,600446,金证股份,17.78,-3.0,-0.55,303010,541147329.0,4.26,18.29,17.51,18.28,18.33,3.2,-109.31,4.51
42,43,002649,博彦科技,13.88,-3.0,-0.43,186394,260856957.03,3.0,14.25,13.82,14.18,14.31,3.4,34.15,1.94
43,44,600415,小商品城,13.18,-3.02,-0.41,298829,396710412.0,3.68,13.57,13.07,13.5,13.59,0.55,23.28,3.66
44,45,601360,三六零,10.85,-3.04,-0.34,1059584,1161941100.0,2.77,11.16,10.85,11.13,11.19,1.51,-98.39,2.49
45,46,603777,来伊份,14.26,-3.06,-0.45,115104,165327715.0,3.2,14.67,14.2,14.6,14.71,3.42,-84.45,2.7
46,47,600100,同方股份,8.16,-3.09,-0.26,757805,624527468.0,2.49,8.36,8.15,8.33,8.42,2.26,274.63,1.81
47,48,688590,新致软件,20.92,-3.24,-0.7,98496,208207914.0,3.38,21.59,20.86,21.42,21.62,3.75,684.55,3.76
48,49,300291,百纳千成,4.84,-3.39,-0.17,301103,147833747.0,3.99,5.02,4.82,5.0,5.01,3.24,-63.22,1.3
49,50,688228,开普云,60.18,-3.4,-2.12,19742,120467624.0,4.82,62.59,59.59,60.8,62.3,2.92,196.63,3.12
50,51,000676,智度股份,8.72,-3.43,-0.31,379840,334064458.69,2.66,8.94,8.7,8.94,9.03,3.01,53.3,2.8
51,52,300459,汤姆猫,6.46,-3.44,-0.23,2097921,1375206424.21,4.48,6.73,6.43,6.66,6.69,6.39,203.97,6.82
52,53,300624,万兴科技,65.87,-3.56,-2.43,65066,434277297.71,3.34,68.09,65.81,67.8,68.3,3.8,-1737.44,9.99
53,54,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
54,55,002642,荣联科技,9.34,-3.71,-0.36,1487184,1418264380.59,5.67,9.86,9.31,9.83,9.7,22.51,442.34,5.37
