,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688206,概伦电子,25.03,4.29,1.03,188349.0,465155713.0,7.88,25.5,23.61,24.21,24.0,10.63,-113.98,5.56
1,2,301095,广立微,57.46,2.7,1.51,82368.0,464411257.55,6.67,57.97,54.24,55.59,55.95,7.65,1119.51,3.75
2,3,600834,申通地铁,8.49,0.0,0.0,42287.0,35820581.0,1.53,8.54,8.41,8.52,8.49,0.89,58.92,2.39
3,4,600820,隧道股份,6.38,0.0,0.0,252627.0,162015136.0,1.88,6.48,6.36,6.38,6.38,0.8,10.03,0.69
4,5,000488,ST晨鸣,1.97,-1.5,-0.03,556722.0,110369603.0,2.5,2.01,1.96,2.0,2.0,3.32,-6.12,0.36
5,6,600846,同济科技,9.28,-2.11,-0.2,64248.0,60142285.0,2.32,9.49,9.27,9.48,9.48,1.03,14.18,1.46
6,7,300053,航宇微,13.87,-3.28,-0.47,209559.0,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
7,8,300456,赛微电子,17.69,-3.39,-0.62,161287.0,288682171.16,2.89,18.2,17.67,18.1,18.31,2.72,-76.2,2.63
8,9,300046,台基股份,32.01,-3.44,-1.14,88232.0,286363661.1,3.44,33.14,32.0,33.0,33.15,3.73,306.12,6.89
9,10,002049,紫光国微,66.2,-3.67,-2.52,289514.0,1947698960.68,4.95,69.4,66.0,68.12,68.72,3.41,47.24,4.53
10,11,301366,一博科技,57.63,-4.13,-2.48,45550.0,266041513.36,3.28,59.59,57.62,59.0,60.11,8.33,77.52,3.97
11,12,688107,安路科技,29.99,-4.52,-1.42,54931.0,166988191.0,4.55,31.41,29.98,31.29,31.41,1.37,-58.51,9.89
12,13,300353,东土科技,19.71,-9.59,-2.09,1281568.0,2585573946.92,10.28,21.64,19.4,21.54,21.8,24.54,313.71,5.61
13,14,301269,华大九天,,,,,,,,,,111.52,0.0,775.67,12.35
