,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
1,2,002357,富临运业,8.0,-1.96,-0.16,132117,106313024.8,2.57,8.18,7.97,8.13,8.16,4.21,20.93,1.65
2,3,300188,国投智能,14.81,-2.44,-0.37,178380,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
3,4,601360,三六零,10.85,-3.04,-0.34,1059584,1161941100.0,2.77,11.16,10.85,11.13,11.19,1.51,-98.39,2.49
4,5,002232,启明信息,19.99,-3.62,-0.75,159398,324387067.5,5.74,21.1,19.91,20.77,20.74,3.9,-182.87,6.06
5,6,002355,兴民智通,7.31,-3.69,-0.28,409670,302748200.47,3.56,7.57,7.3,7.52,7.59,6.63,25.2,3.78
6,7,300077,国民技术,25.3,-3.8,-1.0,297671,762109721.5,4.03,26.32,25.26,26.08,26.3,5.26,-74.08,13.71
7,8,002055,得润电子,6.23,-3.86,-0.25,353713,221898342.0,4.01,6.47,6.21,6.43,6.48,5.98,-22.46,1.51
8,9,300857,协创数据,118.66,-4.45,-5.53,114086,1383437473.99,5.85,125.27,118.0,124.19,124.19,4.66,39.18,9.57
9,10,002970,锐明技术,54.82,-4.51,-2.59,56926,317677586.0,4.84,57.39,54.61,56.67,57.41,4.9,33.09,5.88
10,11,300458,全志科技,54.43,-5.11,-2.93,434470,2404839548.15,5.11,57.25,54.32,56.78,57.36,8.39,206.81,11.48
11,12,603893,瑞芯微,160.5,-5.2,-8.8,121331,1963460953.0,5.72,168.98,159.3,167.0,169.3,2.9,143.37,20.58
12,13,688288,鸿泉物联,33.44,-5.8,-2.06,67778,233272379.0,7.97,36.16,33.33,36.12,35.5,6.73,-966.02,4.64
13,14,300735,光弘科技,29.08,-9.61,-3.09,447103,1331813057.04,7.24,31.4,29.07,31.4,32.17,5.9,112.51,4.64
