,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
1,2,301315,威士顿,58.5,1.25,0.72,34489,199914172.96,4.05,59.2,56.86,57.78,57.78,9.32,128.84,5.1
2,3,002315,焦点科技,43.38,0.3,0.13,87718,375697827.84,3.84,43.68,42.02,43.0,43.25,4.34,30.5,5.48
3,4,000906,浙商中拓,6.25,-0.95,-0.06,88265,55529030.71,2.22,6.36,6.22,6.3,6.31,1.26,9.17,0.94
4,5,688369,致远互联,34.58,-1.71,-0.6,27047,93678146.0,4.78,35.76,34.08,34.33,35.18,2.35,-23.76,3.57
5,6,688631,莱斯信息,97.86,-1.83,-1.82,19932,194997620.0,3.02,99.87,96.86,99.5,99.68,3.25,123.36,8.3
6,7,300668,杰恩设计,18.83,-2.69,-0.52,18974,36085013.0,2.58,19.31,18.81,19.22,19.35,2.15,162.33,2.99
7,8,300170,汉得信息,19.69,-2.96,-0.6,948554,1918418317.85,7.44,21.11,19.6,20.0,20.29,10.01,107.1,3.88
8,9,600845,宝信软件,30.38,-3.28,-1.03,251649,775186236.0,3.31,31.39,30.35,31.23,31.41,1.18,34.04,7.86
9,10,300996,普联软件,23.91,-3.47,-0.86,63649,154077217.6,3.51,24.75,23.88,24.57,24.77,3.77,243.28,4.08
10,11,300131,英唐智控,8.07,-3.47,-0.29,511602,417369325.52,4.43,8.38,8.01,8.31,8.36,4.91,148.45,5.26
11,12,002232,启明信息,19.99,-3.62,-0.75,159398,324387067.5,5.74,21.1,19.91,20.77,20.74,3.9,-182.87,6.06
12,13,002398,垒知集团,5.29,-3.64,-0.2,291521,155776076.7,3.64,5.48,5.28,5.45,5.49,5.03,28.87,1.03
13,14,300195,长荣股份,6.88,-4.04,-0.29,279558,194064610.74,3.63,7.09,6.83,7.09,7.17,8.91,646.11,1.09
14,15,600588,用友网络,15.81,-4.24,-0.7,804336,1285846917.0,4.36,16.44,15.72,16.2,16.51,2.35,-27.84,6.18
15,16,300687,赛意信息,28.32,-4.42,-1.31,236125,683849421.48,5.06,29.82,28.32,29.04,29.63,7.26,92.03,4.31
16,17,688365,光云科技,14.44,-4.87,-0.74,98755,144863382.0,4.94,15.15,14.4,15.0,15.18,2.32,-74.17,6.43
17,18,300378,鼎捷数智,35.71,-5.4,-2.04,131783,481703799.71,6.12,37.97,35.66,37.21,37.75,4.89,145.69,4.65
