,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
1,2,002401,中远海科,20.79,4.79,0.95,714820,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
2,3,300541,先进数通,15.94,4.46,0.68,1113823,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
3,4,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
4,5,002104,恒宝股份,7.49,2.32,0.17,504093,372042829.56,6.28,7.58,7.12,7.25,7.32,8.41,43.49,2.49
5,6,002682,龙洲股份,4.93,1.23,0.06,579335,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
6,7,600035,楚天高速,4.29,0.23,0.01,149808,64383004.0,1.4,4.32,4.26,4.28,4.28,0.93,8.75,0.8
7,8,600106,重庆路桥,5.7,-0.52,-0.03,236251,136131942.0,3.84,5.89,5.67,5.72,5.73,1.78,45.05,1.55
8,9,002941,新疆交建,11.21,-0.71,-0.08,68756,77620100.0,2.48,11.46,11.18,11.26,11.29,1.07,29.93,2.19
9,10,603458,勘设股份,6.84,-0.73,-0.05,146142,100306966.0,2.61,6.97,6.79,6.92,6.89,4.77,-16.77,0.65
10,11,601801,皖新传媒,6.81,-0.73,-0.05,135344,92582270.0,1.6,6.9,6.79,6.85,6.86,0.69,12.32,1.15
11,12,603869,ST智知,6.1,-1.29,-0.08,23130,14155414.0,3.72,6.23,6.0,6.18,6.18,0.46,117.09,0.82
12,13,300205,ST天喻,4.6,-1.5,-0.07,60414,27839216.0,2.78,4.68,4.55,4.63,4.67,1.42,-13.13,1.46
13,14,002161,远 望 谷,6.16,-1.6,-0.1,242114,150529812.03,4.15,6.38,6.12,6.2,6.26,3.39,53.97,2.92
14,15,300376,ST易事特,3.6,-1.64,-0.06,157476,56978144.0,2.19,3.66,3.58,3.64,3.66,0.68,30.51,1.2
15,16,600271,航天信息,9.24,-1.7,-0.16,126345,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
16,17,002860,星帅尔,9.99,-1.96,-0.2,124505,125056579.78,2.85,10.25,9.96,10.13,10.19,3.79,17.6,1.68
17,18,300717,华信新材,15.89,-1.97,-0.32,20830,33189203.96,2.71,16.2,15.76,16.17,16.21,2.05,35.58,2.37
18,19,000997,新 大 陆,26.99,-2.03,-0.56,333194,902182424.43,3.88,27.72,26.65,27.2,27.55,3.25,25.52,3.98
19,20,002484,江海股份,21.61,-2.04,-0.45,237790,515753939.0,3.35,22.14,21.4,21.73,22.06,2.9,27.88,3.22
20,21,003040,楚天龙,13.11,-2.09,-0.28,71929,94867846.0,2.46,13.39,13.06,13.31,13.39,1.57,-160.3,4.29
21,22,300079,数码视讯,5.67,-2.41,-0.14,285945,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
22,23,000948,南天信息,18.74,-2.65,-0.51,116250,219263817.0,2.91,19.19,18.63,19.05,19.25,2.98,98.95,2.78
23,24,002373,千方科技,9.76,-2.69,-0.27,238657,235656404.0,3.09,10.05,9.74,10.0,10.03,1.73,734.02,1.23
24,25,002316,ST亚联,3.61,-2.7,-0.1,94511,34353613.0,3.5,3.71,3.58,3.71,3.71,3.0,98.45,19.91
25,26,301339,通行宝,22.23,-2.71,-0.62,49099,110068780.16,2.89,22.84,22.18,22.8,22.85,4.09,43.76,3.39
26,27,002331,皖通科技,8.25,-2.83,-0.24,110815,92084000.24,3.18,8.47,8.2,8.44,8.49,2.8,-131.41,2.04
27,28,300462,华铭智能,9.86,-3.05,-0.31,68780,68490019.0,4.62,10.25,9.78,10.1,10.17,5.03,-25.43,1.29
28,29,000909,ST数源,5.93,-3.1,-0.19,84998,50876050.0,3.92,6.13,5.89,6.09,6.12,1.94,40.39,2.18
29,30,300075,数字政通,18.68,-3.16,-0.61,222565,420604230.08,3.58,19.29,18.6,19.08,19.29,4.33,424.4,2.93
30,31,300790,宇瞳光学,25.52,-3.19,-0.84,194468,502776938.09,5.46,26.8,25.36,26.35,26.36,6.51,53.71,4.14
31,32,002869,金溢科技,27.2,-3.24,-0.91,45752,125764968.23,4.06,28.15,27.01,27.96,28.11,2.87,117.82,2.27
32,33,300448,浩云科技,7.36,-3.41,-0.26,293131,218589557.31,5.91,7.75,7.3,7.6,7.62,5.96,439.96,3.78
