,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
1,2,600487,亨通光电,17.59,3.23,0.55,2108044,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
2,3,600582,天地科技,6.53,1.08,0.07,808618,525787407.0,2.32,6.57,6.42,6.5,6.46,1.95,10.31,1.11
3,4,002792,通宇通讯,15.74,0.58,0.09,333336,527084072.96,6.45,16.24,15.23,15.42,15.65,10.62,119.77,2.96
4,5,600018,上港集团,5.63,0.54,0.03,516429,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
5,6,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
6,7,000070,ST特信,6.16,-0.48,-0.03,94814,58476456.44,1.45,6.22,6.13,6.18,6.19,1.07,940.25,2.9
7,8,300548,博创科技,41.39,-1.55,-0.65,105590,440626310.3,2.81,42.46,41.28,41.81,42.04,4.73,238.35,7.09
8,9,002902,铭普光磁,19.83,-1.98,-0.4,62038,123733676.0,2.17,20.24,19.8,20.16,20.23,3.49,-25.11,4.22
9,10,002396,星网锐捷,20.74,-2.35,-0.5,119862,251806424.45,2.87,21.33,20.72,21.15,21.24,2.05,34.84,1.86
10,11,300308,中际旭创,102.45,-2.43,-2.55,227333,2343385547.87,2.71,104.96,102.11,104.32,105.0,2.07,21.89,5.91
11,12,603083,剑桥科技,38.37,-2.71,-1.07,78465,304153779.0,2.71,39.43,38.36,39.43,39.44,2.96,50.83,4.57
12,13,000810,创维数字,13.58,-2.79,-0.39,261690,357777492.16,2.51,13.89,13.54,13.8,13.97,2.34,49.54,2.46
13,14,300250,初灵信息,17.12,-3.28,-0.58,99243,171849742.63,3.56,17.69,17.06,17.55,17.7,6.29,-90.97,6.54
14,15,603803,瑞斯康达,10.92,-3.36,-0.38,151375,166899458.0,3.19,11.24,10.88,11.19,11.3,3.56,-54.05,2.79
15,16,603118,共进股份,11.15,-3.38,-0.39,413434,465362321.0,2.95,11.48,11.14,11.45,11.54,5.25,480.63,1.74
16,17,605277,新亚电子,16.41,-3.53,-0.6,118620,196755128.0,3.53,17.0,16.4,17.0,17.01,3.78,39.42,3.78
17,18,000801,四川九洲,16.62,-3.93,-0.68,433747,730189241.9,3.29,17.19,16.62,17.13,17.3,4.24,106.39,5.71
18,19,002281,光迅科技,47.11,-4.23,-2.08,239130,1143993248.62,4.49,49.3,47.09,48.9,49.19,3.09,60.43,4.23
19,20,603220,中贝通信,26.91,-5.51,-1.57,366128,1000345658.0,4.53,28.2,26.91,28.2,28.48,8.44,60.62,5.98
20,21,688313,仕佳光子,17.05,-5.59,-1.01,152501,265936826.0,5.15,17.96,17.03,17.95,18.06,3.32,122.63,6.53
21,22,301191,菲菱科思,114.01,-5.78,-6.99,33011,383156666.6,6.74,121.36,113.2,119.56,121.0,12.6,56.81,4.63
22,23,603890,春秋电子,12.53,-5.93,-0.79,297451,379495994.0,5.78,13.25,12.48,13.25,13.32,6.77,29.28,2.01
