,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601808,中海油服,15.53,3.95,0.59,499918.0,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
1,2,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
2,3,601989,中国重工,4.51,2.97,0.13,4213906.0,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
3,4,600150,中国船舶,32.43,2.69,0.85,1254887.0,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
4,5,000708,中信特钢,12.95,2.61,0.33,414051.0,537282470.2,5.23,13.18,12.52,12.61,12.62,0.82,12.75,1.62
5,6,000651,格力电器,43.74,2.41,1.03,708548.0,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
6,7,688187,时代电气,50.76,2.11,1.05,206694.0,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
7,8,600183,生益科技,28.77,1.88,0.53,389480.0,1110479293.0,2.97,28.8,27.96,28.06,28.24,1.64,40.08,4.69
8,9,002129,TCL中环,9.32,1.86,0.17,1377266.0,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
9,10,600019,宝钢股份,7.51,1.76,0.13,936612.0,703466052.0,2.17,7.54,7.38,7.38,7.38,0.43,20.98,0.83
10,11,600941,中国移动,106.65,1.57,1.65,354595.0,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
11,12,002459,晶澳科技,12.82,1.26,0.16,630570.0,809412607.85,3.55,13.02,12.57,12.65,12.66,1.91,-65.7,1.36
12,13,600886,国投电力,14.41,1.26,0.18,601380.0,864788101.0,1.83,14.46,14.2,14.2,14.23,0.81,13.15,1.82
13,14,600585,海螺水泥,24.92,1.01,0.25,222178.0,556476960.0,3.04,25.36,24.61,24.67,24.67,0.56,19.05,0.71
14,15,002422,科伦药业,31.58,0.96,0.3,154553.0,482345687.11,2.72,31.65,30.8,31.25,31.28,1.18,15.32,2.24
15,16,601225,陕西煤业,19.9,0.86,0.17,536995.0,1070292762.0,2.38,20.08,19.61,19.61,19.73,0.55,8.69,2.14
16,17,002714,牧原股份,38.58,0.84,0.32,542622.0,2082103680.81,4.0,39.25,37.72,38.26,38.26,1.42,11.79,2.97
17,18,601006,大秦铁路,6.46,0.78,0.05,1033672.0,665713057.0,1.09,6.47,6.4,6.42,6.41,0.51,11.35,0.79
18,19,688599,天合光能,17.8,0.74,0.13,292183.0,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
19,20,600436,片仔癀,206.02,0.69,1.41,38587.0,801214379.0,2.93,211.0,205.01,206.51,204.61,0.64,41.79,8.7
20,21,601117,中国化学,7.51,0.67,0.05,764415.0,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
21,22,600085,同仁堂,36.9,0.63,0.23,137223.0,508609389.0,2.35,37.49,36.63,37.4,36.67,1.0,28.11,3.9
22,23,600039,四川路桥,8.21,0.61,0.05,279821.0,230602183.0,2.82,8.38,8.15,8.15,8.16,0.42,11.24,1.57
23,24,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
24,25,600018,上港集团,5.63,0.54,0.03,516429.0,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
25,26,600023,浙能电力,5.64,0.53,0.03,609668.0,344738935.0,2.14,5.71,5.59,5.61,5.61,0.45,8.47,1.05
26,27,600674,川投能源,15.51,0.45,0.07,223510.0,347163099.0,1.42,15.62,15.4,15.4,15.44,0.46,12.82,1.8
27,28,601868,中国能建,2.31,0.43,0.01,3681949.0,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
28,29,603195,公牛集团,73.3,0.41,0.3,16129.0,117366266.0,2.15,73.64,72.07,72.85,73.0,0.13,21.77,6.38
29,30,600377,宁沪高速,14.26,0.35,0.05,92990.0,132305243.0,1.2,14.32,14.15,14.21,14.21,0.24,13.08,1.95
30,31,300628,亿联网络,40.92,0.34,0.14,85858.0,353425684.91,2.94,41.68,40.48,40.61,40.78,1.19,19.56,5.78
31,32,601618,中国中冶,3.15,0.32,0.01,1254156.0,397433242.0,2.23,3.2,3.13,3.14,3.14,0.7,7.17,0.64
32,33,600188,兖矿能源,13.59,0.3,0.04,294860.0,401129019.0,1.99,13.73,13.46,13.52,13.55,0.5,8.97,2.24
33,34,688223,晶科能源,6.94,0.29,0.02,499814.0,346055786.0,2.02,7.0,6.86,6.88,6.92,0.5,766.9,2.15
34,35,600938,中国海油,26.08,0.23,0.06,585483.0,1539518976.0,2.0,26.53,26.01,26.15,26.02,2.06,7.97,1.72
35,36,000895,双汇发展,25.98,0.23,0.06,104377.0,271969261.7,1.35,26.21,25.86,25.89,25.92,0.3,17.74,4.52
36,37,300832,新产业,60.05,0.2,0.12,24599.0,147007863.6,2.15,60.43,59.14,59.9,59.93,0.36,25.58,5.81
37,38,000786,北新建材,30.25,0.17,0.05,75191.0,227974293.6,2.25,30.7,30.02,30.11,30.2,0.46,12.19,2.03
38,39,601699,潞安环能,12.51,0.16,0.02,211751.0,263375960.0,2.08,12.56,12.3,12.48,12.49,0.71,10.03,0.8
39,40,000333,美的集团,75.28,0.15,0.11,384528.0,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
40,41,601728,中国电信,7.52,0.13,0.01,1163395.0,879850480.0,1.86,7.62,7.48,7.51,7.51,0.15,17.62,1.53
41,42,601857,中国石油,7.96,0.13,0.01,2092425.0,1679500175.0,1.89,8.09,7.94,7.98,7.95,0.13,8.25,0.98
42,43,601800,中国交建,9.39,0.11,0.01,466042.0,439734004.0,1.92,9.53,9.35,9.35,9.38,0.4,7.04,0.54
43,44,688169,石头科技,250.0,0.09,0.22,40099.0,1025831309.0,6.11,264.77,249.5,256.0,249.78,2.17,23.31,3.59
44,45,600233,圆通速递,13.9,0.07,0.01,307627.0,432115183.0,4.1,14.35,13.78,13.85,13.89,0.89,12.26,1.57
45,46,601211,国泰君安,17.62,0.06,0.01,1123144.0,1966302329.0,2.04,17.66,17.3,17.58,17.61,0.83,23.86,1.18
46,47,000538,云南白药,55.08,0.04,0.02,111967.0,619176791.69,1.53,55.77,54.93,55.5,55.06,0.63,17.04,2.56
47,48,601668,中国建筑,5.45,0.0,0.0,2061461.0,1126388442.0,1.47,5.51,5.43,5.45,5.45,0.5,4.25,0.5
48,49,002027,分众传媒,6.93,0.0,0.0,842917.0,586358073.13,1.88,7.04,6.91,6.91,6.93,0.58,18.92,6.34
49,50,000983,山西焦煤,7.06,0.0,0.0,376206.0,265478760.59,1.7,7.11,6.99,7.04,7.06,0.81,10.56,1.09
50,51,000157,中联重科,8.02,0.0,0.0,503751.0,405064088.34,2.49,8.15,7.95,8.0,8.02,0.71,16.63,1.22
51,52,600011,华能国际,6.93,0.0,0.0,600141.0,417966179.0,2.16,7.03,6.88,6.93,6.93,0.55,7.84,1.87
52,53,600989,宝丰能源,17.48,0.0,0.0,134017.0,234845359.0,1.83,17.72,17.4,17.52,17.48,0.18,20.23,2.98
53,54,603369,今世缘,52.15,-0.06,-0.03,46201.0,241062878.0,1.8,52.76,51.82,52.01,52.18,0.37,15.8,4.3
54,55,000999,华润三九,41.9,-0.07,-0.03,140634.0,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
55,56,600050,中国联通,5.7,-0.18,-0.01,5022475.0,2856257924.0,2.28,5.75,5.62,5.7,5.71,1.63,19.74,1.08
56,57,601985,中国核电,9.4,-0.21,-0.02,1201882.0,1128961435.0,1.59,9.48,9.33,9.41,9.42,0.64,16.23,1.77
57,58,001979,招商蛇口,9.46,-0.21,-0.02,472554.0,446089717.25,1.05,9.5,9.4,9.46,9.48,0.57,21.22,0.87
58,59,002028,思源电气,71.74,-0.22,-0.16,50402.0,363945699.91,2.53,73.32,71.5,71.81,71.9,0.83,26.69,4.48
59,60,600332,白云山,26.6,-0.23,-0.06,103855.0,277920979.0,1.46,26.95,26.56,26.8,26.66,0.74,15.25,1.2
60,61,001965,招商公路,12.88,-0.23,-0.03,186724.0,241019521.36,3.18,13.16,12.75,12.98,12.91,0.27,15.84,1.36
61,62,000792,盐湖股份,16.6,-0.24,-0.04,443394.0,734992694.86,2.22,16.77,16.4,16.64,16.64,0.84,20.97,2.51
62,63,600600,青岛啤酒,72.67,-0.25,-0.18,48850.0,357176746.0,2.05,74.0,72.51,72.84,72.85,0.69,14.9,3.33
63,64,600875,东方电气,15.15,-0.26,-0.04,207539.0,317240189.0,2.76,15.52,15.1,15.15,15.19,1.03,13.5,1.23
64,65,003816,中国广核,3.65,-0.27,-0.01,2053173.0,755506791.3,1.64,3.71,3.65,3.66,3.66,0.52,13.85,1.56
65,66,688271,联影医疗,127.51,-0.27,-0.34,25068.0,319476366.0,2.17,128.77,126.0,127.61,127.85,0.42,83.28,5.28
66,67,600115,中国东航,3.69,-0.27,-0.01,873736.0,324132456.0,1.62,3.74,3.68,3.7,3.7,0.51,-447.04,4.16
67,68,002001,新 和 成,21.55,-0.28,-0.06,150067.0,324011898.39,1.99,21.83,21.4,21.61,21.61,0.49,12.45,2.47
