,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688187,时代电气,50.76,2.11,1.05,206694.0,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
1,2,002129,TCL中环,9.32,1.86,0.17,1377266.0,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
2,3,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
3,4,000733,振华科技,54.72,0.39,0.21,148765.0,820772173.0,4.62,56.32,53.8,54.04,54.51,2.69,35.29,2.1
4,5,300656,民德电子,24.81,0.24,0.06,30144.0,74447100.57,2.83,24.99,24.29,24.53,24.75,2.41,-312.24,3.8
5,6,300831,派瑞股份,15.88,-0.5,-0.08,113031.0,181792088.0,4.01,16.38,15.74,15.91,15.96,6.13,72.54,5.59
6,7,000056,皇庭国际,3.6,-0.83,-0.03,645846.0,231347044.0,3.03,3.66,3.55,3.59,3.63,7.15,-12.49,5.94
7,8,601766,中国中车,7.31,-1.08,-0.08,1062430.0,784927731.0,2.98,7.52,7.3,7.37,7.39,0.44,21.72,1.28
8,9,001255,博菲电气,28.48,-1.39,-0.4,7015.0,20045049.0,2.32,28.98,28.31,28.98,28.88,3.51,137.77,3.14
9,10,600406,国电南瑞,22.15,-1.51,-0.34,370082.0,826761565.0,2.31,22.67,22.15,22.44,22.49,0.46,29.83,3.86
10,11,603212,赛伍技术,10.65,-1.66,-0.18,74268.0,79675839.0,2.31,10.87,10.62,10.82,10.83,1.7,-36.58,1.62
11,12,003031,中瓷电子,46.98,-1.88,-0.9,17211.0,81464704.88,2.23,47.97,46.9,47.74,47.88,0.51,43.05,3.61
12,13,300303,聚飞光电,7.02,-1.96,-0.14,402219.0,284521565.7,3.21,7.2,6.97,7.14,7.16,3.05,29.18,2.66
13,14,600584,长电科技,36.26,-2.03,-0.75,312769.0,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
14,15,688396,华润微,45.79,-2.05,-0.96,60870.0,280656440.0,2.33,46.8,45.71,46.5,46.75,0.46,78.35,2.71
15,16,605111,新洁能,34.75,-2.11,-0.75,119861.0,421691717.0,2.87,35.74,34.72,35.39,35.5,2.89,32.58,3.75
16,17,688689,银河微电,23.88,-2.17,-0.53,10189.0,24548735.0,2.74,24.45,23.78,24.22,24.41,0.79,44.14,2.31
17,18,605358,立昂微,24.26,-2.22,-0.55,79137.0,193197032.0,2.46,24.79,24.18,24.66,24.81,1.18,-224.79,2.18
18,19,600460,士兰微,24.65,-2.26,-0.57,213619.0,530284030.0,2.58,25.2,24.55,25.15,25.22,1.28,1065.31,3.4
19,20,688551,科威尔,29.7,-2.3,-0.7,9106.0,27231688.0,2.73,30.49,29.66,30.49,30.4,1.08,50.88,1.92
20,21,300594,朗进科技,17.5,-2.45,-0.44,20902.0,36866440.0,2.51,17.93,17.48,17.9,17.94,2.3,-27.86,1.85
21,22,688230,芯导科技,46.31,-2.46,-1.17,7651.0,35703736.0,2.59,47.48,46.25,47.11,47.48,2.6,48.85,2.41
22,23,002131,利欧股份,3.96,-2.46,-0.1,3377277.0,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
23,24,603266,天龙股份,18.51,-2.53,-0.48,128000.0,237813122.0,4.69,19.15,18.26,18.92,18.99,6.44,33.44,2.5
24,25,300623,捷捷微电,31.91,-2.86,-0.94,135080.0,435817208.54,2.95,32.85,31.88,32.69,32.85,1.9,59.87,4.38
25,26,603290,斯达半导,91.0,-2.86,-2.68,41095.0,377942419.0,2.99,93.66,90.86,93.3,93.68,1.72,38.61,3.3
26,27,603936,博敏电子,8.4,-2.89,-0.25,190832.0,162209723.0,3.35,8.66,8.37,8.63,8.65,3.03,77.93,1.17
27,28,600171,上海贝岭,35.12,-2.9,-1.05,219349.0,777641785.0,2.85,36.08,35.05,36.05,36.17,3.09,78.27,5.86
28,29,301581,黄山谷捷,59.42,-2.94,-1.8,27051.0,164281603.75,5.82,62.96,59.4,61.0,61.22,13.53,39.47,4.81
29,30,688261,东微半导,43.39,-3.19,-1.43,28219.0,123505557.0,3.55,44.7,43.11,44.7,44.82,2.3,133.15,1.83
30,31,688711,宏微科技,17.17,-3.38,-0.6,42743.0,74300652.0,3.66,17.77,17.12,17.71,17.77,2.01,-259.45,3.4
31,32,300046,台基股份,32.01,-3.44,-1.14,88232.0,286363661.1,3.44,33.14,32.0,33.0,33.15,3.73,306.12,6.89
32,33,601616,广电电气,4.86,-3.57,-0.18,485233.0,238417090.0,3.37,5.02,4.85,4.99,5.04,5.68,64.89,1.69
33,34,002049,紫光国微,66.2,-3.67,-2.52,289514.0,1947698960.68,4.95,69.4,66.0,68.12,68.72,3.41,47.24,4.53
34,35,301499,维科精密,28.58,-4.73,-1.42,54516.0,159268270.75,6.1,30.35,28.52,30.25,30.0,15.77,97.97,3.16
35,36,600360,ST华微,5.99,-5.07,-0.32,458629.0,280206391.0,5.86,6.36,5.99,6.35,6.31,4.78,42.41,1.72
36,37,000581,威孚高科,23.24,-5.53,-1.36,457565.0,1083039174.74,5.08,24.49,23.24,24.3,24.6,5.55,13.6,1.19
37,38,002594,比亚迪,372.0,-7.0,-27.99,282107.0,10685254370.83,5.83,393.31,370.0,393.01,399.99,2.43,33.6,7.27
38,39,300373,扬杰科技,,,,,,,,,,49.88,0.0,30.38,3.22
