,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002498,汉缆股份,3.88,6.89,0.25,2098617,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
1,2,000530,冰山冷热,6.35,4.27,0.26,1067472,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
2,3,002096,易普力,12.01,3.0,0.35,103220,122005983.16,5.4,12.15,11.52,11.61,11.66,1.47,21.32,2.04
3,4,600150,中国船舶,32.43,2.69,0.85,1254887,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
4,5,002444,巨星科技,29.19,2.03,0.58,221899,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
5,6,000886,海南高速,7.6,1.6,0.12,766970,589831753.21,7.62,7.97,7.4,7.41,7.48,7.84,140.95,2.49
6,7,600120,浙江东方,7.14,1.56,0.11,2619515,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
7,8,601018,宁波港,3.71,0.54,0.02,701949,262334702.0,2.44,3.77,3.68,3.68,3.69,0.44,14.79,0.92
8,9,600352,浙江龙盛,9.39,0.54,0.05,146916,137804193.0,1.18,9.44,9.33,9.35,9.34,0.45,16.93,0.89
9,10,600794,保税科技,3.55,0.28,0.01,149387,53107360.0,1.98,3.59,3.52,3.54,3.54,1.23,20.51,1.65
10,11,000786,北新建材,30.25,0.17,0.05,75191,227974293.6,2.25,30.7,30.02,30.11,30.2,0.46,12.19,2.03
11,12,000027,深圳能源,6.38,0.16,0.01,199050,127475320.89,1.73,6.45,6.34,6.35,6.37,0.42,10.71,1.01
12,13,000966,长源电力,4.71,0.0,0.0,328969,156019172.41,2.34,4.8,4.69,4.69,4.71,1.2,13.54,1.19
13,14,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
14,15,600064,南京高科,7.35,0.0,0.0,121457,89294229.0,1.77,7.42,7.29,7.35,7.35,0.7,5.19,0.67
15,16,000543,皖能电力,7.42,-0.13,-0.01,302887,225720935.0,1.88,7.51,7.37,7.41,7.43,1.34,7.97,1.09
16,17,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
17,18,600551,时代出版,8.12,-0.25,-0.02,35893,29194672.0,1.6,8.21,8.08,8.15,8.14,0.53,15.79,0.97
18,19,600054,黄山旅游,11.91,-0.33,-0.04,66078,78629072.0,1.59,12.0,11.81,11.88,11.95,1.29,22.87,1.88
19,20,002445,中南文化,2.52,-0.4,-0.01,852937,216467142.92,4.74,2.6,2.48,2.52,2.53,3.58,126.98,2.77
20,21,600151,航天机电,7.34,-0.41,-0.03,184731,135443477.0,2.71,7.45,7.25,7.34,7.37,1.29,-147.93,2.17
21,22,600571,信雅达,14.39,-0.42,-0.06,374847,538499895.0,4.36,14.75,14.12,14.45,14.45,8.19,-878.76,5.99
22,23,002320,海峡股份,6.99,-0.43,-0.03,450015,318166670.97,4.99,7.25,6.9,7.02,7.02,2.02,59.86,3.63
23,24,000652,泰达股份,4.02,-0.5,-0.02,154219,62132953.04,1.98,4.07,3.99,4.04,4.04,1.05,32.37,1.03
24,25,600790,轻纺城,3.51,-0.57,-0.02,100961,35549878.0,1.98,3.56,3.49,3.53,3.53,0.69,17.47,0.82
25,26,600285,羚锐制药,20.55,-0.58,-0.12,68873,142016551.0,3.63,21.1,20.35,20.96,20.67,1.22,15.23,4.03
26,27,600278,东方创业,6.73,-0.59,-0.04,49815,33673956.0,1.92,6.83,6.7,6.79,6.77,0.57,23.58,0.78
27,28,601566,九牧王,8.62,-0.69,-0.06,38967,33655161.0,2.19,8.72,8.53,8.65,8.68,0.68,27.5,1.27
28,29,002226,江南化工,5.68,-0.7,-0.04,278891,160195574.6,2.97,5.84,5.67,5.72,5.72,1.05,15.05,1.61
29,30,600866,星湖科技,6.49,-0.76,-0.05,191581,124470281.0,2.14,6.58,6.44,6.51,6.54,1.73,11.94,1.41
30,31,600287,ST舜天,4.71,-0.84,-0.04,36250,17109028.0,3.16,4.8,4.65,4.73,4.75,0.83,27.1,0.99
31,32,000917,电广传媒,7.98,-1.12,-0.09,453495,363394100.47,2.23,8.11,7.93,8.07,8.07,3.2,139.11,1.09
32,33,000850,华茂股份,4.39,-1.13,-0.05,97699,43071793.93,1.8,4.45,4.37,4.41,4.44,1.04,20.43,0.95
33,34,600682,南京新百,6.55,-1.21,-0.08,103972,68362061.0,2.11,6.66,6.52,6.63,6.63,0.89,29.85,0.51
34,35,000839,中信国安,2.98,-1.32,-0.04,405785,121612671.0,1.99,3.03,2.97,3.02,3.02,1.04,58.46,8.51
35,36,600200,江苏吴中,5.82,-1.36,-0.08,374749,218673563.0,2.03,5.92,5.8,5.89,5.9,5.27,68.96,2.31
