,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002609,捷顺科技,9.7,3.19,0.3,281162,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
1,2,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
2,3,603003,*ST龙宇,5.36,-0.92,-0.05,39832,21550412.0,3.88,5.52,5.31,5.39,5.41,1.06,-18.41,0.57
3,4,002432,九安医疗,41.44,-1.03,-0.43,48097,200278973.16,1.86,42.09,41.31,41.85,41.87,1.09,10.74,1.02
4,5,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
5,6,300860,锋尚文化,27.06,-2.1,-0.58,41304,112989885.58,3.58,27.9,26.91,27.45,27.64,3.69,175.83,1.63
6,7,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
7,8,301313,凡拓数创,23.64,-2.31,-0.56,28555,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
8,9,300654,世纪天鸿,11.21,-2.35,-0.27,97944,110946578.0,2.79,11.52,11.2,11.35,11.48,3.0,97.78,4.87
9,10,603533,掌阅科技,19.44,-2.41,-0.48,73224,143488412.0,2.71,19.92,19.38,19.85,19.92,1.67,-173.75,3.42
10,11,300188,国投智能,14.81,-2.44,-0.37,178380,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
11,12,300442,润泽科技,60.49,-2.44,-1.51,224826,1377064976.8,3.87,62.61,60.21,62.56,62.0,4.06,51.59,11.06
12,13,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
13,14,300271,华宇软件,8.2,-2.61,-0.22,227164,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
14,15,300352,北信源,5.58,-2.62,-0.15,350601,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
15,16,603721,中广天择,26.55,-2.64,-0.72,32906,88319162.0,2.09,27.12,26.55,27.02,27.27,2.53,-2697.79,6.72
16,17,301171,易点天下,27.58,-2.72,-0.77,172855,479364327.0,3.28,28.28,27.35,28.1,28.35,5.6,50.06,3.7
17,18,603322,超讯通信,46.5,-2.74,-1.31,84475,394325570.0,4.62,48.01,45.8,47.0,47.81,5.36,216.15,22.84
18,19,300170,汉得信息,19.69,-2.96,-0.6,948554,1918418317.85,7.44,21.11,19.6,20.0,20.29,10.01,107.1,3.88
19,20,300624,万兴科技,65.87,-3.56,-2.43,65066,434277297.71,3.34,68.09,65.81,67.8,68.3,3.8,-1737.44,9.99
20,21,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
21,22,300454,深信服,104.48,-3.75,-4.07,74929,794633403.58,3.71,108.5,104.47,107.36,108.55,2.69,223.9,4.81
22,23,688095,福昕软件,63.81,-3.9,-2.59,17725,114389502.0,4.08,66.31,63.6,66.31,66.4,1.94,227.54,2.28
23,24,300634,彩讯股份,27.12,-4.2,-1.19,220238,605704612.0,3.46,27.98,27.0,27.7,28.31,5.07,47.02,4.52
24,25,688111,金山办公,309.38,-4.39,-14.22,68872,2158322913.0,4.37,322.5,308.35,322.5,323.6,1.49,87.01,12.6
