,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300301,*ST长方,2.04,6.81,0.13,364128,75105301.83,8.38,2.18,2.02,2.08,1.91,4.61,-33.91,31.4
1,2,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
2,3,301348,蓝箭电子,25.88,2.17,0.55,162637,419328072.22,5.01,26.17,24.9,24.93,25.33,12.19,41206.0,3.42
3,4,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
4,5,688037,芯源微,98.56,1.71,1.66,101250,999963742.0,7.3,102.08,95.01,97.94,96.9,5.04,93.92,7.34
5,6,688019,安集科技,153.8,1.14,1.73,20985,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
6,7,002638,勤上股份,2.43,0.83,0.02,442746,107009805.82,3.32,2.45,2.37,2.42,2.41,3.29,-62.82,1.43
7,8,002076,星光股份,4.09,0.49,0.02,1007707,408812980.17,3.93,4.13,3.97,4.04,4.07,9.75,-1660.4,14.04
8,9,301338,凯格精机,37.23,0.0,0.0,49529,184243101.3,4.27,37.99,36.4,36.82,37.23,14.44,67.46,2.75
9,10,600363,联创光电,65.16,-0.03,-0.02,226040,1506287640.0,7.23,68.91,64.2,64.7,65.18,4.98,66.07,6.94
10,11,603515,欧普照明,17.4,-0.06,-0.01,13854,24126550.0,1.61,17.56,17.28,17.41,17.41,0.19,15.65,2.0
11,12,300940,南极光,17.34,-0.29,-0.05,94774,164820798.26,5.0,17.8,16.93,17.37,17.39,6.43,-1873.98,3.65
12,13,600261,阳光照明,3.51,-0.57,-0.02,287059,101840334.0,3.12,3.6,3.49,3.52,3.53,2.15,23.15,1.35
13,14,603303,得邦照明,12.68,-0.7,-0.09,16499,20996773.0,2.11,12.88,12.61,12.83,12.77,0.35,17.41,1.7
14,15,002963,豪尔赛,11.95,-0.75,-0.09,27801,33223047.0,1.91,12.09,11.86,12.02,12.04,2.26,217.12,1.17
15,16,603855,华荣股份,23.56,-0.76,-0.18,52367,123674795.0,2.36,23.94,23.38,23.62,23.74,1.57,18.56,4.08
16,17,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
17,18,600060,海信视像,22.93,-0.82,-0.19,111789,256090214.0,3.46,23.43,22.63,23.06,23.12,0.86,17.13,1.59
18,19,002384,东山精密,34.13,-0.9,-0.31,450815,1541631886.37,2.82,34.78,33.81,34.44,34.44,3.25,40.91,3.09
19,20,300889,爱克股份,16.7,-0.95,-0.16,24363,40890376.0,2.61,17.07,16.63,16.95,16.86,2.49,-27.64,1.7
20,21,002723,小崧股份,8.18,-0.97,-0.08,76544,62754275.2,2.06,8.3,8.13,8.25,8.26,2.41,-49.54,2.18
21,22,300808,久量股份,29.68,-1.0,-0.3,13829,40796717.0,2.84,29.96,29.11,29.69,29.98,1.31,-227.27,4.71
22,23,301362,民爆光电,39.5,-1.05,-0.42,7268,28845349.2,2.53,40.29,39.28,39.87,39.92,2.45,16.57,1.65
23,24,600305,恒顺醋业,7.39,-1.07,-0.08,75194,55853196.0,1.74,7.5,7.37,7.44,7.47,0.68,51.16,2.47
24,25,601231,环旭电子,16.98,-1.11,-0.19,151414,257924783.0,2.85,17.33,16.84,17.1,17.17,0.69,22.51,2.12
25,26,002005,ST德豪,1.77,-1.12,-0.02,80599,14256865.0,2.79,1.8,1.75,1.8,1.79,0.46,-45.85,9.65
26,27,300102,乾照光电,11.33,-1.22,-0.14,184440,209838307.36,2.09,11.52,11.28,11.39,11.47,2.02,160.2,2.57
27,28,300650,太龙股份,13.42,-1.25,-0.17,85841,114570454.8,3.24,13.58,13.14,13.4,13.59,5.46,62.92,2.41
28,29,688012,中微公司,191.24,-1.27,-2.46,62439,1203966432.0,2.97,196.2,190.45,193.2,193.7,1.0,73.18,6.03
29,30,001326,联域股份,34.36,-1.29,-0.45,8379,28848713.0,2.36,34.9,34.08,34.9,34.81,4.04,20.06,2.07
30,31,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
31,32,600703,三安光电,12.4,-1.43,-0.18,399107,497472559.0,2.38,12.64,12.34,12.56,12.58,0.8,187.72,1.68
32,33,300582,英飞特,13.73,-1.44,-0.2,76110,104360667.81,2.3,13.9,13.58,13.75,13.93,3.43,66.02,2.7
33,34,600651,飞乐音响,4.47,-1.54,-0.07,253007,113110927.0,2.64,4.54,4.42,4.53,4.54,1.01,331.93,4.59
34,35,300317,珈伟新能,3.84,-1.54,-0.06,229205,88627970.18,2.82,3.93,3.82,3.88,3.9,2.77,-31.74,1.76
