,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301013,利和兴,20.78,0.82,0.17,339017,696811318.22,5.14,21.08,20.02,20.5,20.61,17.91,237.73,5.7
1,2,300726,宏达电子,40.0,0.63,0.25,136647,546404008.35,4.1,40.68,39.05,39.05,39.75,6.4,47.22,3.36
2,3,603267,鸿远电子,53.97,-0.04,-0.02,98799,527509923.0,4.5,54.8,52.37,53.6,53.99,4.28,73.42,2.96
3,4,002859,洁美科技,21.05,-1.13,-0.24,53440,111979746.0,2.58,21.3,20.75,21.22,21.29,1.32,38.4,3.22
4,5,300408,三环集团,37.97,-1.15,-0.44,110056,423363385.65,3.23,39.09,37.85,38.41,38.41,0.59,33.17,3.66
5,6,000636,风华高科,14.78,-1.2,-0.18,171624,254967404.78,2.34,15.05,14.7,14.9,14.96,1.48,48.31,1.41
6,7,002669,康达新材,9.74,-1.52,-0.15,65329,63763418.78,2.12,9.89,9.68,9.86,9.89,2.16,-28.98,1.02
7,8,300285,国瓷材料,18.48,-1.65,-0.31,127338,238125677.04,3.14,19.02,18.43,18.78,18.79,1.58,28.66,2.8
8,9,301566,达利凯普,16.4,-2.21,-0.37,68981,114200220.63,2.86,16.84,16.36,16.68,16.77,3.27,55.78,4.96
9,10,002585,双星新材,5.25,-2.23,-0.12,165266,87595378.55,2.98,5.39,5.23,5.35,5.37,1.85,-19.84,0.67
10,11,605376,博迁新材,40.06,-3.93,-1.64,57693,237140832.0,7.05,42.82,39.88,41.58,41.7,2.21,92.38,6.84
11,12,603678,火炬电子,38.2,-4.0,-1.59,197506,756245007.0,6.81,40.09,37.38,39.0,39.79,4.31,90.01,3.23
12,13,688260,昀冢科技,15.65,-4.75,-0.78,38129,60861761.0,4.99,16.47,15.65,16.2,16.43,3.18,-15.0,8.46
13,14,300136,信维通信,25.38,-5.19,-1.39,450547,1166120575.65,5.23,26.7,25.3,26.5,26.77,5.46,34.54,3.42
