,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300365,恒华科技,6.91,0.73,0.05,364903,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
1,2,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
2,3,688036,传音控股,93.29,-1.28,-1.21,50544,473883993.0,2.4,94.99,92.72,94.53,94.5,0.44,19.03,5.26
3,4,300168,万达信息,8.46,-2.31,-0.2,253676,215725868.16,2.77,8.65,8.41,8.61,8.66,1.76,-16.37,6.89
4,5,300369,绿盟科技,7.85,-2.85,-0.23,138301,109757833.0,2.72,8.06,7.84,8.05,8.08,1.73,-14.43,2.57
5,6,002232,启明信息,19.99,-3.62,-0.75,159398,324387067.5,5.74,21.1,19.91,20.77,20.74,3.9,-182.87,6.06
6,7,300674,宇信科技,25.12,-4.01,-1.05,238754,608801790.43,4.01,26.13,25.08,25.9,26.17,3.4,50.59,4.29
7,8,688023,安恒信息,58.26,-4.87,-2.98,30432,180527296.0,3.97,60.63,58.2,60.63,61.24,2.98,-32.96,2.35
8,9,688031,星环科技-U,53.57,-4.98,-2.81,33586,183068578.0,3.94,55.72,53.5,55.61,56.38,3.57,-18.96,5.83
9,10,300520,科大国创,26.75,-5.54,-1.57,269772,736539842.98,5.9,28.36,26.69,28.17,28.32,9.73,-123.01,4.24
