,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
1,2,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
2,3,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
3,4,600703,三安光电,12.4,-1.43,-0.18,399107,497472559.0,2.38,12.64,12.34,12.56,12.58,0.8,187.72,1.68
4,5,300097,ST智云,5.15,-1.72,-0.09,128983,66543299.6,2.29,5.23,5.11,5.21,5.24,4.78,87.36,2.33
5,6,301555,惠柏新材,25.4,-1.78,-0.46,19181,49390925.0,3.29,26.22,25.37,25.86,25.86,3.97,-326.97,2.23
6,7,300303,聚飞光电,7.02,-1.96,-0.14,402219,284521565.7,3.21,7.2,6.97,7.14,7.16,3.05,29.18,2.66
7,8,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
8,9,000016,深康佳Ａ,5.02,-2.33,-0.12,626125,315642925.88,3.31,5.15,4.98,5.13,5.14,3.92,-5.64,2.99
9,10,000100,TCL科技,4.56,-2.56,-0.12,3338848,1539398798.95,2.78,4.69,4.56,4.67,4.68,1.84,42.11,1.62
10,11,002449,国星光电,10.1,-2.79,-0.29,283222,288804450.2,2.69,10.36,10.08,10.35,10.39,4.59,70.23,1.63
11,12,300241,瑞丰光电,5.5,-3.0,-0.17,187403,104117901.02,3.0,5.65,5.48,5.63,5.67,3.28,63.42,1.77
12,13,301391,卡莱特,40.72,-3.37,-1.42,14116,58083906.49,4.06,42.39,40.68,41.79,42.14,2.86,247.96,1.79
13,14,002587,奥拓电子,6.21,-3.57,-0.23,235159,147336962.93,4.04,6.43,6.17,6.41,6.44,4.56,-153.1,3.04
14,15,300269,联建光电,4.14,-3.72,-0.16,250813,104813613.0,3.95,4.3,4.13,4.27,4.3,4.77,-247.45,29.03
15,16,300162,雷曼光电,7.34,-3.93,-0.3,136917,101674194.0,4.19,7.64,7.32,7.62,7.64,4.02,-53.29,3.28
16,17,002745,木林森,9.2,-4.17,-0.4,401659,373675571.25,4.9,9.62,9.15,9.56,9.6,3.77,28.22,1.06
17,18,603773,沃格光电,24.94,-5.78,-1.53,95076,241641181.0,5.82,26.42,24.88,26.4,26.47,4.67,-84.47,4.21
18,19,300323,华灿光电,7.48,-6.27,-0.5,548669,415281231.57,4.51,7.81,7.45,7.77,7.98,6.24,-25.32,1.69
19,20,688593,新相微,19.23,-8.03,-1.68,83725,165997416.0,8.37,20.85,19.1,20.8,20.91,2.62,1049.11,5.62
20,21,002387,维信诺,10.03,-9.39,-1.04,819686,836039997.35,5.15,10.57,10.0,10.49,11.07,5.88,-5.59,2.52
