,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
1,2,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
2,3,002389,航天彩虹,21.23,0.95,0.2,201903,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
3,4,300076,GQY视讯,9.18,-0.22,-0.02,232530,214735056.4,2.93,9.37,9.1,9.22,9.2,5.48,-117.78,4.04
4,5,300940,南极光,17.34,-0.29,-0.05,94774,164820798.26,5.0,17.8,16.93,17.37,17.39,6.43,-1873.98,3.65
5,6,301045,天禄科技,22.36,-0.62,-0.14,19272,42948580.31,2.18,22.52,22.03,22.48,22.5,2.84,92.65,2.49
6,7,002384,东山精密,34.13,-0.9,-0.31,450815,1541631886.37,2.82,34.78,33.81,34.44,34.44,3.25,40.91,3.09
7,8,002005,ST德豪,1.77,-1.12,-0.02,80599,14256865.0,2.79,1.8,1.75,1.8,1.79,0.46,-45.85,9.65
8,9,002938,鹏鼎控股,36.24,-1.12,-0.41,77248,281169434.27,2.1,36.87,36.1,36.51,36.65,0.34,23.21,2.62
9,10,300102,乾照光电,11.33,-1.22,-0.14,184440,209838307.36,2.09,11.52,11.28,11.39,11.47,2.02,160.2,2.57
10,11,300650,太龙股份,13.42,-1.25,-0.17,85841,114570454.8,3.24,13.58,13.14,13.4,13.59,5.46,62.92,2.41
11,12,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
12,13,600703,三安光电,12.4,-1.43,-0.18,399107,497472559.0,2.38,12.64,12.34,12.56,12.58,0.8,187.72,1.68
13,14,002008,大族激光,29.11,-1.59,-0.47,463934,1374724723.35,4.73,30.44,29.04,29.35,29.58,4.74,16.11,1.93
14,15,002429,兆驰股份,5.44,-1.63,-0.09,627378,344447804.0,2.71,5.57,5.42,5.54,5.53,1.39,13.46,1.57
15,16,300097,ST智云,5.15,-1.72,-0.09,128983,66543299.6,2.29,5.23,5.11,5.21,5.24,4.78,87.36,2.33
16,17,301555,惠柏新材,25.4,-1.78,-0.46,19181,49390925.0,3.29,26.22,25.37,25.86,25.86,3.97,-326.97,2.23
17,18,300005,探路者,8.1,-1.82,-0.15,271492,223502617.9,3.64,8.37,8.07,8.18,8.25,3.07,52.76,3.43
18,19,300303,聚飞光电,7.02,-1.96,-0.14,402219,284521565.7,3.21,7.2,6.97,7.14,7.16,3.05,29.18,2.66
19,20,688401,路维光电,30.85,-2.0,-0.63,35594,109803726.0,3.14,31.36,30.37,31.23,31.48,3.08,31.02,4.28
20,21,300939,秋田微,31.99,-2.08,-0.68,24346,78408528.34,2.48,32.62,31.81,32.54,32.67,2.03,39.38,2.84
21,22,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
22,23,000016,深康佳Ａ,5.02,-2.33,-0.12,626125,315642925.88,3.31,5.15,4.98,5.13,5.14,3.92,-5.64,2.99
23,24,000701,厦门信达,5.23,-2.43,-0.13,246253,129506997.6,2.8,5.35,5.2,5.35,5.36,3.69,-18.96,14.52
24,25,000100,TCL科技,4.56,-2.56,-0.12,3338848,1539398798.95,2.78,4.69,4.56,4.67,4.68,1.84,42.11,1.62
25,26,300671,富满微,32.57,-2.57,-0.86,42775,140746653.97,3.2,33.55,32.48,33.3,33.43,1.97,-82.07,4.02
26,27,300903,科翔股份,8.55,-2.62,-0.23,141774,122384831.0,3.99,8.84,8.49,8.78,8.78,4.32,-15.2,1.75
27,28,688055,龙腾光电,3.64,-2.67,-0.1,76138,28098562.0,3.21,3.75,3.63,3.73,3.74,0.23,-63.75,2.83
28,29,300389,艾比森,11.58,-2.69,-0.32,49118,57358344.99,3.19,11.91,11.53,11.9,11.9,2.11,36.45,2.83
