,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
1,2,600208,衢州发展,3.2,1.91,0.06,2381153.0,764055868.0,5.41,3.29,3.12,3.13,3.14,2.8,10.3,0.62
2,3,301055,张小泉,15.87,1.73,0.27,35132.0,55062184.6,4.1,15.99,15.35,15.55,15.6,2.25,107.95,3.95
3,4,000888,峨眉山Ａ,13.68,0.81,0.11,185062.0,251883454.48,2.65,13.77,13.41,13.41,13.57,3.51,22.16,2.74
4,5,600986,浙文互联,10.29,0.59,0.06,2324738.0,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
5,6,002627,三峡旅游,5.23,0.58,0.03,139840.0,72970906.0,1.54,5.26,5.18,5.19,5.2,1.95,25.39,1.22
6,7,000719,中原传媒,10.89,0.37,0.04,67991.0,73781537.17,1.47,10.92,10.76,10.85,10.85,1.02,16.44,1.01
7,8,300052,ST中青宝,11.61,-0.34,-0.04,333228.0,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
8,9,603466,风语筑,10.9,-0.37,-0.04,564423.0,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
9,10,000069,华侨城Ａ,2.45,-0.41,-0.01,402062.0,98782075.62,1.63,2.48,2.44,2.45,2.46,0.58,-6.28,0.35
10,11,000682,东方电子,10.16,-0.49,-0.05,256211.0,261319652.81,2.84,10.35,10.06,10.15,10.21,1.91,24.26,2.81
11,12,601949,中国出版,6.67,-0.6,-0.04,129824.0,87030811.0,1.94,6.78,6.65,6.7,6.71,0.68,30.43,1.37
12,13,300426,唐德影视,10.09,-0.69,-0.07,54983.0,56063861.0,3.05,10.37,10.06,10.16,10.16,1.37,-46.26,9.8
13,14,600229,城市传媒,7.1,-0.84,-0.06,63946.0,45594651.0,1.96,7.2,7.06,7.06,7.16,0.95,27.1,1.48
14,15,001216,华瓷股份,13.7,-0.94,-0.13,27401.0,37621738.36,2.1,13.89,13.6,13.79,13.83,1.09,15.36,2.04
15,16,605168,三人行,30.38,-1.24,-0.38,24656.0,75171325.0,2.24,30.84,30.15,30.76,30.76,1.17,26.44,2.3
16,17,002780,三夫户外,11.44,-1.29,-0.15,46102.0,52763942.0,2.67,11.65,11.34,11.64,11.59,3.53,157.91,2.59
17,18,300058,蓝色光标,9.89,-1.3,-0.13,1473525.0,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
18,19,603808,歌力思,7.26,-1.36,-0.1,45486.0,33137039.0,2.04,7.36,7.21,7.35,7.36,1.23,93.37,0.94
19,20,002858,力盛体育,12.15,-1.54,-0.19,68349.0,82909602.0,3.24,12.4,12.0,12.26,12.34,4.66,105.87,3.43
20,21,002537,海联金汇,6.01,-1.64,-0.1,189073.0,114215932.0,2.62,6.13,5.97,6.08,6.11,1.61,104.97,1.74
21,22,600158,中体产业,8.11,-1.7,-0.14,156679.0,127431169.0,1.33,8.2,8.09,8.16,8.25,1.63,251.97,2.99
22,23,002615,哈尔斯,8.09,-1.82,-0.15,77792.0,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
23,24,000607,华媒控股,4.15,-1.89,-0.08,85869.0,35882358.0,2.13,4.23,4.14,4.22,4.23,0.99,283.46,2.59
24,25,300043,星辉娱乐,4.03,-1.95,-0.08,632196.0,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
