,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,300721,怡达股份,15.33,9.5,1.33,347109,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
2,3,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
3,4,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
4,5,603985,恒润股份,15.31,3.45,0.51,398200,610552025.0,7.64,15.78,14.65,14.66,14.8,9.03,-68.7,2.06
5,6,300057,万顺新材,5.46,2.25,0.12,462102,250883087.52,5.24,5.54,5.26,5.3,5.34,6.45,-100.6,0.9
6,7,000973,佛塑科技,7.08,2.16,0.15,442698,309436203.54,4.62,7.1,6.78,6.89,6.93,4.58,61.72,2.42
7,8,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
8,9,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
9,10,300537,广信材料,20.13,1.67,0.33,151418,304519747.98,5.71,20.47,19.34,19.71,19.8,10.52,84.05,4.93
10,11,688019,安集科技,153.8,1.14,1.73,20985,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
11,12,301013,利和兴,20.78,0.82,0.17,339017,696811318.22,5.14,21.08,20.02,20.5,20.61,17.91,237.73,5.7
12,13,000012,南  玻Ａ,5.05,0.8,0.04,234216,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
13,14,300200,高盟新材,8.96,0.79,0.07,151032,135172216.21,3.71,9.07,8.74,8.85,8.89,3.57,26.21,2.42
14,15,002885,京泉华,15.54,0.65,0.1,344706,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
15,16,300476,胜宏科技,85.16,0.54,0.46,543697,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
16,17,601208,东材科技,9.47,0.53,0.05,157034,147395256.0,2.76,9.53,9.27,9.42,9.42,1.75,26.97,1.94
17,18,688538,和辉光电-U,2.25,0.45,0.01,770949,173526170.0,2.23,2.28,2.23,2.24,2.24,1.34,-12.38,3.1
18,19,300398,飞凯材料,16.52,0.43,0.07,268655,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
19,20,301611,珂玛科技,58.27,0.02,0.01,32965,193205419.87,3.43,59.55,57.55,58.26,58.26,5.49,84.39,17.65
20,21,688550,瑞联新材,38.77,-0.21,-0.08,39622,154754975.0,5.07,40.36,38.39,38.4,38.85,2.3,26.66,2.2
21,22,000990,诚志股份,7.63,-0.26,-0.02,109914,84186433.0,2.09,7.74,7.58,7.63,7.65,0.9,31.83,0.52
22,23,002455,百川股份,8.01,-0.5,-0.04,164977,133109886.0,2.24,8.16,7.98,8.05,8.05,3.25,43.8,2.7
23,24,301045,天禄科技,22.36,-0.62,-0.14,19272,42948580.31,2.18,22.52,22.03,22.48,22.5,2.84,92.65,2.49
24,25,300667,必创科技,20.06,-0.69,-0.14,368180,762181483.47,8.91,21.51,19.71,20.2,20.2,21.33,-817.91,3.22
25,26,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
26,27,002384,东山精密,34.13,-0.9,-0.31,450815,1541631886.37,2.82,34.78,33.81,34.44,34.44,3.25,40.91,3.09
27,28,603629,利通电子,30.15,-0.99,-0.3,295036,891570324.0,5.42,31.26,29.61,30.13,30.45,11.58,111.53,4.73
28,29,300666,江丰电子,70.2,-0.99,-0.7,42714,299914880.83,1.86,70.93,69.61,70.71,70.9,1.94,46.47,4.15
29,30,601958,金钼股份,10.71,-1.02,-0.11,230466,248104939.0,2.31,10.9,10.65,10.8,10.82,0.71,11.52,2.03
30,31,300120,经纬辉开,9.68,-1.12,-0.11,301974,290080673.34,5.11,9.87,9.37,9.71,9.79,5.69,63.48,1.84
31,32,300429,强力新材,12.21,-1.13,-0.14,90588,111619428.0,2.59,12.5,12.18,12.3,12.35,2.27,-191.69,3.52
32,33,300481,濮阳惠成,15.45,-1.21,-0.19,43207,67109468.0,2.43,15.77,15.39,15.63,15.64,1.47,22.85,1.93
33,34,300657,弘信电子,37.85,-1.23,-0.47,520284,1987111117.6,3.94,38.92,37.41,38.03,38.32,11.39,253.44,13.93
34,35,600510,黑牡丹,5.28,-1.31,-0.07,89164,47106684.0,2.43,5.36,5.23,5.34,5.35,0.86,51.49,0.54
