,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603685,晨丰科技,13.63,5.99,0.77,67607,89256091.0,8.79,13.66,12.53,12.86,12.86,4.0,123.6,2.05
1,2,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
2,3,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
3,4,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
4,5,600183,生益科技,28.77,1.88,0.53,389480,1110479293.0,2.97,28.8,27.96,28.06,28.24,1.64,40.08,4.69
5,6,300537,广信材料,20.13,1.67,0.33,151418,304519747.98,5.71,20.47,19.34,19.71,19.8,10.52,84.05,4.93
6,7,600601,方正科技,5.3,1.34,0.07,1682251,878112257.0,3.82,5.33,5.13,5.18,5.23,4.03,78.96,5.44
7,8,688359,三孚新科,55.21,1.02,0.56,9997,54711709.0,2.95,55.49,53.88,54.8,54.65,1.07,-370.99,10.08
8,9,300476,胜宏科技,85.16,0.54,0.46,543697,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
9,10,601208,东材科技,9.47,0.53,0.05,157034,147395256.0,2.76,9.53,9.27,9.42,9.42,1.75,26.97,1.94
10,11,002544,普天科技,24.14,-0.08,-0.02,375304,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
11,12,002384,东山精密,34.13,-0.9,-0.31,450815,1541631886.37,2.82,34.78,33.81,34.44,34.44,3.25,40.91,3.09
12,13,002436,兴森科技,13.04,-0.99,-0.13,718661,942956789.44,3.11,13.36,12.95,13.1,13.17,4.79,-522.89,4.35
13,14,300227,光韵达,9.22,-1.07,-0.1,436720,409652001.44,5.47,9.62,9.11,9.2,9.32,10.58,105.49,2.87
14,15,002916,深南电路,131.05,-1.08,-1.43,78778,1033946831.81,2.77,133.48,129.81,132.22,132.48,1.54,35.8,4.6
15,16,002938,鹏鼎控股,36.24,-1.12,-0.41,77248,281169434.27,2.1,36.87,36.1,36.51,36.65,0.34,23.21,2.62
16,17,002552,宝鼎科技,15.24,-1.17,-0.18,67064,102893395.0,3.11,15.63,15.15,15.3,15.42,2.09,41.49,3.93
17,18,300657,弘信电子,37.85,-1.23,-0.47,520284,1987111117.6,3.94,38.92,37.41,38.03,38.32,11.39,253.44,13.93
18,19,002463,沪电股份,34.12,-1.39,-0.48,396491,1362543482.88,2.66,34.92,34.0,34.36,34.6,2.07,25.3,5.53
19,20,603186,华正新材,27.1,-1.42,-0.39,35149,96199580.0,3.53,27.97,27.0,27.19,27.49,2.48,-39.5,2.74
20,21,300446,航天智造,20.07,-1.47,-0.3,358464,715308759.14,2.99,20.25,19.64,20.01,20.37,11.51,21.46,3.24
21,22,301217,铜冠铜箔,11.45,-1.55,-0.18,84414,97007559.0,2.15,11.65,11.4,11.61,11.63,3.69,-70.93,1.75
22,23,002008,大族激光,29.11,-1.59,-0.47,463934,1374724723.35,4.73,30.44,29.04,29.35,29.58,4.74,16.11,1.93
23,24,300576,容大感光,43.06,-1.89,-0.83,39945,173980796.18,2.78,44.25,43.03,43.9,43.89,2.18,93.52,8.31
24,25,688183,生益电子,31.69,-1.92,-0.62,148539,469012420.0,5.04,32.68,31.05,32.02,32.31,1.79,79.41,6.17
25,26,688401,路维光电,30.85,-2.0,-0.63,35594,109803726.0,3.14,31.36,30.37,31.23,31.48,3.08,31.02,4.28
26,27,301282,金禄电子,24.11,-2.03,-0.5,42548,103280799.0,3.09,24.71,23.95,24.57,24.61,5.9,48.0,2.18
27,28,000823,超声电子,11.0,-2.05,-0.23,182251,202012469.28,3.03,11.28,10.94,11.19,11.23,3.39,27.38,1.27
28,29,301041,金百泽,26.91,-2.07,-0.57,26524,71971587.0,2.44,27.52,26.85,27.4,27.48,3.36,100.52,4.27
29,30,688199,久日新材,17.5,-2.07,-0.37,29259,51490186.0,2.8,17.92,17.42,17.87,17.87,1.81,-52.97,1.1
30,31,002134,天津普林,21.28,-2.12,-0.46,55919,119765140.5,3.63,21.87,21.08,21.7,21.74,2.27,126.83,10.99
31,32,300041,回天新材,9.14,-2.14,-0.2,186516,172659808.1,3.43,9.43,9.11,9.27,9.34,3.43,23.51,1.83
32,33,688531,日联科技,61.58,-2.15,-1.35,27907,173123787.0,2.88,63.11,61.3,62.25,62.93,3.81,49.97,2.18
33,34,301200,大族数控,41.19,-2.23,-0.94,22297,93155848.0,3.82,42.79,41.18,42.01,42.13,3.82,63.91,3.46
34,35,920060,万源通,35.9,-2.31,-0.85,52865,192318197.62,4.0,37.17,35.7,36.03,36.75,8.69,33.2,5.31
35,36,603328,依顿电子,10.63,-2.39,-0.26,159196,170716886.0,3.12,10.92,10.58,10.82,10.89,1.59,23.81,2.63
36,37,301132,满坤科技,28.3,-2.41,-0.7,20265,58020730.0,3.14,29.17,28.26,28.82,29.0,4.4,43.85,2.4
37,38,688630,芯碁微装,63.85,-2.43,-1.59,21186,136055612.0,2.86,65.38,63.51,65.0,65.44,1.61,51.01,4.07
38,39,603920,世运电路,30.61,-2.45,-0.77,162042,498997862.0,4.11,31.57,30.28,31.26,31.38,2.25,34.2,3.57
39,40,688603,天承科技,70.77,-2.55,-1.85,4845,34600152.0,4.02,73.48,70.56,72.62,72.62,1.6,77.32,5.29
40,41,300903,科翔股份,8.55,-2.62,-0.23,141774,122384831.0,3.99,8.84,8.49,8.78,8.78,4.32,-15.2,1.75
41,42,002211,宏达新材,3.99,-2.68,-0.11,150752,60747445.69,3.17,4.11,3.98,4.07,4.1,3.49,-71.68,38.17
42,43,301511,德福科技,15.08,-2.71,-0.42,112583,171210632.8,3.55,15.53,14.98,15.51,15.5,3.01,-34.93,2.36
43,44,301628,强达电路,92.88,-2.71,-2.59,15911,149374407.0,3.21,95.88,92.82,95.47,95.47,8.44,65.91,6.7
44,45,688610,埃科光电,37.8,-2.78,-1.08,5040,19202638.0,3.5,38.93,37.57,38.61,38.88,1.25,163.12,1.77
45,46,603002,宏昌电子,6.3,-2.78,-0.18,334888,214290962.0,3.24,6.51,6.3,6.42,6.48,3.04,145.94,2.08
46,47,605058,澳弘电子,25.52,-2.82,-0.74,76303,198416205.0,5.64,26.98,25.5,25.82,26.26,5.34,25.78,2.12
47,48,603936,博敏电子,8.4,-2.89,-0.25,190832,162209723.0,3.35,8.66,8.37,8.63,8.65,3.03,77.93,1.17
48,49,301150,中一科技,21.16,-2.94,-0.64,27116,58059932.51,3.58,21.88,21.1,21.75,21.8,2.93,-41.98,1.08
49,50,603386,骏亚科技,11.8,-2.96,-0.36,92256,110264500.0,3.7,12.21,11.76,12.09,12.16,2.83,-194.33,2.6
50,51,301176,逸豪新材,19.57,-2.97,-0.6,48161,95546944.42,3.37,20.2,19.52,20.17,20.17,8.55,-174.83,2.11
51,52,300241,瑞丰光电,5.5,-3.0,-0.17,187403,104117901.02,3.0,5.65,5.48,5.63,5.67,3.28,63.42,1.77
52,53,300739,明阳电路,14.45,-3.22,-0.48,98260,143917633.98,3.28,14.93,14.44,14.82,14.93,2.89,109.63,2.1
53,54,002913,奥士康,27.57,-3.26,-0.93,36768,102661823.14,3.33,28.5,27.55,28.33,28.5,1.44,23.54,2.03
54,55,603256,宏和科技,9.08,-3.3,-0.31,67751,61932882.0,3.83,9.38,9.02,9.38,9.39,0.77,775.34,5.56
55,56,688300,联瑞新材,56.11,-3.36,-1.95,26566,150037956.0,5.89,58.12,54.7,58.05,58.06,1.43,41.46,6.91
56,57,002741,光华科技,17.1,-3.39,-0.6,156747,270275345.0,4.01,17.66,16.95,17.6,17.7,4.34,879.94,3.89
57,58,002866,传艺科技,16.69,-3.41,-0.59,87977,148875351.1,3.7,17.28,16.64,17.16,17.28,4.85,78.63,2.27
58,59,002815,崇达技术,11.6,-3.41,-0.41,213432,250410590.1,3.33,11.96,11.56,11.89,12.01,3.33,35.87,1.79
59,60,605258,协和电子,32.41,-3.43,-1.15,23627,77276562.0,3.46,33.4,32.24,33.29,33.56,2.68,45.91,2.4
60,61,300410,正业科技,5.69,-3.56,-0.21,151676,87392017.0,4.41,5.92,5.66,5.84,5.9,4.13,-13.73,6.42
61,62,688312,燕麦科技,28.98,-3.59,-1.08,14917,43838611.0,4.69,30.21,28.8,30.06,30.06,1.03,42.68,2.94
62,63,300852,四会富仕,33.77,-3.73,-1.31,26847,92177571.76,4.62,35.38,33.76,35.13,35.08,1.96,29.39,3.23
63,64,301251,威尔高,37.82,-3.79,-1.49,42075,161509465.0,3.49,39.19,37.82,39.18,39.31,7.8,81.03,3.4
64,65,002055,得润电子,6.23,-3.86,-0.25,353713,221898342.0,4.01,6.47,6.21,6.43,6.48,5.98,-22.46,1.51
65,66,837821,则成电子,40.18,-3.99,-1.67,28521,117039109.29,5.52,42.49,40.18,41.98,41.85,5.61,104.4,7.59
66,67,301366,一博科技,57.63,-4.13,-2.48,45550,266041513.36,3.28,59.59,57.62,59.0,60.11,8.33,77.52,3.97
67,68,688700,东威科技,39.88,-4.16,-1.73,62976,254011721.0,5.22,41.61,39.44,41.37,41.61,2.11,177.33,6.87
68,69,002745,木林森,9.2,-4.17,-0.4,401659,373675571.25,4.9,9.62,9.15,9.56,9.6,3.77,28.22,1.06
69,70,301512,智信精密,43.14,-4.18,-1.88,14820,64262810.0,4.71,44.8,42.68,44.8,45.02,5.97,-52.45,2.34
70,71,688299,长阳科技,15.56,-4.19,-0.68,98377,154650744.0,5.97,16.35,15.38,16.35,16.24,3.43,219.93,2.11
71,72,002579,中京电子,8.56,-4.36,-0.39,250360,217597726.12,4.58,8.94,8.53,8.84,8.95,4.3,-41.99,2.18
72,73,301379,天山电子,32.52,-4.52,-1.54,63474,209667689.2,6.22,34.44,32.32,33.96,34.06,6.79,30.68,3.28
73,74,300964,本川智能,42.0,-4.55,-2.0,52488,224026466.22,4.43,43.77,41.82,43.0,44.0,9.71,115.01,3.26
74,75,300632,光莆股份,13.77,-4.57,-0.66,91076,126874958.68,4.71,14.41,13.73,14.26,14.43,4.12,43.95,2.35
75,76,001389,广合科技,53.8,-4.61,-2.6,27298,149414344.82,4.06,56.09,53.8,55.85,56.4,7.17,34.84,7.82
76,77,688138,清溢光电,26.68,-4.78,-1.34,50286,137407509.0,7.32,28.6,26.55,27.71,28.02,1.88,41.28,4.8
77,78,688063,派能科技,41.52,-4.86,-2.12,68916,291207632.0,5.45,43.74,41.36,43.41,43.64,2.81,248.35,1.11
78,79,002636,金安国纪,9.09,-4.92,-0.47,158575,146926723.0,5.54,9.59,9.06,9.49,9.56,2.19,49.91,1.93
79,80,688655,迅捷兴,14.4,-4.95,-0.75,69731,103653101.0,11.02,15.97,14.3,15.03,15.15,5.23,-973.08,2.82
80,81,002708,光洋股份,13.35,-5.25,-0.74,971747,1331437205.32,8.52,14.45,13.25,13.64,14.09,18.91,140.06,4.29
81,82,300806,斯迪克,17.06,-5.48,-0.99,216606,374346842.73,5.43,17.87,16.89,17.7,18.05,6.78,107.86,3.48
82,83,301377,鼎泰高科,29.9,-5.83,-1.85,101304,310894505.53,5.89,31.76,29.89,31.0,31.75,14.26,53.39,5.06
83,84,870357,雅葆轩,22.69,-6.24,-1.51,24122,55934214.88,6.32,24.1,22.57,23.81,24.2,5.42,28.68,4.82
84,85,300814,中富电路,33.73,-6.31,-2.27,76732,264261937.47,6.03,35.86,33.69,35.62,36.0,4.11,151.51,4.19
85,86,300580,贝斯特,31.37,-6.53,-2.19,207421,659048255.6,6.35,33.15,31.02,32.98,33.56,4.41,52.38,5.2
86,87,001314,亿道信息,50.86,-7.02,-3.84,91653,473382769.29,6.03,53.5,50.2,53.0,54.7,17.71,256.87,3.51
87,88,301568,思泰克,41.8,-7.36,-3.32,69085,296394315.03,5.54,44.15,41.65,44.06,45.12,14.5,61.81,4.38
88,89,603219,富佳股份,17.28,-9.15,-1.74,148780,264854190.0,9.25,18.93,17.17,18.81,19.02,2.65,50.2,6.25
89,90,603124,C江南,57.72,-22.52,-16.78,196414,1196220038.0,10.07,65.0,57.5,63.0,74.5,68.59,47.71,4.99
