,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301591,肯特股份,43.04,2.01,0.85,65019,278635983.0,7.75,44.4,41.13,41.8,42.19,19.15,45.86,4.2
1,2,301005,超捷股份,36.71,1.1,0.4,114558,418248760.26,5.7,37.37,35.3,36.17,36.31,8.65,145.66,6.46
2,3,300699,光威复材,33.54,0.3,0.1,209082,707800058.86,4.16,34.6,33.21,33.83,33.44,2.55,37.32,5.03
3,4,301548,崇德科技,55.63,0.07,0.04,59196,338948949.25,9.25,59.5,54.36,54.36,55.59,22.56,42.57,3.37
4,5,002386,天原股份,4.61,-0.22,-0.01,143255,66047198.62,1.73,4.65,4.57,4.62,4.62,1.1,-46.33,0.77
5,6,301526,国际复材,3.5,-0.28,-0.01,340246,119837349.0,2.85,3.57,3.47,3.49,3.51,2.42,-62.94,1.61
6,7,002562,兄弟科技,4.35,-0.46,-0.02,193725,84596247.2,2.06,4.41,4.32,4.37,4.37,2.76,106.65,1.46
7,8,002625,光启技术,40.75,-0.71,-0.29,191782,783462968.2,1.34,41.2,40.65,40.93,41.04,1.08,122.61,9.99
8,9,003017,大洋生物,21.58,-1.24,-0.27,13745,29660059.0,2.33,21.89,21.38,21.73,21.85,1.99,26.52,1.76
9,10,300538,同益股份,15.8,-1.25,-0.2,62165,99563524.0,3.56,16.32,15.75,15.9,16.0,5.41,344.64,2.74
10,11,002643,万润股份,11.27,-2.0,-0.23,137128,155618828.0,2.17,11.49,11.24,11.45,11.5,1.51,26.56,1.49
11,12,601609,金田股份,6.41,-2.14,-0.14,197545,128135422.0,3.51,6.62,6.39,6.55,6.55,1.33,24.8,1.21
12,13,300644,南京聚隆,24.9,-2.96,-0.76,49729,124914997.2,3.86,25.72,24.73,25.59,25.66,5.67,36.54,2.94
13,14,301233,盛帮股份,49.51,-3.11,-1.59,15571,77598839.0,3.09,50.75,49.17,50.75,51.1,8.34,29.61,2.76
14,15,301131,聚赛龙,39.11,-3.17,-1.28,16294,63956193.3,3.61,40.15,38.69,40.15,40.39,5.29,53.34,2.29
15,16,688716,中研股份,36.27,-4.0,-1.51,39381,144396732.0,5.24,37.77,35.79,37.76,37.78,5.74,112.34,3.77
16,17,832469,富恒新材,13.88,-4.28,-0.62,59175,82758300.15,5.45,14.5,13.71,14.31,14.5,6.04,37.29,4.06
17,18,301069,凯盛新材,15.86,-4.63,-0.77,87030,140678008.8,4.27,16.57,15.86,16.5,16.63,2.22,119.16,4.52
18,19,301076,新瀚新材,28.2,-4.89,-1.45,43783,125430108.24,4.38,29.5,28.2,29.45,29.65,6.32,68.1,3.34
19,20,002915,中欣氟材,13.43,-4.89,-0.69,109550,149345728.4,5.1,14.12,13.4,14.12,14.12,3.8,-76.25,3.03
20,21,301196,唯科科技,57.1,-5.09,-3.06,65233,375057993.35,5.97,60.0,56.41,60.0,60.16,9.7,30.12,2.32
21,22,600143,金发科技,11.29,-6.85,-0.83,1155974,1324420089.0,4.04,11.75,11.26,11.75,12.12,4.45,32.69,1.71
22,23,688219,会通股份,13.71,-7.05,-1.04,198099,279645025.0,7.05,14.75,13.71,14.57,14.75,4.21,33.27,2.81
23,24,836247,华密新材,23.6,-7.12,-1.81,32695,79481199.89,8.85,25.68,23.43,25.0,25.41,3.72,52.14,6.27
24,25,300403,汉宇集团,18.0,-7.26,-1.41,666037,1217876025.92,6.54,19.16,17.89,19.03,19.41,15.75,46.4,5.4
25,26,002886,沃特股份,19.85,-8.19,-1.77,213366,435271229.38,7.68,21.51,19.85,21.37,21.62,10.25,156.3,2.96
