,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300281,金明精机,6.58,1.08,0.07,329702,216033022.52,3.84,6.66,6.41,6.49,6.51,8.3,144.29,2.18
1,2,300332,天壕能源,5.29,0.38,0.02,318755,169772007.72,3.04,5.39,5.23,5.24,5.27,3.84,26.08,1.1
2,3,603978,深圳新星,14.45,-0.07,-0.01,44035,63437280.0,2.35,14.57,14.23,14.47,14.46,2.09,-23.3,1.65
3,4,002068,黑猫股份,11.45,-0.52,-0.06,167871,194290076.42,3.13,11.76,11.4,11.45,11.51,2.28,-114.81,2.84
4,5,002407,多氟多,12.28,-0.73,-0.09,145404,179360862.37,1.62,12.42,12.22,12.36,12.37,1.35,439.2,1.65
5,6,605020,永和股份,22.72,-0.83,-0.19,46824,106794771.0,2.27,23.14,22.62,22.9,22.91,1.24,54.74,2.5
6,7,603379,三美股份,40.88,-1.02,-0.42,59302,244016970.0,3.22,41.97,40.64,41.37,41.3,0.97,33.37,4.01
7,8,300236,上海新阳,35.66,-1.68,-0.61,29766,106972923.6,2.45,36.46,35.57,36.09,36.27,1.07,64.59,2.51
8,9,300041,回天新材,9.14,-2.14,-0.2,186516,172659808.1,3.43,9.43,9.11,9.27,9.34,3.43,23.51,1.83
9,10,600378,昊华科技,26.94,-2.36,-0.65,22534,61361948.0,3.01,27.72,26.89,27.5,27.59,0.25,30.62,2.05
10,11,600673,东阳光,9.99,-2.44,-0.25,246739,247840702.0,3.32,10.26,9.92,10.23,10.24,0.82,72.27,3.31
11,12,300056,中创环保,14.99,-3.91,-0.61,131097,199272795.77,5.26,15.68,14.86,15.55,15.6,3.4,-394.88,19.86
12,13,300343,联创股份,5.85,-3.94,-0.24,275507,164574651.2,4.43,6.12,5.85,6.1,6.09,2.58,-279.48,3.27
13,14,603659,璞泰来,17.92,-3.97,-0.74,297258,542690512.0,4.88,18.74,17.83,18.56,18.66,1.39,23.19,2.08
14,15,600160,巨化股份,23.65,-5.51,-1.38,348582,846874048.0,5.87,25.12,23.65,25.0,25.03,1.29,38.08,3.74
