,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301079,邵阳液压,29.06,19.98,4.84,274491,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
1,2,002713,东易日盛,7.05,9.98,0.64,49340,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
2,3,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
3,4,301311,昆船智能,20.87,5.03,1.0,207996,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
4,5,000923,河钢资源,15.46,5.03,0.74,419294,641379923.39,6.39,15.65,14.71,14.71,14.72,6.68,13.1,1.05
5,6,301161,唯万密封,25.55,4.76,1.16,131218,327357707.41,8.08,25.63,23.66,24.15,24.39,24.61,45.65,3.14
6,7,001379,腾达科技,24.88,4.01,0.96,180802,452289687.89,12.21,26.31,23.39,23.51,23.92,26.87,64.82,3.43
7,8,603211,晋拓股份,22.92,3.15,0.7,316385,720267601.0,9.45,23.5,21.4,21.69,22.22,46.56,108.48,5.28
8,9,301446,福事特,24.24,2.8,0.66,47915,115195169.3,4.37,24.48,23.45,23.65,23.58,15.08,36.79,2.27
9,10,600101,明星电力,10.89,2.45,0.26,930623,1019643082.0,6.77,11.33,10.61,10.63,10.63,16.99,28.55,1.99
10,11,605069,正和生态,9.7,2.0,0.19,161221,154580673.0,5.47,9.85,9.33,9.51,9.51,19.16,386.99,1.97
11,12,300930,屹通新材,29.4,1.94,0.56,74123,221486137.5,8.22,31.01,28.64,28.82,28.84,15.73,55.21,3.38
12,13,603110,东方材料,18.53,1.93,0.35,173795,318787199.0,6.77,18.98,17.75,18.19,18.18,8.64,220.25,5.31
13,14,600183,生益科技,28.77,1.88,0.53,389480,1110479293.0,2.97,28.8,27.96,28.06,28.24,1.64,40.08,4.69
14,15,300537,广信材料,20.13,1.67,0.33,151418,304519747.98,5.71,20.47,19.34,19.71,19.8,10.52,84.05,4.93
15,16,301361,众智科技,36.8,1.52,0.55,44604,162400177.42,3.67,36.99,35.66,36.0,36.25,15.34,62.28,3.82
16,17,300386,飞天诚信,16.95,1.44,0.24,140107,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
17,18,603381,永臻股份,22.65,1.25,0.28,50902,115443126.0,2.68,22.9,22.3,22.37,22.37,9.54,22.59,1.47
18,19,603273,天元智能,19.6,1.24,0.24,99329,195076142.0,4.08,19.89,19.1,19.1,19.36,17.72,120.6,4.89
19,20,301288,清研环境,14.32,1.2,0.17,48666,70374068.99,4.81,14.78,14.1,14.4,14.15,10.33,-89.16,1.91
20,21,688418,震有科技,30.71,1.19,0.36,49356,152219797.0,5.17,31.5,29.93,30.28,30.35,2.55,219.31,6.57
21,22,002805,丰元股份,12.8,1.19,0.15,87472,111182203.0,3.72,12.92,12.45,12.59,12.65,3.14,-20.78,1.86
22,23,601515,东峰集团,3.44,1.18,0.04,492855,167848718.0,4.41,3.47,3.32,3.38,3.4,2.63,-25.41,1.17
23,24,600187,国中水务,3.61,1.12,0.04,692175,249665516.0,5.88,3.72,3.51,3.57,3.57,4.29,485.59,1.84
24,25,603097,江苏华辰,24.01,1.01,0.24,36693,87699701.0,3.49,24.23,23.4,23.7,23.77,9.17,47.33,3.77
25,26,000010,美丽生态,3.1,0.98,0.03,351916,108199839.44,3.58,3.14,3.03,3.08,3.07,6.69,-44.98,16.29
26,27,600017,日照港,3.17,0.96,0.03,525452,166668088.0,2.23,3.2,3.13,3.13,3.14,1.71,11.51,0.71
27,28,002771,真视通,18.64,0.87,0.16,169607,315592646.25,8.06,19.49,18.0,18.29,18.48,9.72,-127.15,6.06
28,29,600706,曲江文旅,10.92,0.83,0.09,97846,105751597.0,2.68,10.98,10.69,10.75,10.83,3.85,-11.55,4.75
29,30,600298,安琪酵母,35.87,0.82,0.29,55251,197803584.0,1.43,36.03,35.52,35.59,35.58,0.65,24.52,2.99
30,31,002888,惠威科技,19.7,0.77,0.15,70620,137239292.0,4.04,19.82,19.03,19.3,19.55,9.18,746.73,7.64
31,32,600993,马应龙,24.72,0.73,0.18,88165,217572473.0,2.49,24.98,24.37,24.85,24.54,2.05,17.47,2.66
32,33,603042,华脉科技,14.88,0.54,0.08,219363,329167429.0,5.81,15.41,14.55,14.7,14.8,13.66,-218.64,2.73
33,34,000880,潍柴重机,35.61,0.54,0.19,321636,1154560481.82,5.22,36.89,35.04,35.16,35.42,19.83,61.26,5.84
