,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300057,万顺新材,5.46,2.25,0.12,462102,250883087.52,5.24,5.54,5.26,5.3,5.34,6.45,-100.6,0.9
1,2,300094,国联水产,4.09,2.0,0.08,1761210,726535866.92,9.73,4.33,3.94,3.95,4.01,15.94,-43.5,1.85
2,3,601008,连云港,3.92,1.03,0.04,203436,79701670.0,2.06,3.95,3.87,3.87,3.88,1.64,25.45,1.2
3,4,600017,日照港,3.17,0.96,0.03,525452,166668088.0,2.23,3.2,3.13,3.13,3.14,1.71,11.51,0.71
4,5,300870,欧陆通,148.3,0.77,1.13,31075,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
5,6,601880,辽港股份,1.54,0.65,0.01,1606306,248648309.0,3.27,1.57,1.52,1.52,1.53,0.86,29.2,0.92
6,7,002404,嘉欣丝绸,6.53,0.0,0.0,120282,78807474.5,2.14,6.63,6.49,6.54,6.53,2.64,18.06,1.84
7,8,002468,申通快递,12.33,0.0,0.0,193811,241838916.82,3.65,12.7,12.25,12.25,12.33,1.3,21.7,2.01
8,9,603565,中谷物流,9.25,0.0,0.0,94541,88108060.0,2.27,9.42,9.21,9.25,9.25,0.45,13.14,1.88
9,10,603967,中创物流,10.76,0.0,0.0,40757,43715645.0,2.14,10.86,10.63,10.76,10.76,1.18,13.96,1.62
10,11,600190,ST锦港,1.46,0.0,0.0,93292,13594268.0,2.05,1.47,1.44,1.45,1.46,0.52,-1.03,0.64
11,12,603167,渤海轮渡,8.72,0.0,0.0,131586,115076381.0,2.98,8.87,8.61,8.71,8.72,2.8,11.93,1.11
12,13,000582,北部湾港,8.4,-0.59,-0.05,153173,129123812.8,1.89,8.51,8.35,8.41,8.45,0.87,15.69,1.09
13,14,601339,百隆东方,5.38,-0.74,-0.04,72244,39080080.0,1.85,5.47,5.37,5.4,5.42,0.48,14.66,0.83
14,15,600735,新华锦,5.91,-1.01,-0.06,169335,101002608.0,2.68,6.06,5.9,6.02,5.97,3.98,45.16,1.84
15,16,002803,吉宏股份,12.88,-1.45,-0.19,50384,65205162.1,1.99,13.12,12.86,13.08,13.07,1.75,27.6,2.29
16,17,000811,冰轮环境,12.81,-1.46,-0.19,263742,335481132.74,3.92,12.99,12.48,12.99,13.0,3.54,15.48,1.68
17,18,002321,华英农业,2.39,-2.05,-0.05,255154,61518664.0,2.46,2.44,2.38,2.44,2.44,1.2,116.56,5.3
18,19,002612,朗姿股份,15.72,-2.12,-0.34,69205,109606703.98,2.37,16.05,15.67,15.96,16.06,2.73,24.93,2.23
19,20,002614,奥佳华,7.09,-2.34,-0.17,149137,106933500.5,3.03,7.31,7.09,7.25,7.26,3.38,65.0,1.01
20,21,300795,米奥会展,21.26,-3.28,-0.72,40740,87510906.75,3.09,21.91,21.23,21.8,21.98,3.03,53.99,9.13
21,22,002582,好想你,9.74,-3.28,-0.33,377445,369406385.6,4.07,10.02,9.61,10.01,10.07,10.97,-54.38,1.23
22,23,002067,景兴纸业,4.06,-3.33,-0.14,573725,235230089.24,2.86,4.17,4.05,4.16,4.2,5.14,76.27,0.89
23,24,600006,东风股份,7.43,-3.51,-0.27,486915,366067285.0,3.25,7.66,7.41,7.65,7.7,2.43,-97.21,1.83
