,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300959,线上线下,44.69,1.96,0.86,37370,168625516.01,6.16,46.3,43.6,43.6,43.83,7.15,214.72,3.09
1,2,000889,ST中嘉,2.64,0.0,0.0,240465,63778086.17,2.65,2.69,2.62,2.63,2.64,2.76,-80.26,21.94
2,3,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
3,4,300058,蓝色光标,9.89,-1.3,-0.13,1473525,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
4,5,000839,中信国安,2.98,-1.32,-0.04,405785,121612671.0,1.99,3.03,2.97,3.02,3.02,1.04,58.46,8.51
5,6,002148,北纬科技,7.38,-1.34,-0.1,225638,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
6,7,300710,万隆光电,18.72,-1.63,-0.31,30411,56975385.8,3.15,19.1,18.5,19.07,19.03,3.41,105.26,2.77
7,8,002537,海联金汇,6.01,-1.64,-0.1,189073,114215932.0,2.62,6.13,5.97,6.08,6.11,1.61,104.97,1.74
8,9,600640,国脉文化,12.58,-2.1,-0.27,68256,86553088.0,2.41,12.85,12.54,12.81,12.85,0.86,565.4,2.52
9,10,002467,二六三,6.08,-2.41,-0.15,479122,293442054.37,2.41,6.22,6.07,6.19,6.23,3.51,97.23,4.44
10,11,300002,神州泰岳,13.72,-2.56,-0.36,637755,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
11,12,000004,国华网安,11.65,-2.59,-0.31,48749,57100365.48,3.01,11.96,11.6,11.95,11.96,3.86,-32.29,9.65
12,13,300051,琏升科技,6.61,-2.65,-0.18,47519,31836755.59,3.09,6.82,6.61,6.82,6.79,1.3,-27.85,9.27
13,14,300292,吴通控股,5.29,-3.11,-0.17,529504,282882636.0,3.11,5.45,5.28,5.43,5.46,4.74,66.76,5.19
14,15,300250,初灵信息,17.12,-3.28,-0.58,99243,171849742.63,3.56,17.69,17.06,17.55,17.7,6.29,-90.97,6.54
15,16,603825,华扬联众,13.58,-3.96,-0.56,117711,162019698.0,3.11,14.02,13.58,13.99,14.14,4.65,-11.47,4.63
16,17,300634,彩讯股份,27.12,-4.2,-1.19,220238,605704612.0,3.46,27.98,27.0,27.7,28.31,5.07,47.02,4.52
17,18,300571,平治信息,33.84,-4.41,-1.56,91872,313478100.0,4.44,35.27,33.7,34.88,35.4,7.95,594.24,2.98
18,19,002602,ST华通,6.69,-4.84,-0.34,1620257,1099143866.07,4.98,7.03,6.68,6.98,7.03,2.36,20.74,1.92
19,20,002123,梦网科技,16.27,-5.3,-0.91,721869,1194210854.47,4.6,16.99,16.2,16.89,17.18,10.05,322.3,7.9
20,21,002329,皇氏集团,3.65,-5.44,-0.21,649837,241414620.15,4.92,3.83,3.64,3.76,3.86,9.86,-162.33,1.84
21,22,300399,天利科技,23.21,-6.03,-1.49,108194,257239419.9,6.28,24.7,23.15,24.49,24.7,5.48,-438.84,9.03
22,23,300047,天源迪科,14.61,-6.59,-1.03,738635,1099247023.05,5.24,15.42,14.6,15.4,15.64,13.44,216.78,2.8
