,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000875,吉电股份,5.3,0.57,0.03,538354,286523863.49,2.28,5.38,5.26,5.27,5.27,1.93,10.2,1.12
1,2,000900,现代投资,4.22,0.48,0.02,135544,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
2,3,600008,首创环保,3.11,0.32,0.01,1072940,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
3,4,002251,ST步步高,4.31,0.23,0.01,278060,120178304.57,2.56,4.39,4.28,4.32,4.3,1.84,4.3,1.35
4,5,600035,楚天高速,4.29,0.23,0.01,149808,64383004.0,1.4,4.32,4.26,4.28,4.28,0.93,8.75,0.8
5,6,600133,东湖高新,10.02,0.0,0.0,263757,265613713.0,3.29,10.24,9.91,9.96,10.02,2.47,36.67,1.25
6,7,001979,招商蛇口,9.46,-0.21,-0.02,472554,446089717.25,1.05,9.5,9.4,9.46,9.48,0.57,21.22,0.87
7,8,601186,中国铁建,8.26,-0.72,-0.06,491397,409638383.0,1.8,8.41,8.26,8.31,8.32,0.43,5.36,0.43
8,9,002352,顺丰控股,42.73,-0.72,-0.31,156278,670942226.14,2.25,43.48,42.51,43.0,43.04,0.33,20.98,2.54
9,10,600658,电子城,4.35,-0.91,-0.04,171793,74438984.0,2.51,4.4,4.29,4.35,4.39,1.54,-7.44,0.71
10,11,600048,保利发展,8.53,-0.93,-0.08,959054,817589122.0,1.86,8.62,8.46,8.59,8.61,0.8,20.36,0.52
11,12,000002,万  科Ａ,7.36,-0.94,-0.07,1306621,960505548.81,2.02,7.42,7.27,7.4,7.43,1.34,-3.67,0.38
12,13,600998,九州通,5.06,-0.98,-0.05,339945,174174268.0,2.74,5.2,5.06,5.15,5.11,0.67,11.28,1.03
13,14,002285,世联行,2.47,-1.2,-0.03,258493,64158075.52,2.0,2.51,2.46,2.49,2.5,1.31,-176.07,1.63
14,15,002305,南国置业,1.52,-1.3,-0.02,447007,68439172.0,2.6,1.55,1.51,1.54,1.54,2.58,-8.43,10.53
15,16,002059,云南旅游,5.67,-1.39,-0.08,257844,146733612.8,2.96,5.78,5.61,5.71,5.75,2.55,31.56,3.6
16,17,000605,渤海股份,7.93,-1.61,-0.13,202943,160638611.71,4.71,8.13,7.75,8.1,8.06,6.1,173.45,1.32
17,18,002314,南山控股,2.42,-1.63,-0.04,510527,126471445.34,5.69,2.55,2.41,2.46,2.46,3.81,-14.1,0.66
18,19,600864,哈投股份,6.28,-1.72,-0.11,242166,153401321.0,2.5,6.41,6.25,6.37,6.39,1.16,36.85,1.01
19,20,600827,百联股份,9.24,-1.81,-0.17,120818,112401369.0,2.02,9.41,9.22,9.39,9.41,0.75,7.63,0.85
20,21,600895,张江高科,25.27,-2.05,-0.53,183403,467226942.0,2.6,25.87,25.2,25.73,25.8,1.18,40.3,2.65
21,22,600743,华远地产,1.84,-2.13,-0.04,215893,40008765.0,2.66,1.88,1.83,1.87,1.88,0.92,-4.43,-28.5
22,23,600622,光大嘉宝,3.16,-2.47,-0.08,443187,141456275.0,2.16,3.23,3.16,3.22,3.24,2.96,-14.04,0.99
23,24,300383,光环新网,17.77,-2.84,-0.52,737375,1323615008.68,3.5,18.35,17.71,18.2,18.29,4.11,66.35,2.52
24,25,000909,ST数源,5.93,-3.1,-0.19,84998,50876050.0,3.92,6.13,5.89,6.09,6.12,1.94,40.39,2.18
