,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
2,3,300071,福石控股,6.22,0.16,0.01,557311,352275696.6,4.51,6.48,6.2,6.27,6.21,5.9,-150.42,23.44
3,4,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
4,5,603189,网达软件,19.12,-0.62,-0.12,311815,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
5,6,002575,群兴玩具,10.06,-0.98,-0.1,446204,448162407.86,4.13,10.25,9.83,10.14,10.16,7.72,-470.14,7.84
6,7,000917,电广传媒,7.98,-1.12,-0.09,453495,363394100.47,2.23,8.11,7.93,8.07,8.07,3.2,139.11,1.09
7,8,001229,魅视科技,34.84,-1.25,-0.44,25594,90989990.0,5.19,36.5,34.67,35.26,35.28,8.7,50.12,3.61
8,9,603598,引力传媒,17.88,-1.54,-0.28,79755,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
9,10,603888,新华网,23.36,-1.85,-0.44,72299,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
10,11,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
11,12,301052,果麦文化,29.02,-2.03,-0.6,38492,112577873.18,3.54,29.95,28.9,29.5,29.62,4.8,101.42,4.13
12,13,600640,国脉文化,12.58,-2.1,-0.27,68256,86553088.0,2.41,12.85,12.54,12.81,12.85,0.86,565.4,2.52
13,14,300860,锋尚文化,27.06,-2.1,-0.58,41304,112989885.58,3.58,27.9,26.91,27.45,27.64,3.69,175.83,1.63
14,15,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
15,16,300612,宣亚国际,15.4,-2.22,-0.35,50171,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
16,17,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
17,18,300578,会畅通讯,20.21,-2.37,-0.49,42433,86578926.0,2.51,20.7,20.18,20.65,20.7,2.19,130.68,3.41
18,19,300079,数码视讯,5.67,-2.41,-0.14,285945,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
19,20,300188,国投智能,14.81,-2.44,-0.37,178380,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
20,21,300479,神思电子,21.46,-2.5,-0.55,74175,160834647.48,3.82,22.14,21.3,22.01,22.01,3.76,-28.16,9.95
21,22,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
22,23,300063,天龙集团,9.5,-2.66,-0.26,301767,288874833.5,2.46,9.74,9.5,9.58,9.76,4.83,111.61,4.48
23,24,301171,易点天下,27.58,-2.72,-0.77,172855,479364327.0,3.28,28.28,27.35,28.1,28.35,5.6,50.06,3.7
24,25,002362,汉王科技,23.38,-2.79,-0.67,69525,163829518.98,2.79,23.97,23.3,23.96,24.05,3.35,-57.14,4.84
25,26,300133,华策影视,7.49,-2.98,-0.23,607059,460325849.49,3.11,7.72,7.48,7.68,7.72,3.74,64.25,2.01
26,27,002649,博彦科技,13.88,-3.0,-0.43,186394,260856957.03,3.0,14.25,13.82,14.18,14.31,3.4,34.15,1.94
27,28,688088,虹软科技,46.92,-3.06,-1.48,55445,262383281.0,3.6,48.38,46.64,48.06,48.4,1.38,107.43,6.93
28,29,300192,科德教育,17.46,-3.16,-0.57,142880,251612871.49,3.16,17.97,17.4,17.96,18.03,6.8,40.57,7.01
29,30,688004,博汇科技,16.89,-3.26,-0.57,15299,26001471.0,3.44,17.38,16.78,17.38,17.46,1.91,-35.05,2.2
30,31,688207,格灵深瞳,16.26,-3.56,-0.6,62445,102885756.0,3.2,16.8,16.26,16.7,16.86,3.31,-20.35,2.06
31,32,300624,万兴科技,65.87,-3.56,-2.43,65066,434277297.71,3.34,68.09,65.81,67.8,68.3,3.8,-1737.44,9.99
32,33,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
33,34,600728,佳都科技,5.41,-3.74,-0.21,803487,439873331.0,3.38,5.59,5.4,5.59,5.62,3.75,-45.04,1.55
34,35,000681,视觉中国,22.1,-4.25,-0.98,367805,823781295.0,3.9,22.97,22.07,22.88,23.08,5.44,142.14,4.42
35,36,002530,金财互联,10.62,-4.32,-0.48,477834,516055739.4,4.95,11.17,10.62,11.06,11.1,6.87,1939.76,6.42
36,37,300229,拓尔思,23.02,-4.72,-1.14,379566,887291337.37,3.93,23.95,23.0,23.72,24.16,4.78,339.44,4.72
37,38,688039,当虹科技,34.94,-4.85,-1.78,31666,112290818.0,4.47,36.43,34.79,36.16,36.72,2.83,-41.17,3.36
38,39,002195,岩山科技,6.25,-6.02,-0.4,6143851,3892319821.18,4.21,6.53,6.25,6.5,6.65,10.95,628.88,3.63
39,40,688400,凌云光,30.52,-9.17,-3.08,189699,591646610.0,6.61,32.7,30.48,32.21,33.6,7.91,134.45,3.62
