,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603028,赛福天,8.31,10.07,0.76,71252,59210744.0,0.0,8.31,8.31,8.31,7.55,2.48,-64.65,3.58
1,2,300125,ST聆达,8.34,6.92,0.54,257860,208096066.84,6.67,8.35,7.83,8.01,7.8,9.71,-2.94,-14.16
2,3,002306,中科云网,3.4,5.92,0.19,1680859,550148130.78,15.58,3.52,3.02,3.13,3.21,20.67,-57.48,936.1
3,4,300393,中来股份,6.32,2.6,0.16,428697,268164576.22,5.36,6.46,6.13,6.13,6.16,4.49,-17.01,1.74
4,5,300842,帝科股份,54.99,1.66,0.9,116625,635744800.44,4.84,55.79,53.17,54.18,54.09,9.32,21.49,4.62
5,6,300776,帝尔激光,64.04,1.3,0.82,49035,312850790.46,4.16,65.15,62.52,63.17,63.22,2.93,34.26,5.48
6,7,688599,天合光能,17.8,0.74,0.13,292183,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
7,8,603396,金辰股份,28.06,0.36,0.1,35772,100263258.0,3.04,28.45,27.6,27.76,27.96,2.58,42.7,1.52
8,9,688516,奥特维,42.79,0.33,0.14,47100,201068839.0,2.27,43.26,42.29,42.71,42.65,1.62,10.26,3.24
9,10,603331,百达精工,10.35,0.29,0.03,66750,68836635.0,3.68,10.5,10.12,10.29,10.32,3.3,73.25,1.65
10,11,688223,晶科能源,6.94,0.29,0.02,499814,346055786.0,2.02,7.0,6.86,6.88,6.92,0.5,766.9,2.15
11,12,301266,宇邦新材,38.18,0.29,0.11,32116,122490491.0,2.68,38.68,37.66,37.99,38.07,7.41,67.77,2.39
12,13,002865,钧达股份,56.71,0.27,0.15,41875,236741635.8,1.91,57.08,56.0,56.3,56.56,1.86,-21.98,3.34
13,14,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
14,15,002506,协鑫集成,2.54,-0.39,-0.01,943413,241493792.48,2.75,2.59,2.52,2.55,2.55,1.61,136.07,6.02
