,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
1,2,002268,电科网安,17.06,-1.84,-0.32,95738,164676479.0,2.53,17.45,17.01,17.38,17.38,1.13,-50.75,2.74
2,3,002439,启明星辰,17.59,-1.95,-0.35,309157,546286075.98,2.29,17.92,17.51,17.68,17.94,4.27,-76.51,1.87
3,4,300494,盛天网络,12.64,-2.02,-0.26,137422,175031027.96,2.87,12.95,12.58,12.88,12.9,3.45,1901.32,3.64
4,5,002467,二六三,6.08,-2.41,-0.15,479122,293442054.37,2.41,6.22,6.07,6.19,6.23,3.51,97.23,4.44
5,6,688158,优刻得-W,27.47,-2.45,-0.69,409063,1140066803.0,5.15,28.68,27.23,27.86,28.16,10.17,-52.42,5.21
6,7,300352,北信源,5.58,-2.62,-0.15,350601,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
7,8,688030,山石网科,18.2,-2.67,-0.5,17638,32384261.0,3.37,18.74,18.11,18.74,18.7,0.98,-23.87,3.56
8,9,300383,光环新网,17.77,-2.84,-0.52,737375,1323615008.68,3.5,18.35,17.71,18.2,18.29,4.11,66.35,2.52
9,10,300369,绿盟科技,7.85,-2.85,-0.23,138301,109757833.0,2.72,8.06,7.84,8.05,8.08,1.73,-14.43,2.57
10,11,300921,南凌科技,30.0,-2.98,-0.92,48991,147747287.0,3.1,30.81,29.85,30.81,30.92,6.17,515.17,4.87
11,12,300768,迪普科技,19.08,-3.0,-0.59,52095,100446318.35,3.15,19.65,19.03,19.6,19.67,1.24,99.73,3.79
12,13,300311,任子行,6.92,-3.49,-0.25,418358,291834192.19,3.77,7.15,6.88,7.15,7.17,7.78,-39.4,7.44
13,14,300454,深信服,104.48,-3.75,-4.07,74929,794633403.58,3.71,108.5,104.47,107.36,108.55,2.69,223.9,4.81
14,15,002238,天威视讯,9.2,-3.77,-0.36,205566,191973578.76,4.18,9.6,9.2,9.56,9.56,2.56,362.1,3.23
15,16,603019,中科曙光,67.2,-4.08,-2.86,435434,2965430328.0,3.8,69.8,67.14,69.76,70.06,2.99,51.45,4.82
16,17,002212,天融信,8.47,-4.4,-0.39,486695,418159694.3,3.27,8.76,8.47,8.76,8.86,4.17,-44.26,1.08
17,18,601789,宁波建工,6.36,-5.78,-0.39,1144306,743761188.0,4.89,6.68,6.35,6.65,6.75,10.53,23.61,1.57
18,19,600602,云赛智联,24.27,-7.08,-1.85,1086032,2731601648.0,8.69,26.35,24.08,25.83,26.12,10.11,157.63,7.05
19,20,002757,南兴股份,20.61,-7.37,-1.64,304744,645452610.68,7.19,22.18,20.58,21.88,22.25,10.8,22.04,2.56
20,21,688168,安博通,70.5,-8.69,-6.71,35702,258949369.0,8.12,76.65,70.38,76.63,77.21,4.65,-46.5,4.82
