,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301079,邵阳液压,29.06,19.98,4.84,274491.0,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
1,2,301137,哈焊华通,21.9,17.36,3.24,229900.0,489891256.77,17.04,22.39,19.21,19.3,18.66,22.61,176.14,2.99
2,3,301158,德石股份,18.95,11.93,2.02,258624.0,479727389.16,18.49,19.93,16.8,16.88,16.93,17.65,28.68,2.16
3,4,600320,振华重工,4.92,10.07,0.45,1159817.0,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
4,5,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
5,6,002789,建艺集团,10.4,10.05,0.95,326840.0,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
6,7,002278,神开股份,11.29,10.04,1.03,1299283.0,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
7,8,002554,惠博普,2.96,10.04,0.27,1084063.0,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
8,9,601608,中信重工,5.26,10.04,0.48,1713251.0,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
9,10,603280,南方路机,28.0,10.02,2.55,92157.0,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
10,11,601226,华电科工,7.6,9.99,0.69,302414.0,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
11,12,601798,蓝科高新,8.28,9.96,0.75,380708.0,305951438.0,7.97,8.28,7.68,7.72,7.53,10.74,-106.37,2.25
12,13,000852,石化机械,8.29,9.95,0.75,1361530.0,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
13,14,600583,海油工程,6.2,7.27,0.42,3446947.0,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
14,15,300198,纳川股份,2.91,5.43,0.15,3092782.0,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
15,16,001872,招商港口,21.42,5.05,1.03,243955.0,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
16,17,000039,中集集团,9.56,4.71,0.43,1345893.0,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
17,18,002523,天桥起重,4.23,4.7,0.19,1836964.0,765045914.71,9.9,4.39,3.99,4.0,4.04,13.01,255.08,2.59
18,19,600105,永鼎股份,6.18,4.57,0.27,2003783.0,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
19,20,300208,*ST中程,2.29,4.57,0.1,299727.0,68210999.8,11.42,2.39,2.14,2.19,2.19,4.36,-9.75,-3.58
20,21,605598,上海港湾,22.87,4.33,0.95,76207.0,173012475.0,6.11,23.04,21.7,21.79,21.92,3.14,38.72,3.03
21,22,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
22,23,001379,腾达科技,24.88,4.01,0.96,180802.0,452289687.89,12.21,26.31,23.39,23.51,23.92,26.87,64.82,3.43
23,24,601808,中海油服,15.53,3.95,0.59,499918.0,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
24,25,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
25,26,603131,上海沪工,20.75,3.54,0.71,312022.0,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
26,27,000796,凯撒旅业,4.21,3.44,0.14,1318817.0,551308552.69,5.41,4.25,4.03,4.03,4.07,9.91,-278.87,7.86
27,28,300001,特锐德,25.19,3.32,0.81,481349.0,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
28,29,603727,博迈科,15.55,3.25,0.49,242611.0,378325920.0,7.7,16.28,15.12,15.6,15.06,8.61,43.57,1.36
29,30,300177,中海达,12.8,3.23,0.4,1456461.0,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
30,31,600487,亨通光电,17.59,3.23,0.55,2108044.0,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
31,32,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
32,33,601106,中国一重,2.91,3.19,0.09,1212958.0,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
33,34,002478,常宝股份,5.57,3.15,0.17,475708.0,263519731.44,4.63,5.63,5.38,5.39,5.4,6.61,9.15,0.93
34,35,002353,杰瑞股份,36.86,3.1,1.11,169898.0,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
35,36,001317,三羊马,33.51,3.04,0.99,60246.0,200776897.85,7.38,34.7,32.3,32.3,32.52,14.35,173.26,3.31
36,37,002080,中材科技,15.23,3.04,0.45,410748.0,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
37,38,000610,西安旅游,13.58,3.03,0.4,195057.0,259842023.38,5.31,13.69,12.99,13.16,13.18,8.28,-27.77,7.84
38,39,601989,中国重工,4.51,2.97,0.13,4213906.0,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
39,40,301027,华蓝集团,14.41,2.86,0.4,38179.0,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
40,41,600150,中国船舶,32.43,2.69,0.85,1254887.0,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
41,42,601020,华钰矿业,25.55,2.61,0.65,1193964.0,3031558365.0,4.58,26.03,24.89,24.96,24.9,14.56,102.72,6.41
42,43,600764,中国海防,31.64,2.56,0.79,371930.0,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
43,44,833171,国航远洋,8.5,2.53,0.21,691984.0,604715884.62,14.23,9.38,8.2,8.3,8.29,24.12,154.55,3.44
44,45,601399,国机重装,3.07,2.33,0.07,1082690.0,335052606.0,5.33,3.16,3.0,3.01,3.0,1.5,40.08,1.55
45,46,002104,恒宝股份,7.49,2.32,0.17,504093.0,372042829.56,6.28,7.58,7.12,7.25,7.32,8.41,43.49,2.49
46,47,000507,珠海港,5.39,2.28,0.12,530619.0,284622124.9,3.61,5.44,5.25,5.25,5.27,5.88,15.57,0.94
47,48,000928,中钢国际,6.91,2.22,0.15,568391.0,394292281.43,5.18,7.09,6.74,6.74,6.76,3.96,12.26,1.19
48,49,600282,南钢股份,4.72,2.16,0.1,721608.0,345210086.0,4.76,4.85,4.63,4.65,4.62,1.17,12.87,1.12
49,50,600339,中油工程,3.45,2.07,0.07,896822.0,309690017.0,3.85,3.5,3.37,3.38,3.38,1.61,22.85,0.73
50,51,002207,准油股份,6.1,2.01,0.12,201270.0,123515448.12,5.85,6.3,5.95,5.95,5.98,7.72,-79.26,23.54
51,52,300971,博亚精工,27.28,1.94,0.52,182371.0,504679048.92,10.13,28.77,26.06,26.45,26.76,27.73,47.54,2.31
52,53,300712,永福股份,26.37,1.93,0.5,83520.0,221165766.99,3.25,26.74,25.9,26.06,25.87,4.48,110.41,3.82
53,54,300011,鼎汉技术,9.17,1.89,0.17,400742.0,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
54,55,300070,碧水源,4.85,1.89,0.09,677300.0,331434095.53,4.41,4.99,4.78,4.78,4.76,1.97,-306.98,0.65
55,56,002129,TCL中环,9.32,1.86,0.17,1377266.0,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
56,57,600019,宝钢股份,7.51,1.76,0.13,936612.0,703466052.0,2.17,7.54,7.38,7.38,7.38,0.43,20.98,0.83
57,58,603815,交建股份,6.96,1.75,0.12,156242.0,108851609.0,3.51,7.07,6.83,6.83,6.84,2.52,32.16,1.85
58,59,002110,三钢闽光,4.39,1.62,0.07,389152.0,172218771.08,5.56,4.5,4.26,4.3,4.32,1.6,-6.02,0.56
