,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600689,上海三毛,13.1,5.14,0.64,156874,201320894.0,9.55,13.36,12.17,12.36,12.46,10.31,120.88,5.73
1,2,600619,海立股份,13.29,1.37,0.18,464562,614088347.0,4.81,13.46,12.83,12.97,13.11,5.89,471.08,2.34
2,3,600018,上港集团,5.63,0.54,0.03,516429,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
3,4,600648,外高桥,12.28,0.41,0.05,41264,50532730.0,1.31,12.33,12.17,12.2,12.23,0.44,14.65,1.07
4,5,600822,上海物贸,9.97,0.2,0.02,76568,76108907.0,1.71,10.02,9.85,9.9,9.95,1.93,81.0,4.11
5,6,600639,浦东金桥,11.17,0.0,0.0,38643,43241373.0,1.34,11.26,11.11,11.19,11.17,0.45,12.51,0.86
6,7,600009,上海机场,32.37,-0.34,-0.11,90071,292947041.0,1.45,32.77,32.3,32.49,32.48,0.47,50.28,1.98
7,8,603329,上海雅仕,13.7,-0.51,-0.07,22938,31419988.0,2.03,13.86,13.58,13.81,13.77,1.44,50.3,1.96
8,9,603128,华贸物流,5.81,-0.51,-0.03,229919,134458661.0,1.88,5.9,5.79,5.83,5.84,1.76,12.08,1.26
9,10,600708,光明地产,3.65,-0.54,-0.02,524947,191958194.0,4.09,3.74,3.59,3.64,3.67,2.36,-16.24,0.78
10,11,600284,浦东建设,6.72,-0.59,-0.04,112293,75824478.0,1.78,6.81,6.69,6.76,6.76,1.16,10.99,0.84
11,12,600278,东方创业,6.73,-0.59,-0.04,49815,33673956.0,1.92,6.83,6.7,6.79,6.77,0.57,23.58,0.78
12,13,603189,网达软件,19.12,-0.62,-0.12,311815,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
13,14,603648,畅联股份,10.04,-0.69,-0.07,56271,56778496.0,3.07,10.27,9.96,10.11,10.11,1.55,27.8,1.97
14,15,600630,龙头股份,9.22,-0.75,-0.07,110381,101974124.0,1.72,9.32,9.16,9.25,9.29,2.6,77.8,5.2
15,16,600826,兰生股份,7.98,-0.87,-0.07,54199,43463235.0,2.24,8.13,7.95,8.06,8.05,0.74,21.75,1.51
16,17,600663,陆家嘴,8.7,-0.91,-0.08,68834,60299706.0,1.82,8.84,8.68,8.77,8.78,0.22,29.06,1.78
17,18,600626,申达股份,3.93,-1.01,-0.04,292438,116157092.0,6.3,4.16,3.91,4.08,3.97,2.64,-73.14,1.65
18,19,600848,上海临港,9.6,-1.03,-0.1,130784,126495876.0,2.47,9.8,9.56,9.69,9.7,0.55,29.37,1.3
19,20,600637,东方明珠,7.82,-1.14,-0.09,283398,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
20,21,600748,上实发展,3.35,-1.18,-0.04,85536,28785031.0,2.36,3.41,3.33,3.39,3.39,0.46,-21.21,0.56
21,22,300999,金龙鱼,31.56,-1.22,-0.39,73894,235096940.34,2.07,32.19,31.53,31.83,31.95,1.36,68.39,1.83
22,23,600651,飞乐音响,4.47,-1.54,-0.07,253007,113110927.0,2.64,4.54,4.42,4.53,4.54,1.01,331.93,4.59
23,24,600119,长江投资,7.36,-1.6,-0.12,57424,42513747.0,2.27,7.5,7.33,7.45,7.48,1.57,-72.07,15.08
24,25,600104,上汽集团,15.32,-1.73,-0.27,376165,580088801.0,1.92,15.61,15.31,15.55,15.59,0.32,19.25,0.61
25,26,600895,张江高科,25.27,-2.05,-0.53,183403,467226942.0,2.6,25.87,25.2,25.73,25.8,1.18,40.3,2.65
26,27,688521,芯原股份,95.25,-2.35,-2.29,179270,1706600332.0,7.3,99.8,92.68,96.79,97.54,3.59,-78.82,22.32
27,28,688202,美迪西,33.29,-2.66,-0.91,25411,85416753.0,4.12,34.58,33.17,34.2,34.2,1.89,-14.19,2.08
28,29,600676,交运股份,4.31,-2.71,-0.12,125272,54355486.0,3.16,4.42,4.28,4.4,4.43,1.22,-14.77,0.83
29,30,600650,锦江在线,14.56,-3.26,-0.49,81645,120022145.0,2.66,14.96,14.56,14.85,15.05,2.09,36.79,2.0
30,31,688063,派能科技,41.52,-4.86,-2.12,68916,291207632.0,5.45,43.74,41.36,43.41,43.64,2.81,248.35,1.11
31,32,603009,北特科技,44.0,-5.07,-2.35,169145,749471820.0,4.75,45.9,43.7,45.6,46.35,5.0,208.51,9.01
32,33,603068,博通集成,36.33,-6.68,-2.6,102625,380252715.0,6.47,38.53,36.01,38.45,38.93,6.82,-120.35,3.28
