,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,600797,浙大网新,14.15,4.04,0.55,4145789,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
2,3,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
3,4,603985,恒润股份,15.31,3.45,0.51,398200,610552025.0,7.64,15.78,14.65,14.66,14.8,9.03,-68.7,2.06
4,5,300846,首都在线,30.45,3.22,0.95,1505927,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
5,6,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
6,7,300933,中辰股份,8.16,1.75,0.14,468626,382523368.56,7.73,8.48,7.86,8.01,8.02,10.06,59.8,2.44
7,8,300249,依米康,18.48,1.65,0.3,373617,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
8,9,002822,ST中装,3.58,1.42,0.05,80447,28459181.43,3.68,3.6,3.47,3.52,3.53,1.47,-2.48,1.38
9,10,603912,佳力图,10.92,1.2,0.13,671924,728482848.0,5.47,11.16,10.57,10.65,10.79,12.4,164.99,3.22
10,11,601868,中国能建,2.31,0.43,0.01,3681949,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
11,12,000719,中原传媒,10.89,0.37,0.04,67991,73781537.17,1.47,10.92,10.76,10.85,10.85,1.02,16.44,1.01
12,13,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
13,14,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
14,15,000070,ST特信,6.16,-0.48,-0.03,94814,58476456.44,1.45,6.22,6.13,6.18,6.19,1.07,940.25,2.9
15,16,002837,英维克,44.15,-1.19,-0.53,174678,770935924.45,2.98,44.89,43.56,44.64,44.68,2.7,69.82,11.77
16,17,000811,冰轮环境,12.81,-1.46,-0.19,263742,335481132.74,3.92,12.99,12.48,12.99,13.0,3.54,15.48,1.68
17,18,600996,贵广网络,9.87,-1.69,-0.17,252271,250838389.0,4.68,10.24,9.77,10.07,10.04,2.02,-13.58,3.48
18,19,000815,美利云,15.2,-1.81,-0.28,1289107,1990699611.8,9.04,16.15,14.75,15.27,15.48,18.54,-19.27,8.02
19,20,002929,润建股份,58.6,-2.35,-1.41,164637,972260205.34,5.58,60.35,57.0,59.48,60.01,7.72,42.76,2.66
20,21,300738,奥飞数据,24.28,-2.41,-0.6,961812,2372799117.02,4.94,25.33,24.1,24.51,24.88,9.84,168.02,7.16
21,22,300442,润泽科技,60.49,-2.44,-1.51,224826,1377064976.8,3.87,62.61,60.21,62.56,62.0,4.06,51.59,11.06
22,23,688158,优刻得-W,27.47,-2.45,-0.69,409063,1140066803.0,5.15,28.68,27.23,27.86,28.16,10.17,-52.42,5.21
23,24,002335,科华数据,48.19,-2.59,-1.28,394785,1922296000.44,3.74,49.84,47.99,49.3,49.47,9.85,70.07,3.95
24,25,301018,申菱环境,43.23,-2.7,-1.2,73989,320921074.0,3.87,44.43,42.71,43.87,44.43,3.72,60.38,4.48
25,26,600633,浙数文化,14.14,-2.82,-0.41,485955,698095785.0,4.05,14.73,14.14,14.4,14.55,3.83,28.33,1.79
26,27,300214,日科化学,6.87,-2.83,-0.2,237682,164506018.84,3.54,7.06,6.81,7.03,7.07,5.89,-45.8,1.3
27,28,300383,光环新网,17.77,-2.84,-0.52,737375,1323615008.68,3.5,18.35,17.71,18.2,18.29,4.11,66.35,2.52
28,29,000977,浪潮信息,56.63,-2.86,-1.67,443668,2536951292.44,2.88,58.18,56.5,57.88,58.3,3.02,48.31,4.43
29,30,300921,南凌科技,30.0,-2.98,-0.92,48991,147747287.0,3.1,30.81,29.85,30.81,30.92,6.17,515.17,4.87
30,31,600845,宝信软件,30.38,-3.28,-1.03,251649,775186236.0,3.31,31.39,30.35,31.23,31.41,1.18,34.04,7.86
31,32,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
32,33,603138,海量数据,15.23,-3.3,-0.52,61813,95195036.0,3.43,15.74,15.2,15.6,15.75,2.18,-77.13,5.43
33,34,300212,易华录,25.45,-3.38,-0.89,172658,445232351.16,3.49,26.32,25.4,26.23,26.34,2.47,-22.42,6.14
34,35,600405,动力源,5.52,-3.5,-0.2,316214,176127583.0,3.5,5.7,5.5,5.66,5.72,5.72,-16.17,5.45
35,36,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
36,37,600666,奥瑞德,3.12,-3.7,-0.12,1217416,382231890.0,3.7,3.22,3.1,3.2,3.24,5.03,-234.96,8.77
37,38,002642,荣联科技,9.34,-3.71,-0.36,1487184,1418264380.59,5.67,9.86,9.31,9.83,9.7,22.51,442.34,5.37
38,39,603825,华扬联众,13.58,-3.96,-0.56,117711,162019698.0,3.11,14.02,13.58,13.99,14.14,4.65,-11.47,4.63
39,40,000938,紫光股份,27.53,-4.04,-1.16,855241,2385725839.43,4.08,28.55,27.38,28.39,28.69,2.99,37.34,5.83
40,41,603019,中科曙光,67.2,-4.08,-2.86,435434,2965430328.0,3.8,69.8,67.14,69.76,70.06,2.99,51.45,4.82
41,42,300663,科蓝软件,17.08,-4.58,-0.82,234006,405883055.16,4.41,17.86,17.07,17.8,17.9,5.46,-900.28,6.4
42,43,300229,拓尔思,23.02,-4.72,-1.14,379566,887291337.37,3.93,23.95,23.0,23.72,24.16,4.78,339.44,4.72
43,44,688023,安恒信息,58.26,-4.87,-2.98,30432,180527296.0,3.97,60.63,58.2,60.63,61.24,2.98,-32.96,2.35
44,45,002197,ST证通,5.67,-5.03,-0.3,319286,183704006.46,4.69,5.95,5.67,5.92,5.97,5.98,-45.98,1.44
45,46,300287,飞利信,6.89,-5.1,-0.37,1295274,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
46,47,301202,朗威股份,46.9,-5.44,-2.7,40073,191479161.0,4.86,49.31,46.9,49.0,49.6,10.78,86.31,5.4
47,48,601789,宁波建工,6.36,-5.78,-0.39,1144306,743761188.0,4.89,6.68,6.35,6.65,6.75,10.53,23.61,1.57
48,49,837092,汉鑫科技,44.86,-5.8,-2.76,22582,102622553.89,6.93,47.4,44.1,47.4,47.62,7.07,135.62,7.04
49,50,688225,亚信安全,25.93,-6.42,-1.78,104569,272079044.0,6.68,27.3,25.45,27.3,27.71,5.0,1102.73,4.81
50,51,872808,曙光数创,63.3,-6.46,-4.37,39506,255168850.08,5.56,67.01,63.25,66.6,67.67,2.03,206.11,17.48
51,52,839493,并行科技,182.19,-6.62,-12.91,47592,879033545.22,3.89,189.58,182.0,188.0,195.1,14.67,690.16,30.4
52,53,300603,立昂技术,13.32,-6.85,-0.98,445442,605867152.05,4.83,14.01,13.32,13.95,14.3,12.02,840.31,4.29
53,54,300605,恒锋信息,15.34,-7.2,-1.19,138273,218504150.84,8.59,16.67,15.25,16.35,16.53,12.16,-76.9,4.77
54,55,002757,南兴股份,20.61,-7.37,-1.64,304744,645452610.68,7.19,22.18,20.58,21.88,22.25,10.8,22.04,2.56
55,56,002042,华孚时尚,6.53,-8.29,-0.59,905576,607760171.38,8.15,7.08,6.5,7.06,7.12,5.32,174.33,1.85
56,57,603881,数据港,37.35,-8.5,-3.47,791608,3048668724.0,8.16,40.07,36.74,39.5,40.82,13.22,169.15,6.93
57,58,002261,拓维信息,32.04,-8.98,-3.16,1949373,6482619142.92,7.24,34.43,31.88,34.43,35.2,17.29,2740.61,15.5
