,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600301,华锡有色,25.14,2.07,0.51,254580,640079494.0,4.34,25.58,24.51,24.76,24.63,9.25,22.07,4.1
1,2,600236,桂冠电力,6.47,1.73,0.11,205438,132317923.0,2.2,6.48,6.34,6.35,6.36,0.26,17.67,3.0
2,3,600368,五洲交通,4.36,0.69,0.03,377806,164497930.0,3.0,4.42,4.29,4.33,4.33,2.35,9.29,1.04
3,4,000978,桂林旅游,6.49,-0.15,-0.01,78667,50907571.0,2.15,6.54,6.4,6.47,6.5,2.18,185.4,2.31
4,5,603558,健盛集团,10.32,-0.39,-0.04,45677,47165253.0,2.41,10.46,10.21,10.4,10.36,1.29,10.39,1.49
5,6,000911,广农糖业,7.34,-0.41,-0.03,45391,33382285.33,2.04,7.42,7.27,7.35,7.37,1.13,-80.69,42.14
6,7,000582,北部湾港,8.4,-0.59,-0.05,153173,129123812.8,1.89,8.51,8.35,8.41,8.45,0.87,15.69,1.09
7,8,601339,百隆东方,5.38,-0.74,-0.04,72244,39080080.0,1.85,5.47,5.37,5.4,5.42,0.48,14.66,0.83
8,9,603869,ST智知,6.1,-1.29,-0.08,23130,14155414.0,3.72,6.23,6.0,6.18,6.18,0.46,117.09,0.82
9,10,603535,嘉诚国际,13.01,-1.89,-0.25,37171,48726034.0,2.41,13.28,12.96,13.22,13.26,1.15,21.94,1.79
10,11,601058,赛轮轮胎,14.71,-2.13,-0.32,331806,492333698.0,2.66,15.06,14.66,15.01,15.03,1.01,11.18,2.54
11,12,600712,南宁百货,5.88,-3.61,-0.22,188526,112101467.0,3.77,6.08,5.85,6.07,6.1,3.5,426.47,3.84
12,13,002042,华孚时尚,6.53,-8.29,-0.59,905576,607760171.38,8.15,7.08,6.5,7.06,7.12,5.32,174.33,1.85
