,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002401,中远海科,20.79,4.79,0.95,714820,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
1,2,002057,中钢天源,8.82,3.76,0.32,696511,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
2,3,600482,中国动力,23.4,3.54,0.8,616091,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
3,4,601106,中国一重,2.91,3.19,0.09,1212958,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
4,5,002080,中材科技,15.23,3.04,0.45,410748,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
5,6,601989,中国重工,4.51,2.97,0.13,4213906,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
6,7,600150,中国船舶,32.43,2.69,0.85,1254887,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
7,8,600764,中国海防,31.64,2.56,0.79,371930,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
8,9,600685,中船防务,24.89,2.47,0.6,377715,942595299.0,4.36,25.3,24.24,24.39,24.29,4.6,140.91,1.89
9,10,000928,中钢国际,6.91,2.22,0.15,568391,394292281.43,5.18,7.09,6.74,6.74,6.76,3.96,12.26,1.19
10,11,600339,中油工程,3.45,2.07,0.07,896822,309690017.0,3.85,3.5,3.37,3.38,3.38,1.61,22.85,0.73
11,12,601068,中铝国际,4.48,1.59,0.07,182617,81444612.0,2.27,4.49,4.39,4.39,4.41,0.71,39.94,5.45
12,13,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
13,14,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
14,15,300847,中船汉光,18.29,1.39,0.25,138228,254751869.5,5.32,18.77,17.81,17.86,18.04,4.67,42.69,3.91
15,16,600428,中远海特,6.92,1.02,0.07,735574,511379585.0,4.23,7.11,6.82,6.83,6.85,3.43,11.85,1.22
16,17,600720,中交设计,8.77,0.92,0.08,95372,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
17,18,601117,中国化学,7.51,0.67,0.05,764415,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
18,19,000951,中国重汽,19.45,0.67,0.13,159618,311863453.17,3.73,19.9,19.18,19.26,19.32,1.36,18.35,1.55
19,20,002051,中工国际,8.56,0.59,0.05,275355,237300462.5,3.64,8.78,8.47,8.51,8.51,2.23,29.37,0.93
20,21,001213,中铁特货,4.07,0.49,0.02,221255,90147543.8,1.73,4.11,4.04,4.04,4.05,0.5,23.68,0.95
21,22,601868,中国能建,2.31,0.43,0.01,3681949,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
22,23,600138,中青旅,10.66,0.38,0.04,177381,188079221.0,1.88,10.7,10.5,10.58,10.62,2.45,37.81,1.22
23,24,000927,中国铁物,2.62,0.38,0.01,612817,160946846.69,1.92,2.65,2.6,2.61,2.61,1.01,27.19,1.7
24,25,300425,中建环能,5.41,0.37,0.02,237900,129232045.14,2.41,5.49,5.36,5.36,5.39,3.51,118.23,1.6
25,26,601618,中国中冶,3.15,0.32,0.01,1254156,397433242.0,2.23,3.2,3.13,3.14,3.14,0.7,7.17,0.64
26,27,600970,中材国际,9.94,0.3,0.03,328149,327547058.0,2.12,10.09,9.88,9.9,9.91,1.47,9.56,1.3
27,28,002116,中国海诚,10.43,0.29,0.03,88202,92414680.4,2.02,10.57,10.36,10.38,10.4,1.93,14.46,1.91
28,29,000881,中广核技,7.26,0.28,0.02,157528,114867638.6,3.45,7.41,7.16,7.17,7.24,1.99,-38.31,1.26
29,30,600938,中国海油,26.08,0.23,0.06,585483,1539518976.0,2.0,26.53,26.01,26.15,26.02,2.06,7.97,1.72
30,31,601728,中国电信,7.52,0.13,0.01,1163395,879850480.0,1.86,7.62,7.48,7.51,7.51,0.15,17.62,1.53
31,32,600328,中盐化工,7.62,0.13,0.01,164244,125436682.0,1.84,7.7,7.56,7.6,7.61,1.12,14.65,0.94
32,33,601857,中国石油,7.96,0.13,0.01,2092425,1679500175.0,1.89,8.09,7.94,7.98,7.95,0.13,8.25,0.98
33,34,601800,中国交建,9.39,0.11,0.01,466042,439734004.0,1.92,9.53,9.35,9.35,9.38,0.4,7.04,0.54
34,35,601668,中国建筑,5.45,0.0,0.0,2061461,1126388442.0,1.47,5.51,5.43,5.45,5.45,0.5,4.25,0.5
35,36,601598,中国外运,5.08,0.0,0.0,247056,126326616.0,1.57,5.15,5.07,5.08,5.08,0.47,9.84,0.96
36,37,600050,中国联通,5.7,-0.18,-0.01,5022475,2856257924.0,2.28,5.75,5.62,5.7,5.71,1.63,19.74,1.08
37,38,601985,中国核电,9.4,-0.21,-0.02,1201882,1128961435.0,1.59,9.48,9.33,9.41,9.42,0.64,16.23,1.77
38,39,003816,中国广核,3.65,-0.27,-0.01,2053173,755506791.3,1.64,3.71,3.65,3.66,3.66,0.52,13.85,1.56
39,40,601088,中国神华,36.62,-0.35,-0.13,292942,1079586881.0,1.44,37.15,36.62,36.62,36.75,0.18,12.4,1.7
40,41,000930,中粮科技,5.58,-0.36,-0.02,182100,102325941.56,2.5,5.69,5.55,5.6,5.6,0.98,810.3,0.99
41,42,600737,中粮糖业,9.61,-0.41,-0.04,162573,157033607.0,1.97,9.75,9.56,9.63,9.65,0.76,13.26,1.87
