,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,001872,招商港口,21.42,5.05,1.03,243955,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
1,2,601989,中国重工,4.51,2.97,0.13,4213906,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
2,3,600150,中国船舶,32.43,2.69,0.85,1254887,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
3,4,600685,中船防务,24.89,2.47,0.6,377715,942595299.0,4.36,25.3,24.24,24.39,24.29,4.6,140.91,1.89
4,5,600339,中油工程,3.45,2.07,0.07,896822,309690017.0,3.85,3.5,3.37,3.38,3.38,1.61,22.85,0.73
5,6,600019,宝钢股份,7.51,1.76,0.13,936612,703466052.0,2.17,7.54,7.38,7.38,7.38,0.43,20.98,0.83
6,7,000898,鞍钢股份,2.53,1.61,0.04,688256,175169106.48,3.61,2.57,2.48,2.48,2.49,0.86,-3.5,0.48
7,8,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
8,9,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
9,10,688425,铁建重工,4.37,1.39,0.06,604774,265915480.0,4.18,4.47,4.29,4.29,4.31,4.09,15.46,1.33
10,11,600886,国投电力,14.41,1.26,0.18,601380,864788101.0,1.83,14.46,14.2,14.2,14.23,0.81,13.15,1.82
11,12,600582,天地科技,6.53,1.08,0.07,808618,525787407.0,2.32,6.57,6.42,6.5,6.46,1.95,10.31,1.11
12,13,600720,中交设计,8.77,0.92,0.08,95372,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
13,14,601866,中远海发,2.42,0.83,0.02,1208997,294307683.0,2.92,2.46,2.39,2.4,2.4,1.22,17.84,1.09
14,15,601006,大秦铁路,6.46,0.78,0.05,1033672,665713057.0,1.09,6.47,6.4,6.42,6.41,0.51,11.35,0.79
15,16,601117,中国化学,7.51,0.67,0.05,764415,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
16,17,601868,中国能建,2.31,0.43,0.01,3681949,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
17,18,002128,电投能源,19.14,0.37,0.07,94557,180706452.69,1.21,19.23,19.0,19.0,19.07,0.42,7.31,1.26
18,19,601618,中国中冶,3.15,0.32,0.01,1254156,397433242.0,2.23,3.2,3.13,3.14,3.14,0.7,7.17,0.64
19,20,600970,中材国际,9.94,0.3,0.03,328149,327547058.0,2.12,10.09,9.88,9.9,9.91,1.47,9.56,1.3
20,21,000778,新兴铸管,3.59,0.28,0.01,512387,184997666.28,1.96,3.64,3.57,3.57,3.58,1.32,22.07,0.55
21,22,600938,中国海油,26.08,0.23,0.06,585483,1539518976.0,2.0,26.53,26.01,26.15,26.02,2.06,7.97,1.72
22,23,601728,中国电信,7.52,0.13,0.01,1163395,879850480.0,1.86,7.62,7.48,7.51,7.51,0.15,17.62,1.53
23,24,601857,中国石油,7.96,0.13,0.01,2092425,1679500175.0,1.89,8.09,7.94,7.98,7.95,0.13,8.25,0.98
24,25,601800,中国交建,9.39,0.11,0.01,466042,439734004.0,1.92,9.53,9.35,9.35,9.38,0.4,7.04,0.54
25,26,000059,华锦股份,4.73,0.0,0.0,133820,63561385.0,1.9,4.79,4.7,4.71,4.73,0.84,-3.0,0.61
26,27,000877,天山股份,5.73,0.0,0.0,111052,64170988.2,2.44,5.85,5.71,5.73,5.73,0.61,-8.15,0.51
27,28,601598,中国外运,5.08,0.0,0.0,247056,126326616.0,1.57,5.15,5.07,5.08,5.08,0.47,9.84,0.96
28,29,601668,中国建筑,5.45,0.0,0.0,2061461,1126388442.0,1.47,5.51,5.43,5.45,5.45,0.5,4.25,0.5
29,30,600011,华能国际,6.93,0.0,0.0,600141,417966179.0,2.16,7.03,6.88,6.93,6.93,0.55,7.84,1.87
30,31,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
31,32,600050,中国联通,5.7,-0.18,-0.01,5022475,2856257924.0,2.28,5.75,5.62,5.7,5.71,1.63,19.74,1.08
32,33,601985,中国核电,9.4,-0.21,-0.02,1201882,1128961435.0,1.59,9.48,9.33,9.41,9.42,0.64,16.23,1.77
33,34,001965,招商公路,12.88,-0.23,-0.03,186724,241019521.36,3.18,13.16,12.75,12.98,12.91,0.27,15.84,1.36
34,35,003816,中国广核,3.65,-0.27,-0.01,2053173,755506791.3,1.64,3.71,3.65,3.66,3.66,0.52,13.85,1.56
35,36,601328,交通银行,7.21,-0.28,-0.02,1325789,958606984.0,0.69,7.26,7.21,7.24,7.23,0.34,5.72,0.55
36,37,601916,浙商银行,2.93,-0.34,-0.01,1383086,406729172.0,1.36,2.96,2.92,2.94,2.94,0.64,4.68,0.47
37,38,601088,中国神华,36.62,-0.35,-0.13,292942,1079586881.0,1.44,37.15,36.62,36.62,36.75,0.18,12.4,1.7
38,39,601319,中国人保,6.87,-0.43,-0.03,575427,398235190.0,2.46,7.01,6.84,6.92,6.9,0.16,6.27,1.14
39,40,601939,建设银行,8.49,-0.59,-0.05,808683,687414983.0,1.41,8.57,8.45,8.54,8.54,0.84,6.22,0.68
40,41,601179,中国西电,6.66,-0.6,-0.04,764841,514902488.0,2.84,6.82,6.63,6.69,6.7,1.49,32.54,1.57
41,42,600688,上海石化,3.33,-0.6,-0.02,378607,126987320.0,2.39,3.4,3.32,3.33,3.35,0.52,111.3,1.41
42,43,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
43,44,601669,中国电建,4.89,-0.61,-0.03,1167222,575708816.0,1.83,4.98,4.89,4.91,4.92,0.89,7.17,0.62
44,45,600025,华能水电,8.78,-0.68,-0.06,213852,188780192.0,1.7,8.9,8.75,8.85,8.84,0.12,16.4,2.73
45,46,601816,京沪高铁,5.52,-0.72,-0.04,1236758,687688568.0,1.98,5.62,5.51,5.55,5.56,0.25,20.3,1.36
46,47,601186,中国铁建,8.26,-0.72,-0.06,491397,409638383.0,1.8,8.41,8.26,8.31,8.32,0.43,5.36,0.43
47,48,601658,邮储银行,5.33,-0.74,-0.04,1505070,806587288.0,1.49,5.4,5.32,5.36,5.37,0.22,5.23,0.65
48,49,601898,中煤能源,10.23,-0.78,-0.08,362937,373144238.0,1.65,10.39,10.22,10.26,10.31,0.4,7.02,0.89
49,50,600028,中国石化,5.81,-0.85,-0.05,1530583,899008888.0,2.05,5.93,5.81,5.86,5.86,0.16,11.94,0.86
50,51,601390,中国中铁,5.83,-0.85,-0.05,944041,555990362.0,2.04,5.95,5.83,5.87,5.88,0.46,5.26,0.49
51,52,000028,国药一致,26.04,-0.88,-0.23,32326,84682396.34,1.98,26.45,25.93,26.29,26.27,0.68,22.56,0.82
52,53,601698,中国卫通,20.33,-0.88,-0.18,345704,709113311.0,2.54,20.83,20.31,20.4,20.51,0.82,133.95,5.48
53,54,000617,中油资本,6.47,-0.92,-0.06,533151,346768303.0,2.14,6.57,6.43,6.52,6.53,0.42,14.13,0.81
54,55,601288,农业银行,5.09,-0.97,-0.05,3336367,1704161131.0,1.36,5.15,5.08,5.14,5.14,0.1,6.23,0.71
55,56,601611,中国核建,8.9,-1.0,-0.09,282389,253745613.0,2.45,9.09,8.87,8.92,8.99,0.94,13.82,1.34
56,57,688009,中国通号,5.61,-1.06,-0.06,365166,207122840.0,2.29,5.74,5.61,5.66,5.67,0.42,17.04,1.24
57,58,002916,深南电路,131.05,-1.08,-1.43,78778,1033946831.81,2.77,133.48,129.81,132.22,132.48,1.54,35.8,4.6
58,59,601766,中国中车,7.31,-1.08,-0.08,1062430,784927731.0,2.98,7.52,7.3,7.37,7.39,0.44,21.72,1.28
59,60,601988,中国银行,5.36,-1.11,-0.06,1592606,857626317.0,1.66,5.44,5.35,5.41,5.42,0.08,6.73,0.68
60,61,600131,国网信通,19.47,-1.12,-0.22,118399,230230995.0,2.39,19.7,19.23,19.62,19.69,0.99,58.88,3.67
61,62,601398,工商银行,6.76,-1.17,-0.08,3087991,2096634446.0,1.46,6.85,6.75,6.82,6.84,0.11,6.72,0.68
62,63,601919,中远海控,14.26,-1.31,-0.19,781452,1122281155.0,2.35,14.54,14.2,14.4,14.45,0.61,4.64,0.97
63,64,600511,国药股份,30.19,-1.34,-0.41,51112,155149253.0,2.12,30.79,30.14,30.61,30.6,0.92,11.39,1.33
64,65,600406,国电南瑞,22.15,-1.51,-0.34,370082,826761565.0,2.31,22.67,22.15,22.44,22.49,0.46,29.83,3.86
65,66,601818,光大银行,3.84,-1.54,-0.06,1167120,450049856.0,2.31,3.91,3.82,3.89,3.9,0.25,4.43,0.48
66,67,600271,航天信息,9.24,-1.7,-0.16,126345,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
67,68,002415,海康威视,31.33,-1.76,-0.56,355063,1118983882.67,2.13,31.94,31.26,31.85,31.89,0.39,24.19,3.59
68,69,688396,华润微,45.79,-2.05,-0.96,60870,280656440.0,2.33,46.8,45.71,46.5,46.75,0.46,78.35,2.71
69,70,601600,中国铝业,7.58,-2.07,-0.16,1000017,767152698.0,2.97,7.79,7.56,7.71,7.74,0.76,10.82,1.96
70,71,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
71,72,600850,电科数字,25.13,-2.22,-0.57,105008,266409356.0,2.61,25.77,25.1,25.58,25.7,1.71,42.76,3.74
72,73,601881,中国银河,17.18,-2.55,-0.45,1529644,2687201823.0,4.54,17.96,17.16,17.5,17.63,2.11,18.54,1.34
73,74,002368,太极股份,25.64,-2.55,-0.67,119727,309485436.31,2.77,26.29,25.56,26.06,26.31,1.93,-423.83,3.18
74,75,601998,中信银行,7.21,-2.96,-0.22,1395564,1017866366.0,3.77,7.49,7.21,7.43,7.43,0.34,5.85,0.5
75,76,600498,烽火通信,23.14,-3.02,-0.72,347682,811334834.0,2.81,23.71,23.04,23.61,23.86,2.98,52.24,2.16
76,77,600845,宝信软件,30.38,-3.28,-1.03,251649,775186236.0,3.31,31.39,30.35,31.23,31.41,1.18,34.04,7.86
77,78,000761,本钢板材,4.02,-3.37,-0.14,574493,235542162.68,5.05,4.23,4.02,4.19,4.16,1.55,-3.86,1.28
78,79,000066,中国长城,15.05,-3.53,-0.55,715146,1088867828.68,2.69,15.47,15.05,15.42,15.6,2.22,-52.95,4.04
79,80,600489,中金黄金,13.27,-3.63,-0.5,834666,1120323846.0,4.58,13.83,13.2,13.75,13.77,1.72,18.25,2.41
80,81,603019,中科曙光,67.2,-4.08,-2.86,435434,2965430328.0,3.8,69.8,67.14,69.76,70.06,2.99,51.45,4.82
81,82,000032,深桑达Ａ,23.65,-4.6,-1.14,419792,1009010567.08,4.48,24.7,23.59,24.4,24.79,6.51,-159.42,4.44
