,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688206,概伦电子,25.03,4.29,1.03,188349.0,465155713.0,7.88,25.5,23.61,24.21,24.0,10.63,-113.98,5.56
1,2,688120,华海清科,163.86,1.86,2.99,42857.0,700330864.0,2.93,165.23,160.51,160.85,160.87,2.52,38.01,6.0
2,3,002129,TCL中环,9.32,1.86,0.17,1377266.0,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
3,4,688037,芯源微,98.56,1.71,1.66,101250.0,999963742.0,7.3,102.08,95.01,97.94,96.9,5.04,93.92,7.34
4,5,300842,帝科股份,54.99,1.66,0.9,116625.0,635744800.44,4.84,55.79,53.17,54.18,54.09,9.32,21.49,4.62
5,6,600120,浙江东方,7.14,1.56,0.11,2619515.0,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
6,7,688019,安集科技,153.8,1.14,1.73,20985.0,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
7,8,300398,飞凯材料,16.52,0.43,0.07,268655.0,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
8,9,000969,安泰科技,13.26,-0.15,-0.02,694621.0,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
9,10,688605,先锋精科,72.5,-0.36,-0.26,22454.0,162936062.0,1.73,73.28,72.02,72.41,72.76,5.9,67.47,9.87
10,11,688072,拓荆科技,167.46,-0.68,-1.14,31059.0,522237539.0,3.67,171.5,165.31,168.7,168.6,2.0,68.04,8.76
11,12,600141,兴发集团,22.51,-0.84,-0.19,110667.0,249723073.0,2.42,22.9,22.35,22.61,22.7,1.0,14.17,1.18
12,13,300666,江丰电子,70.2,-0.99,-0.7,42714.0,299914880.83,1.86,70.93,69.61,70.71,70.9,1.94,46.47,4.15
13,14,688146,中船特气,29.24,-1.18,-0.35,27393.0,80820747.0,2.43,29.9,29.18,29.5,29.59,1.92,50.93,2.81
14,15,300390,天华新能,22.62,-1.22,-0.28,113701.0,258494027.3,2.75,23.1,22.47,22.83,22.9,1.69,15.26,1.58
15,16,688012,中微公司,191.24,-1.27,-2.46,62439.0,1203966432.0,2.97,196.2,190.45,193.2,193.7,1.0,73.18,6.03
16,17,603501,韦尔股份,136.0,-1.42,-1.96,134741.0,1832940852.0,2.88,138.66,134.68,138.3,137.96,1.11,52.22,7.38
17,18,603160,汇顶科技,76.2,-1.52,-1.18,50020.0,383698745.0,2.73,78.07,75.96,77.11,77.38,1.08,58.3,3.94
18,19,688126,沪硅产业,19.14,-1.54,-0.3,194641.0,371899112.0,2.57,19.4,18.9,19.33,19.44,0.72,-54.18,4.28
19,20,688652,京仪装备,60.55,-1.56,-0.96,18786.0,115532210.0,3.66,62.56,60.31,61.2,61.51,1.84,66.21,4.9
20,21,688549,中巨芯-U,7.96,-1.61,-0.13,108486.0,86894378.0,2.47,8.13,7.93,8.08,8.09,1.88,1154.07,3.88
21,22,603203,快克智能,25.48,-1.66,-0.43,29135.0,74491169.0,2.16,25.95,25.39,25.95,25.91,1.17,29.23,4.65
22,23,300346,南大光电,36.12,-1.66,-0.61,114277.0,414961249.1,2.61,36.9,35.94,36.74,36.73,2.09,58.74,6.23
23,24,300236,上海新阳,35.66,-1.68,-0.61,29766.0,106972923.6,2.45,36.46,35.57,36.09,36.27,1.07,64.59,2.51
24,25,300054,鼎龙股份,27.36,-1.69,-0.47,108043.0,297956400.34,2.87,28.06,27.26,27.75,27.83,1.48,51.16,5.91
25,26,688106,金宏气体,18.24,-1.78,-0.33,36346.0,66846433.0,3.07,18.67,18.1,18.5,18.57,0.75,43.81,2.83
26,27,002409,雅克科技,59.66,-1.78,-1.08,58126.0,351349148.58,2.98,61.47,59.66,60.56,60.74,1.82,28.44,3.91
27,28,688596,正帆科技,37.38,-1.84,-0.7,28293.0,106356975.0,2.34,38.19,37.3,37.99,38.08,0.97,20.68,3.13
28,29,300416,苏试试验,15.1,-1.88,-0.29,203658.0,310793587.2,4.35,15.67,15.0,15.3,15.39,4.03,39.34,2.96
29,30,002967,广电计量,19.08,-1.9,-0.37,49593.0,95437235.58,3.03,19.58,18.99,19.28,19.45,0.92,44.21,3.13
30,31,688469,芯联集成-U,5.01,-1.96,-0.1,541721.0,273222024.0,2.15,5.11,5.0,5.09,5.11,1.23,-36.58,2.87
31,32,600584,长电科技,36.26,-2.03,-0.75,312769.0,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
32,33,688432,有研硅,11.97,-2.13,-0.26,67736.0,81773640.0,2.7,12.26,11.93,12.21,12.23,1.33,64.12,3.44
33,34,688268,华特气体,46.6,-2.16,-1.03,12502.0,58713275.0,2.35,47.63,46.51,47.51,47.63,1.04,30.95,2.88
34,35,603324,盛剑科技,27.11,-2.17,-0.6,26255.0,71702138.0,3.03,27.79,26.95,27.5,27.71,1.76,33.14,2.45
35,36,300655,晶瑞电材,8.4,-2.21,-0.19,176601.0,149371009.24,2.56,8.6,8.38,8.59,8.59,1.75,10037.44,3.44
36,37,688981,中芯国际,91.2,-2.22,-2.07,365399.0,3348039981.0,2.23,92.98,90.9,92.98,93.27,1.84,196.79,4.91
37,38,605358,立昂微,24.26,-2.22,-0.55,79137.0,193197032.0,2.46,24.79,24.18,24.66,24.81,1.18,-224.79,2.18
38,39,600378,昊华科技,26.94,-2.36,-0.65,22534.0,61361948.0,3.01,27.72,26.89,27.5,27.59,0.25,30.62,2.05
39,40,002371,北方华创,418.8,-2.37,-10.16,54038.0,2272787141.14,4.08,431.65,414.15,429.5,428.96,1.01,37.58,7.7
40,41,603929,亚翔集成,33.53,-2.5,-0.86,34593.0,117209472.0,3.61,34.68,33.44,34.59,34.39,1.62,11.25,3.91
41,42,688233,神工股份,24.19,-2.7,-0.67,28850.0,70148214.0,3.34,24.89,24.06,24.89,24.86,1.69,99.6,2.3
42,43,688008,澜起科技,74.02,-2.78,-2.12,250379.0,1872391227.0,3.59,76.45,73.72,75.5,76.14,2.19,60.02,7.43
43,44,300623,捷捷微电,31.91,-2.86,-0.94,135080.0,435817208.54,2.95,32.85,31.88,32.69,32.85,1.9,59.87,4.38
44,45,600198,大唐电信,8.8,-2.98,-0.27,272803.0,242168769.0,3.2,9.06,8.77,9.06,9.07,2.1,-95.01,52.16
45,46,688123,聚辰股份,81.5,-3.15,-2.65,52125.0,426864292.0,2.61,83.2,81.0,82.5,84.15,3.3,44.39,5.81
46,47,603690,至纯科技,25.21,-3.19,-0.83,87460.0,222734828.0,2.96,25.9,25.13,25.9,26.04,2.28,37.61,1.94
47,48,688545,兴福电子,26.68,-3.23,-0.89,54168.0,146746149.0,3.81,27.72,26.67,27.5,27.57,7.92,60.42,3.41
48,49,603358,华达科技,38.79,-3.34,-1.34,48911.0,191042944.0,4.86,40.2,38.25,40.0,40.13,1.11,66.79,5.35
49,50,688361,中科飞测,85.92,-3.59,-3.2,43433.0,376973155.0,4.7,89.34,85.15,88.62,89.12,1.78,-2361.03,11.28
50,51,300567,精测电子,68.89,-3.64,-2.6,110070.0,772265909.77,4.85,72.15,68.68,71.01,71.49,5.43,172.26,5.4
51,52,600206,有研新材,17.16,-3.81,-0.68,448821.0,781620120.0,3.81,17.83,17.15,17.8,17.84,5.3,95.09,3.74
52,53,688508,芯朋微,50.02,-3.96,-2.06,38668.0,195625514.0,3.99,51.89,49.81,51.89,52.08,2.94,58.99,2.64
53,54,836208,青矩技术,35.01,-4.32,-1.58,20604.0,73357984.71,5.74,36.98,34.88,36.6,36.59,3.41,13.77,3.43
54,55,603078,江化微,17.4,-4.5,-0.82,113331.0,200567066.0,4.12,18.12,17.37,18.12,18.22,2.94,68.03,3.55
55,56,688107,安路科技,29.99,-4.52,-1.42,54931.0,166988191.0,4.55,31.41,29.98,31.29,31.41,1.37,-58.51,9.89
56,57,835179,凯德石英,30.48,-4.75,-1.52,30282.0,93619057.28,6.84,32.41,30.22,31.92,32.0,5.11,47.96,3.11
57,58,603633,徕木股份,8.59,-4.77,-0.43,186005.0,162100012.0,4.55,8.99,8.58,8.96,9.02,4.36,39.23,1.87
58,59,688138,清溢光电,26.68,-4.78,-1.34,50286.0,137407509.0,7.32,28.6,26.55,27.71,28.02,1.88,41.28,4.8
59,60,430139,华岭股份,25.8,-4.87,-1.32,85362.0,225203994.28,6.49,27.51,25.75,27.19,27.12,3.28,-350.46,6.32
60,61,300458,全志科技,54.43,-5.11,-2.93,434470.0,2404839548.15,5.11,57.25,54.32,56.78,57.36,8.39,206.81,11.48
61,62,600160,巨化股份,23.65,-5.51,-1.38,348582.0,846874048.0,5.87,25.12,23.65,25.0,25.03,1.29,38.08,3.74
62,63,002046,国机精工,17.53,-6.46,-1.21,598447.0,1081322172.38,6.78,18.8,17.53,18.69,18.74,11.38,34.47,2.69
63,64,300373,扬杰科技,,,,,,,,,,49.88,0.0,30.38,3.22
