,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300878,维康药业,17.99,12.09,1.94,110343,192621975.34,12.27,18.3,16.33,16.57,16.05,7.66,44.3,1.93
1,2,301331,恩威医药,28.13,11.27,2.85,116027,335278680.13,15.39,30.34,26.45,26.45,25.28,37.09,98.57,2.83
2,3,300108,*ST吉药,1.04,10.64,0.1,1161275,120854311.01,13.83,1.1,0.97,0.97,0.94,17.71,-2.25,-1.35
3,4,002907,华森制药,14.39,10.02,1.31,90885,130783845.97,0.0,14.39,14.39,14.39,13.08,2.94,60.43,3.63
4,5,603139,康惠制药,20.7,9.99,1.88,5261,10890270.0,0.0,20.7,20.7,20.7,18.82,0.53,-40.5,2.27
5,6,300519,新光药业,15.0,6.76,0.95,179631,270412845.64,8.68,15.88,14.66,14.66,14.05,15.74,47.64,2.93
6,7,002750,*ST龙津,1.67,5.03,0.08,228325,37801583.46,6.29,1.67,1.57,1.61,1.59,5.73,-53.76,1.33
7,8,000908,*ST景峰,4.84,4.99,0.23,544335,258318365.53,6.72,4.84,4.53,4.53,4.61,6.9,-65.42,-35.72
8,9,002872,ST天圣,4.38,3.06,0.13,31891,13775753.0,3.53,4.39,4.24,4.24,4.25,1.48,-28.74,0.68
9,10,600518,康美药业,2.22,2.3,0.05,4448366,992763621.0,3.69,2.28,2.2,2.25,2.17,3.27,4602.37,4.37
10,11,000955,欣龙控股,4.62,1.99,0.09,381788,178090364.17,8.17,4.9,4.53,4.55,4.53,7.1,-134.54,3.82
11,12,603811,诚意药业,8.77,1.98,0.17,216559,192843447.0,7.33,9.2,8.57,8.62,8.6,6.62,18.39,2.31
12,13,300039,上海凯宝,6.4,1.75,0.11,825320,539924585.39,6.36,6.8,6.4,6.59,6.29,9.0,23.13,1.74
13,14,000766,通化金马,17.86,1.65,0.29,223627,396370533.41,3.87,18.13,17.45,17.78,17.57,2.31,541.14,7.37
14,15,605199,葫芦娃,16.99,1.55,0.26,296414,515707486.0,8.73,18.3,16.84,17.51,16.73,7.41,60.78,5.89
15,16,300412,迦南科技,5.71,1.24,0.07,489905,282940743.3,6.21,5.95,5.6,5.6,5.64,10.36,78.57,2.7
16,17,600557,康缘药业,14.71,1.24,0.18,194610,288249533.0,3.79,15.15,14.6,15.0,14.53,3.44,17.59,1.63
17,18,000566,海南海药,5.08,1.2,0.06,376143,191224782.09,2.59,5.15,5.02,5.05,5.02,3.23,-16.75,3.73
18,19,600771,广誉远,18.11,1.06,0.19,151094,275491926.0,4.63,18.75,17.92,18.49,17.92,3.09,93.69,5.66
19,20,002864,盘龙药业,29.27,1.0,0.29,149545,452571127.99,9.08,31.68,29.05,30.5,28.98,20.21,26.05,1.94
20,21,002317,众生药业,11.32,0.8,0.09,289249,329322069.15,2.23,11.53,11.28,11.45,11.23,3.8,48.59,2.2
21,22,832566,梓橦宫,11.45,0.79,0.09,112892,134080802.45,9.07,12.4,11.37,12.2,11.36,10.09,14.42,2.14
22,23,300534,陇神戎发,9.0,0.78,0.07,511240,480489232.02,9.74,9.85,8.98,9.6,8.93,16.93,82.67,4.22
23,24,600750,江中药业,22.35,0.77,0.17,124476,276784660.0,3.16,22.68,21.98,22.52,22.18,1.98,17.84,3.64
24,25,600993,马应龙,24.72,0.73,0.18,88165,217572473.0,2.49,24.98,24.37,24.85,24.54,2.05,17.47,2.66
25,26,600436,片仔癀,206.02,0.69,1.41,38587,801214379.0,2.93,211.0,205.01,206.51,204.61,0.64,41.79,8.7
26,27,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
27,28,600381,ST春天,4.44,0.68,0.03,76803,33759251.0,3.4,4.46,4.31,4.42,4.41,1.31,-21.61,2.28
28,29,600272,开开实业,15.33,0.66,0.1,177364,276675456.0,3.55,15.86,15.32,15.39,15.23,11.09,80.74,6.02
29,30,600129,太极集团,22.05,0.64,0.14,228916,508262081.0,3.93,22.69,21.83,22.5,21.91,4.11,16.9,3.07
30,31,600085,同仁堂,36.9,0.63,0.23,137223,508609389.0,2.35,37.49,36.63,37.4,36.67,1.0,28.11,3.9
31,32,002349,精华制药,7.41,0.54,0.04,304717,228520719.57,3.93,7.67,7.38,7.6,7.37,3.74,27.55,2.38
32,33,002412,汉森制药,6.31,0.48,0.03,225866,144090540.73,3.5,6.51,6.29,6.46,6.28,4.54,18.21,1.51
33,34,600572,康恩贝,4.49,0.45,0.02,462787,209213018.0,2.91,4.59,4.46,4.55,4.47,1.8,16.78,1.73
34,35,300181,佐力药业,15.66,0.45,0.07,286973,455090608.22,4.11,16.22,15.58,15.97,15.59,4.77,21.76,3.96
35,36,600103,青山纸业,2.27,0.44,0.01,712342,161895786.0,2.65,2.31,2.25,2.26,2.26,3.22,44.23,1.3
36,37,688799,华纳药厂,40.25,0.42,0.17,13784,55585542.0,1.85,40.75,40.01,40.48,40.08,1.47,21.9,2.08
37,38,600252,中恒集团,2.45,0.41,0.01,789792,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
38,39,000078,海王生物,2.45,0.41,0.01,335805,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
39,40,603567,珍宝岛,11.18,0.36,0.04,115594,130797647.0,3.77,11.56,11.14,11.55,11.14,1.23,19.84,1.36
40,41,002275,桂林三金,14.08,0.36,0.05,48574,68659073.43,2.85,14.34,13.94,14.16,14.03,0.87,16.16,2.89
41,42,000650,仁和药业,5.61,0.36,0.02,386339,218680481.57,2.68,5.75,5.6,5.69,5.59,2.9,14.17,1.29
42,43,002589,瑞康医药,3.05,0.33,0.01,485584,149271773.1,2.63,3.12,3.04,3.06,3.04,3.56,88.7,0.84
43,44,300430,诚益通,21.89,0.32,0.07,355376,787773962.3,4.95,22.68,21.6,22.12,21.82,13.68,45.72,2.68
44,45,300026,红日药业,3.63,0.28,0.01,1175914,435582069.43,5.25,3.81,3.62,3.74,3.62,4.38,213.61,1.26
45,46,000513,丽珠集团,34.86,0.26,0.09,47780,166343282.82,1.27,35.04,34.6,34.87,34.77,0.82,14.24,2.24
46,47,688566,吉贝尔,22.95,0.26,0.06,11275,25791840.0,1.57,23.09,22.73,22.86,22.89,0.57,20.91,2.04
47,48,002107,沃华医药,4.74,0.21,0.01,141596,68470065.15,7.4,5.09,4.74,4.83,4.73,2.49,89.57,4.0
48,49,600671,ST目药,10.8,0.19,0.02,11945,12944289.0,3.9,11.02,10.6,11.02,10.78,0.98,-266.92,39.33
49,50,002566,益盛药业,7.18,0.14,0.01,78064,56647093.56,4.46,7.47,7.15,7.35,7.17,3.37,49.69,1.07
50,51,002728,特一药业,8.28,0.12,0.01,242312,203768363.07,3.99,8.6,8.27,8.5,8.27,6.47,527.8,2.43
51,52,000989,ST九芝,8.71,0.11,0.01,151828,132932660.45,3.1,8.88,8.61,8.85,8.7,2.19,23.27,1.97
52,53,603896,寿仙谷,20.89,0.1,0.02,51780,109775667.0,5.41,21.89,20.76,21.57,20.87,2.61,26.17,1.92
53,54,000538,云南白药,55.08,0.04,0.02,111967,619176791.69,1.53,55.77,54.93,55.5,55.06,0.63,17.04,2.56
54,55,000423,东阿阿胶,58.96,0.03,0.02,73547,436400624.63,2.19,60.0,58.71,59.21,58.94,1.14,24.39,3.68
55,56,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
56,57,300158,振东制药,4.22,0.0,0.0,571531,246930162.06,7.11,4.52,4.22,4.32,4.22,5.71,79.3,0.83
57,58,002737,葵花药业,18.29,0.0,0.0,82390,151714758.24,2.62,18.68,18.2,18.61,18.29,1.41,13.65,2.38
58,59,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
59,60,603858,步长制药,15.23,-0.07,-0.01,85309,130694628.0,2.49,15.53,15.15,15.41,15.24,0.77,40.38,1.51
60,61,600535,天士力,15.11,-0.07,-0.01,146297,221964909.0,3.17,15.45,14.97,15.36,15.12,0.98,23.62,1.95
61,62,600479,千金药业,10.4,-0.1,-0.01,118985,124773895.0,2.59,10.63,10.36,10.61,10.41,2.84,19.68,1.83
62,63,000705,浙江震元,8.22,-0.12,-0.01,133605,110484516.68,3.16,8.43,8.17,8.35,8.23,4.74,47.28,1.39
63,64,002644,佛慈制药,7.92,-0.13,-0.01,99759,80086347.4,4.16,8.21,7.88,8.12,7.93,1.95,77.63,2.29
