,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000779,甘咨询,11.97,10.02,1.09,740426,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
1,2,603949,雪龙集团,21.31,10.02,1.94,303167,626047286.0,9.45,21.31,19.48,21.31,19.37,14.42,75.7,4.48
2,3,603359,东珠生态,7.18,9.95,0.65,111710,80207737.0,0.0,7.18,7.18,7.18,6.53,2.5,183.49,0.97
3,4,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
4,5,300022,吉峰科技,7.47,8.89,0.61,488496,353936265.99,13.7,7.75,6.81,6.85,6.86,9.88,-114.99,6.78
5,6,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
6,7,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
7,8,300778,新城市,11.7,4.09,0.46,136353,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
8,9,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
9,10,600084,中信尼雅,5.89,3.15,0.18,69010,39885822.0,4.73,5.91,5.64,5.71,5.71,0.61,397.88,5.12
10,11,301027,华蓝集团,14.41,2.86,0.4,38179,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
11,12,603090,宏盛股份,22.9,2.78,0.62,85555,192490384.0,9.92,23.96,21.75,22.0,22.28,8.56,35.96,3.97
12,13,300844,山水比德,36.2,2.12,0.75,20487,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
13,14,605069,正和生态,9.7,2.0,0.19,161221,154580673.0,5.47,9.85,9.33,9.51,9.51,19.16,386.99,1.97
14,15,600208,衢州发展,3.2,1.91,0.06,2381153,764055868.0,5.41,3.29,3.12,3.13,3.14,2.8,10.3,0.62
15,16,601963,重庆银行,9.45,1.61,0.15,158144,149115014.0,2.26,9.5,9.29,9.35,9.3,0.84,6.42,0.62
