,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600965,福成股份,5.02,2.24,0.11,194066,96596153.0,3.67,5.05,4.87,4.91,4.91,2.37,79.5,1.91
1,2,688089,嘉必优,25.81,0.0,0.0,45966,117689664.0,3.68,25.95,25.0,25.59,25.81,2.73,35.15,2.79
2,3,605337,李子园,12.49,-0.4,-0.05,147860,184174867.0,4.7,12.87,12.28,12.29,12.54,3.75,23.5,3.0
3,4,300498,温氏股份,16.55,-0.48,-0.08,339074,563391665.42,1.86,16.79,16.48,16.57,16.63,0.65,11.91,2.69
4,5,002385,大北农,4.05,-0.49,-0.02,601495,244183984.28,1.47,4.09,4.03,4.06,4.07,1.71,97.86,2.11
5,6,002946,新乳业,14.57,-0.75,-0.11,87116,127700685.09,3.61,14.95,14.42,14.49,14.68,1.02,19.85,4.28
6,7,002557,洽洽食品,26.25,-0.91,-0.24,57210,150609195.33,1.81,26.58,26.1,26.44,26.49,1.13,15.58,2.38
7,8,600882,妙可蓝多,19.12,-1.04,-0.2,67685,129739689.0,2.54,19.44,18.95,19.22,19.32,1.32,86.17,2.22
8,9,600597,光明乳业,8.5,-1.05,-0.09,198667,169730646.0,1.75,8.62,8.47,8.55,8.59,1.44,75.52,1.34
9,10,001219,青岛食品,13.2,-1.27,-0.17,27992,37102644.01,1.87,13.4,13.15,13.33,13.37,1.47,22.29,2.53
10,11,600429,三元股份,4.39,-1.35,-0.06,160043,70473090.0,2.02,4.45,4.36,4.44,4.45,1.07,48.02,1.29
11,12,002458,益生股份,9.07,-1.41,-0.13,137800,125626290.09,2.61,9.26,9.02,9.08,9.2,1.84,19.61,2.24
12,13,600300,维维股份,3.42,-1.44,-0.05,665803,229243345.0,2.59,3.49,3.4,3.46,3.47,4.12,16.86,1.67
13,14,300858,科拓生物,12.84,-1.61,-0.21,38160,49299591.0,2.22,13.1,12.81,13.09,13.05,1.97,35.64,1.92
14,15,300898,熊猫乳品,31.05,-1.74,-0.55,141440,442781934.23,3.61,31.9,30.76,31.38,31.6,12.33,36.98,4.01
15,16,605179,一鸣食品,20.25,-1.79,-0.37,113527,230248951.0,2.86,20.59,20.0,20.18,20.62,2.83,165.02,7.36
16,17,002719,麦趣尔,8.18,-2.15,-0.18,130862,107444076.8,2.75,8.36,8.13,8.34,8.36,8.08,-12.28,3.86
17,18,605339,南侨食品,16.82,-2.32,-0.4,15272,25961584.0,2.44,17.24,16.82,17.22,17.22,0.36,35.44,2.07
18,19,600887,伊利股份,27.67,-2.33,-0.66,694402,1948893590.0,3.04,28.53,27.67,28.35,28.33,1.1,12.16,3.13
19,20,002910,庄园牧场,9.15,-2.45,-0.23,131234,120445083.42,2.35,9.33,9.11,9.3,9.38,7.67,-11.34,1.58
20,21,605388,均瑶健康,6.55,-2.82,-0.19,134521,89475885.0,4.15,6.83,6.55,6.68,6.74,2.24,59.69,2.08
21,22,600419,天润乳业,10.16,-2.96,-0.31,115798,119205885.0,3.63,10.49,10.11,10.4,10.47,3.62,109.56,1.37
22,23,300915,海融科技,34.8,-3.2,-1.15,21424,75295561.5,3.42,35.92,34.69,35.92,35.95,5.22,26.85,2.05
23,24,002732,燕塘乳业,16.53,-3.22,-0.55,67632,113682989.22,3.75,17.15,16.51,16.91,17.08,4.32,24.03,1.79
24,25,001318,阳光乳业,15.81,-4.24,-0.7,502326,838597277.19,12.3,17.54,15.51,16.51,16.51,65.19,39.21,3.25
25,26,300892,品渥食品,30.11,-4.75,-1.5,42036,130000229.0,6.49,32.05,30.0,31.81,31.61,6.51,-394.27,2.9
26,27,832786,骑士乳业,9.31,-5.19,-0.51,238462,226067883.88,5.6,9.82,9.27,9.52,9.82,21.78,-167.75,2.55
27,28,002329,皇氏集团,3.65,-5.44,-0.21,649837,241414620.15,4.92,3.83,3.64,3.76,3.86,9.86,-162.33,1.84
28,29,300106,西部牧业,10.01,-6.8,-0.73,373284,383864588.76,9.78,10.99,9.94,10.55,10.74,17.66,-38.15,4.23
29,30,002570,贝因美,4.94,-9.02,-0.49,2905974,1470062525.63,8.1,5.33,4.89,5.24,5.43,26.91,55.74,3.46
