,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
1,2,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
2,3,002168,ST惠程,2.52,-1.18,-0.03,280224,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
3,4,300770,新媒股份,39.17,-1.34,-0.53,21201,83424289.28,1.84,39.75,39.02,39.6,39.7,0.93,13.64,2.49
4,5,002425,ST凯文,2.26,-1.74,-0.04,205793,46810024.3,3.04,2.31,2.24,2.29,2.3,2.15,-16.95,0.63
5,6,002558,巨人网络,14.91,-1.78,-0.27,247304,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
6,7,002555,三七互娱,15.39,-1.79,-0.28,365326,566629157.68,2.81,15.77,15.33,15.64,15.67,2.28,13.46,2.7
7,8,300043,星辉娱乐,4.03,-1.95,-0.08,632196,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
8,9,300494,盛天网络,12.64,-2.02,-0.26,137422,175031027.96,2.87,12.95,12.58,12.88,12.9,3.45,1901.32,3.64
9,10,000727,冠捷科技,2.89,-2.03,-0.06,1146893,334086429.06,2.71,2.96,2.88,2.95,2.95,2.53,122.77,4.58
10,11,600640,国脉文化,12.58,-2.1,-0.27,68256,86553088.0,2.41,12.85,12.54,12.81,12.85,0.86,565.4,2.52
11,12,002174,游族网络,9.74,-2.11,-0.21,197566,194680683.69,3.82,10.09,9.71,10.08,9.95,2.16,1292.16,2.01
12,13,600850,电科数字,25.13,-2.22,-0.57,105008,266409356.0,2.61,25.77,25.1,25.58,25.7,1.71,42.76,3.74
13,14,688158,优刻得-W,27.47,-2.45,-0.69,409063,1140066803.0,5.15,28.68,27.23,27.86,28.16,10.17,-52.42,5.21
14,15,002517,恺英网络,16.1,-2.78,-0.46,412205,668812305.98,4.05,16.65,15.98,16.38,16.56,2.18,20.15,5.68
15,16,002624,完美世界,10.99,-2.92,-0.33,272719,302866325.4,4.06,11.4,10.94,11.26,11.32,1.49,-41.13,2.79
16,17,300556,丝路视觉,19.83,-3.17,-0.65,53163,106394151.0,3.42,20.4,19.7,20.4,20.48,5.17,-8.36,3.39
17,18,300459,汤姆猫,6.46,-3.44,-0.23,2097921,1375206424.21,4.48,6.73,6.43,6.66,6.69,6.39,203.97,6.82
18,19,300264,佳创视讯,5.7,-3.72,-0.22,185992,107394646.96,3.38,5.9,5.7,5.87,5.92,5.02,-55.46,47.28
19,20,300113,顺网科技,20.5,-3.85,-0.82,357720,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
20,21,002343,慈文传媒,7.02,-4.75,-0.35,344505,245490548.01,4.61,7.35,7.01,7.3,7.37,7.25,219.18,3.41
21,22,002602,ST华通,6.69,-4.84,-0.34,1620257,1099143866.07,4.98,7.03,6.68,6.98,7.03,2.36,20.74,1.92
22,23,301486,致尚科技,57.41,-4.92,-2.97,60474,351053223.85,5.32,60.21,57.0,60.0,60.38,7.66,92.8,2.98
23,24,300031,宝通科技,28.56,-5.65,-1.71,425652,1234821807.06,3.93,29.7,28.51,29.62,30.27,12.2,37.45,3.09
24,25,300148,天舟文化,4.54,-7.54,-0.37,982641,454116969.08,5.5,4.79,4.52,4.79,4.91,12.26,135.69,3.99
25,26,300134,大富科技,13.21,-8.77,-1.27,456514,614081528.09,4.97,13.9,13.18,13.88,14.48,6.41,-33.92,2.4
