,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
1,2,601128,常熟银行,7.26,-0.14,-0.01,255027.0,184797482.0,1.24,7.3,7.21,7.23,7.27,0.85,5.52,0.81
2,3,600551,时代出版,8.12,-0.25,-0.02,35893.0,29194672.0,1.6,8.21,8.08,8.15,8.14,0.53,15.79,0.97
3,4,600755,厦门国贸,6.48,-0.31,-0.02,122823.0,79814514.0,1.23,6.54,6.46,6.5,6.5,0.58,14.79,0.69
4,5,601169,北京银行,5.99,-0.83,-0.05,693686.0,416197400.0,1.32,6.05,5.97,6.02,6.04,0.33,4.61,0.48
5,6,300300,ST峡创,3.07,-0.97,-0.03,134430.0,41145219.4,2.58,3.11,3.03,3.06,3.1,2.02,-29.51,14.96
6,7,002926,华西证券,8.56,-1.95,-0.17,228588.0,196970226.86,2.98,8.76,8.5,8.68,8.73,0.87,66.32,0.98
7,8,603739,蔚蓝生物,12.96,-2.41,-0.32,43649.0,56867447.0,2.94,13.28,12.89,13.28,13.28,1.73,60.21,1.9
8,9,600693,东百集团,6.63,-2.79,-0.19,495276.0,328835329.0,3.08,6.76,6.55,6.75,6.82,5.7,50.62,1.64
9,10,300311,任子行,6.92,-3.49,-0.25,418358.0,291834192.19,3.77,7.15,6.88,7.15,7.17,7.78,-39.4,7.44
10,11,601519,大智慧,,,,,,,,,,9.01,0.0,-67.32,12.56
