,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
1,2,002342,巨力索具,6.39,7.39,0.44,3637474,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
2,3,000923,河钢资源,15.46,5.03,0.74,419294,641379923.39,6.39,15.65,14.71,14.71,14.72,6.68,13.1,1.05
3,4,600482,中国动力,23.4,3.54,0.8,616091,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
4,5,600965,福成股份,5.02,2.24,0.11,194066,96596153.0,3.67,5.05,4.87,4.91,4.91,2.37,79.5,1.91
5,6,600751,海航科技,3.0,2.04,0.06,1473050,446506693.0,6.8,3.11,2.91,2.94,2.94,5.72,58.41,1.17
6,7,300070,碧水源,4.85,1.89,0.09,677300,331434095.53,4.41,4.99,4.78,4.78,4.76,1.97,-306.98,0.65
7,8,000600,建投能源,5.8,1.75,0.1,540123,314332067.83,4.56,5.92,5.66,5.7,5.7,4.96,18.04,1.03
8,9,600258,首旅酒店,13.78,1.17,0.16,185126,253690281.0,2.2,13.83,13.53,13.56,13.62,1.66,15.96,1.32
9,10,000959,首钢股份,3.59,1.13,0.04,349650,125973643.68,2.82,3.64,3.54,3.54,3.55,0.54,102.77,0.56
10,11,601000,唐山港,4.19,0.96,0.04,522767,218968723.0,1.45,4.21,4.15,4.15,4.15,0.88,11.78,1.22
11,12,600082,海泰发展,3.13,0.64,0.02,108582,33864443.0,1.93,3.15,3.09,3.1,3.11,1.71,-31.32,1.18
12,13,601588,北辰实业,1.77,0.57,0.01,272702,48271820.0,2.27,1.79,1.75,1.77,1.76,1.03,-4.82,0.51
13,14,300334,津膜科技,6.5,0.46,0.03,131775,86605498.2,4.79,6.74,6.43,6.52,6.47,4.36,-123.91,3.54
14,15,000709,河钢股份,2.28,0.44,0.01,1238687,285353628.99,3.08,2.34,2.27,2.27,2.27,1.2,31.08,0.46
15,16,000897,津滨发展,2.4,0.42,0.01,343105,82106321.17,2.09,2.42,2.37,2.39,2.39,2.12,7.84,1.26
16,17,300332,天壕能源,5.29,0.38,0.02,318755,169772007.72,3.04,5.39,5.23,5.24,5.27,3.84,26.08,1.1
17,18,000778,新兴铸管,3.59,0.28,0.01,512387,184997666.28,1.96,3.64,3.57,3.57,3.58,1.32,22.07,0.55
18,19,600717,天津港,4.76,0.21,0.01,279978,133770123.0,1.89,4.81,4.72,4.74,4.75,0.97,13.86,0.71
19,20,000505,京粮控股,6.18,0.16,0.01,84405,52359086.0,1.94,6.27,6.15,6.17,6.17,1.33,120.97,1.43
20,21,000965,天保基建,3.14,0.0,0.0,168953,52929726.6,1.59,3.16,3.11,3.13,3.14,1.52,2936.38,0.64
21,22,000401,冀东水泥,5.11,0.0,0.0,113757,58354044.53,1.96,5.18,5.08,5.1,5.11,0.71,-34.33,0.48
