,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301136,招标股份,13.95,10.1,1.28,319982.0,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
1,2,002789,建艺集团,10.4,10.05,0.95,326840.0,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
2,3,603280,南方路机,28.0,10.02,2.55,92157.0,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
3,4,002829,星网宇达,22.73,10.02,2.07,239149.0,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
4,5,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
5,6,002553,南方精工,25.65,9.99,2.33,1186067.0,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
6,7,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
7,8,002713,东易日盛,7.05,9.98,0.64,49340.0,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
8,9,002115,三维通信,9.38,9.96,0.85,1694326.0,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
9,10,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
10,11,300810,中科海讯,44.9,7.96,3.31,293946.0,1305442153.84,15.2,47.88,41.56,41.56,41.59,25.79,-43.27,7.05
11,12,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
12,13,300081,恒信东方,8.84,6.38,0.53,1292921.0,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
13,14,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
14,15,300807,天迈科技,41.15,5.51,2.15,83334.0,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
15,16,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
16,17,600289,*ST信通,9.18,5.03,0.44,116981.0,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
17,18,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
18,19,000851,ST高鸿,2.74,4.98,0.13,589538.0,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
19,20,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
20,21,300157,新锦动力,4.01,4.7,0.18,1327674.0,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
21,22,688788,科思科技,70.64,4.48,3.03,31000.0,216670918.0,7.57,71.87,66.75,67.02,67.61,2.93,-26.38,3.45
22,23,300307,慈星股份,10.73,4.17,0.43,939319.0,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
23,24,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
24,25,301396,宏景科技,86.25,3.98,3.3,185315.0,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
25,26,002184,海得控制,15.43,3.7,0.55,574467.0,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
26,27,301231,荣信文化,24.35,3.62,0.85,58258.0,139358431.78,5.19,24.62,23.4,23.62,23.5,10.81,-61.7,2.33
27,28,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
28,29,300001,特锐德,25.19,3.32,0.81,481349.0,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
29,30,002609,捷顺科技,9.7,3.19,0.3,281162.0,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
30,31,301027,华蓝集团,14.41,2.86,0.4,38179.0,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
31,32,601900,南方传媒,15.11,2.51,0.37,93018.0,139252432.0,3.6,15.18,14.65,14.73,14.74,1.04,19.18,1.69
32,33,300096,ST易联众,3.91,2.36,0.09,119347.0,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
33,34,001230,劲旅环境,20.19,2.28,0.45,29024.0,58220047.89,4.56,20.5,19.6,19.69,19.74,5.37,17.7,1.48
34,35,301316,慧博云通,29.33,2.2,0.63,316593.0,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
35,36,600282,南钢股份,4.72,2.16,0.1,721608.0,345210086.0,4.76,4.85,4.63,4.65,4.62,1.17,12.87,1.12
36,37,300844,山水比德,36.2,2.12,0.75,20487.0,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
37,38,002444,巨星科技,29.19,2.03,0.58,221899.0,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
38,39,600345,长江通信,25.65,1.91,0.48,140316.0,360168537.0,4.37,26.18,25.08,25.2,25.17,6.63,127.36,2.45
39,40,300011,鼎汉技术,9.17,1.89,0.17,400742.0,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
40,41,300722,新余国科,30.92,1.88,0.57,234136.0,731731697.65,7.35,32.23,30.0,30.08,30.35,8.46,97.61,13.83
41,42,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
42,43,603486,科沃斯,65.11,1.8,1.15,99793.0,663286012.0,7.41,68.39,63.65,63.95,63.96,1.75,45.68,5.47
43,44,300296,利亚德,8.03,1.77,0.14,3531104.0,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
44,45,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
45,46,000035,中国天楹,4.98,1.63,0.08,582984.0,291680832.44,4.08,5.08,4.88,4.89,4.9,2.4,25.7,1.14
