,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601608,中信重工,5.26,10.04,0.48,1713251,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
1,2,002057,中钢天源,8.82,3.76,0.32,696511,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
2,3,600734,实达集团,5.04,1.82,0.09,1820817,893595531.0,8.48,5.1,4.68,4.92,4.95,8.4,225.3,25.6
3,4,301005,超捷股份,36.71,1.1,0.4,114558,418248760.26,5.7,37.37,35.3,36.17,36.31,8.65,145.66,6.46
4,5,300476,胜宏科技,85.16,0.54,0.46,543697,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
5,6,000157,中联重科,8.02,0.0,0.0,503751,405064088.34,2.49,8.15,7.95,8.0,8.02,0.71,16.63,1.22
6,7,603121,华培动力,19.95,-0.25,-0.05,220252,429991453.0,6.8,20.26,18.9,20.0,20.0,6.51,71.1,5.46
7,8,301099,雅创电子,51.0,-1.35,-0.7,52562,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
8,9,002006,精工科技,17.86,-1.6,-0.29,145998,265366194.96,4.63,18.68,17.84,18.05,18.15,3.21,95.33,4.13
9,10,302132,中航成飞,61.13,-1.69,-1.05,69586,429345766.36,2.54,62.66,61.08,61.6,62.18,1.18,1188.88,8.21
10,11,688165,埃夫特-U,30.23,-1.79,-0.55,201433,600554562.0,6.95,31.24,29.1,30.15,30.78,3.86,-108.28,9.6
11,12,601727,上海电气,7.94,-2.22,-0.18,1522651,1217082871.0,2.59,8.09,7.88,8.09,8.12,1.2,122.35,2.31
12,13,002180,纳思达,27.01,-2.24,-0.62,144714,393297561.28,2.71,27.65,26.9,27.45,27.63,1.06,50.28,3.83
13,14,002117,东港股份,13.75,-2.41,-0.34,338778,464139800.75,4.19,14.0,13.41,13.95,14.09,6.47,67.32,5.35
14,15,603920,世运电路,30.61,-2.45,-0.77,162042,498997862.0,4.11,31.57,30.28,31.26,31.38,2.25,34.2,3.57
