,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603231,索宝蛋白,16.65,3.29,0.53,71098,117287230.0,4.9,16.85,16.06,16.16,16.12,6.69,26.08,1.73
1,2,000518,四环生物,2.33,0.87,0.02,225903,52304113.66,2.6,2.35,2.29,2.31,2.31,2.19,-123.08,5.14
2,3,000895,双汇发展,25.98,0.23,0.06,104377,271969261.7,1.35,26.21,25.86,25.89,25.92,0.3,17.74,4.52
3,4,000990,诚志股份,7.63,-0.26,-0.02,109914,84186433.0,2.09,7.74,7.58,7.63,7.65,0.9,31.83,0.52
4,5,002303,美盈森,3.61,-0.28,-0.01,289232,104417592.8,2.49,3.66,3.57,3.6,3.62,3.64,18.95,1.25
5,6,603020,爱普股份,8.89,-0.45,-0.04,42827,38117183.0,1.79,8.99,8.83,8.89,8.93,1.12,28.73,1.07
6,7,605567,春雪食品,8.98,-0.88,-0.08,38166,34236668.0,1.88,9.07,8.9,9.06,9.06,1.91,564.89,1.67
7,8,002515,金字火腿,5.16,-0.96,-0.05,180880,93307129.02,2.11,5.21,5.1,5.18,5.21,1.56,156.96,2.41
8,9,300497,富祥药业,8.07,-0.98,-0.08,45239,36585331.66,2.7,8.24,8.02,8.17,8.15,1.0,-53.63,1.86
9,10,603182,嘉华股份,12.41,-1.04,-0.13,13315,16584859.0,1.99,12.61,12.36,12.54,12.54,1.43,20.03,1.96
10,11,300741,华宝股份,16.72,-1.12,-0.19,23426,39308825.48,2.66,17.01,16.56,16.9,16.91,0.38,43.11,1.44
11,12,002810,山东赫达,12.86,-1.53,-0.2,33366,43264348.0,2.22,13.13,12.84,13.0,13.06,1.04,16.95,2.1
12,13,300239,东宝生物,5.49,-1.79,-0.1,103307,57372330.0,2.86,5.63,5.47,5.6,5.59,1.75,36.88,1.92
13,14,003030,祖名股份,16.38,-1.92,-0.32,18199,29932120.0,2.46,16.7,16.29,16.59,16.7,2.25,-127.14,2.02
14,15,002481,双塔食品,5.09,-1.93,-0.1,180172,92259527.0,2.31,5.19,5.07,5.16,5.19,1.61,74.83,2.4
15,16,002582,好想你,9.74,-3.28,-0.33,377445,369406385.6,4.07,10.02,9.61,10.01,10.07,10.97,-54.38,1.23
16,17,600186,莲花控股,6.78,-3.42,-0.24,1707991,1171991980.0,4.42,7.07,6.76,6.95,7.02,9.56,55.24,7.09
17,18,600811,*ST东方,0.75,-5.06,-0.04,164088,12306600.0,0.0,0.75,0.75,0.75,0.79,0.45,15.68,0.16
18,19,300511,雪榕生物,4.89,-7.91,-0.42,698342,350288280.74,7.53,5.28,4.88,5.17,5.31,14.86,-12.33,1.76
