,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,300516,久之洋,39.5,7.16,2.64,126367,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
2,3,688187,时代电气,50.76,2.11,1.05,206694,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
3,4,832145,恒合股份,21.02,1.01,0.21,33531,67646504.43,7.74,21.18,19.57,20.1,20.81,7.48,-114.77,5.56
4,5,688623,双元科技,56.56,0.11,0.06,2605,14791620.0,3.1,57.75,56.0,56.5,56.5,1.4,38.59,1.57
5,6,600742,一汽富维,9.63,-0.1,-0.01,87077,83768642.0,1.35,9.69,9.56,9.63,9.64,1.17,13.39,0.85
6,7,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
7,8,603121,华培动力,19.95,-0.25,-0.05,220252,429991453.0,6.8,20.26,18.9,20.0,20.0,6.51,71.1,5.46
8,9,688172,燕东微,20.41,-0.39,-0.08,50127,101942749.0,2.83,20.68,20.1,20.31,20.49,0.86,-136.09,1.67
9,10,300259,新天科技,3.72,-0.53,-0.02,134597,50144205.6,2.14,3.77,3.69,3.73,3.74,1.15,28.25,1.53
10,11,300112,万讯自控,9.89,-0.6,-0.06,254001,255931926.0,7.04,10.41,9.71,9.94,9.95,10.69,-39.14,2.72
11,12,300667,必创科技,20.06,-0.69,-0.14,368180,762181483.47,8.91,21.51,19.71,20.2,20.2,21.33,-817.91,3.22
12,13,688539,高华科技,28.03,-0.81,-0.23,15418,42986260.0,2.05,28.24,27.66,28.1,28.26,1.5,87.51,2.99
13,14,300889,爱克股份,16.7,-0.95,-0.16,24363,40890376.0,2.61,17.07,16.63,16.95,16.86,2.49,-27.64,1.7
14,15,002214,大立科技,10.56,-1.22,-0.13,51437,54545739.4,2.62,10.78,10.5,10.7,10.69,1.07,-18.34,3.81
15,16,688208,道通科技,44.13,-1.28,-0.57,137928,613728418.0,5.57,46.07,43.58,44.91,44.7,3.05,31.14,5.61
16,17,688002,睿创微纳,60.37,-1.36,-0.83,53456,324363475.0,2.81,61.7,59.98,60.5,61.2,1.18,45.01,4.99
17,18,300286,安科瑞,23.81,-1.41,-0.34,50089,119142979.5,3.35,24.21,23.4,23.86,24.15,2.85,24.2,3.69
18,19,301388,欣灵电气,25.02,-1.42,-0.36,24079,60681522.0,3.51,25.77,24.88,25.5,25.38,8.8,180.74,2.66
19,20,603501,韦尔股份,136.0,-1.42,-1.96,134741,1832940852.0,2.88,138.66,134.68,138.3,137.96,1.11,52.22,7.38
20,21,603375,盛景微,40.3,-1.44,-0.59,43442,174916192.0,4.48,41.19,39.36,40.71,40.89,8.02,159.95,2.59
21,22,688511,天微电子,13.91,-1.49,-0.21,12433,17441093.0,2.83,14.29,13.89,14.08,14.12,1.21,-73.14,1.75
22,23,000901,航天科技,11.81,-1.5,-0.18,206401,246095907.42,2.17,12.05,11.79,11.94,11.99,2.59,-653.26,2.25
23,24,603160,汇顶科技,76.2,-1.52,-1.18,50020,383698745.0,2.73,78.07,75.96,77.11,77.38,1.08,58.3,3.94
24,25,600523,贵航股份,13.42,-1.54,-0.21,108887,146921251.0,2.49,13.7,13.36,13.64,13.63,2.69,30.54,1.77
25,26,302132,中航成飞,61.13,-1.69,-1.05,69586,429345766.36,2.54,62.66,61.08,61.6,62.18,1.18,1188.88,8.21
26,27,688728,格科微,15.06,-1.7,-0.26,85521,129585110.0,1.96,15.34,15.04,15.27,15.32,0.59,209.63,5.04
27,28,688661,和林微纳,48.6,-1.8,-0.89,31508,151942731.0,5.05,49.5,47.0,49.5,49.49,2.7,-645.97,4.7
28,29,002414,高德红外,8.24,-1.9,-0.16,343956,284802174.87,3.1,8.44,8.18,8.36,8.4,1.01,525.63,5.17
29,30,002138,顺络电子,29.92,-1.9,-0.58,129983,390423403.92,2.95,30.6,29.7,30.41,30.5,1.73,28.99,3.85
30,31,688469,芯联集成-U,5.01,-1.96,-0.1,541721,273222024.0,2.15,5.11,5.0,5.09,5.11,1.23,-36.58,2.87
31,32,002860,星帅尔,9.99,-1.96,-0.2,124505,125056579.78,2.85,10.25,9.96,10.13,10.19,3.79,17.6,1.68
32,33,000823,超声电子,11.0,-2.05,-0.23,182251,202012469.28,3.03,11.28,10.94,11.19,11.23,3.39,27.38,1.27
33,34,688396,华润微,45.79,-2.05,-0.96,60870,280656440.0,2.33,46.8,45.71,46.5,46.75,0.46,78.35,2.71
34,35,688689,银河微电,23.88,-2.17,-0.53,10189,24548735.0,2.74,24.45,23.78,24.22,24.41,0.79,44.14,2.31
35,36,002058,威尔泰,10.61,-2.21,-0.24,33303,35442660.0,3.32,10.87,10.51,10.81,10.85,2.33,-110.85,11.47
36,37,300349,金卡智能,13.98,-2.44,-0.35,101961,143829971.53,3.0,14.35,13.92,14.31,14.33,2.75,14.73,1.34
37,38,002655,共达电声,15.15,-2.45,-0.38,1402904,2163931601.76,13.01,16.47,14.45,14.85,15.53,38.98,70.04,8.21
38,39,605365,立达信,15.85,-2.52,-0.41,22174,35398486.0,2.46,16.18,15.78,16.16,16.26,0.44,21.4,2.17
39,40,603266,天龙股份,18.51,-2.53,-0.48,128000,237813122.0,4.69,19.15,18.26,18.92,18.99,6.44,33.44,2.5
40,41,002079,苏州固锝,10.27,-2.56,-0.27,177487,183940265.52,2.56,10.53,10.26,10.5,10.54,2.19,154.4,2.79
41,42,002241,歌尔股份,26.99,-2.56,-0.71,542249,1478896912.92,4.15,28.04,26.89,27.59,27.7,1.77,30.0,2.93
42,43,603662,柯力传感,71.45,-2.56,-1.88,123813,885073846.0,4.64,73.8,70.4,73.39,73.33,4.41,79.18,7.72
43,44,300897,山科智能,26.07,-2.58,-0.69,14103,37012365.32,2.77,26.65,25.91,26.35,26.76,2.24,30.55,2.63
44,45,688052,纳芯微,154.3,-2.72,-4.32,16753,259453736.0,5.49,161.5,152.79,158.62,158.62,1.79,-54.58,3.7
45,46,300514,友讯达,15.91,-2.81,-0.46,71507,114744785.0,3.18,16.33,15.81,16.28,16.37,4.51,14.99,3.17
46,47,002073,软控股份,9.76,-3.08,-0.31,469782,462730265.9,2.88,10.01,9.72,9.98,10.07,4.74,21.73,1.77
47,48,688296,和达科技,13.5,-3.09,-0.43,22956,31315287.0,5.74,14.09,13.29,13.86,13.93,2.14,276.13,2.08
48,49,688061,灿瑞科技,30.55,-3.11,-0.98,10674,32914207.0,3.24,31.43,30.41,31.3,31.53,2.47,-70.72,1.44
49,50,688582,芯动联科,58.2,-3.16,-1.9,54991,322977229.0,4.31,60.44,57.85,59.5,60.1,2.23,104.94,10.06
50,51,688380,中微半导,29.9,-3.27,-1.01,80382,244486697.0,3.85,31.09,29.9,30.8,30.91,5.44,88.51,4.0
51,52,002298,中电鑫龙,5.87,-3.29,-0.2,428172,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
52,53,603350,安乃达,38.64,-3.33,-1.33,36654,142795534.0,3.88,39.82,38.27,39.26,39.97,12.64,39.71,3.54
53,54,603118,共进股份,11.15,-3.38,-0.39,413434,465362321.0,2.95,11.48,11.14,11.45,11.54,5.25,480.63,1.74
54,55,300417,南华仪器,12.14,-3.42,-0.43,33926,41569247.06,4.22,12.6,12.07,12.6,12.57,3.9,66.2,3.53
55,56,300701,森霸传感,11.4,-3.47,-0.41,141144,162477130.93,3.98,11.81,11.34,11.8,11.81,5.76,65.58,3.44
56,57,688213,思特威-W,99.29,-3.61,-3.72,59143,594794726.0,4.97,103.8,98.68,102.49,103.01,1.83,102.0,9.42
57,58,603610,麒盛科技,12.57,-3.68,-0.48,118121,151880621.0,5.29,13.26,12.57,12.94,13.05,3.29,22.36,1.47
58,59,603986,兆易创新,123.61,-3.73,-4.79,166106,2077608093.0,3.86,128.13,123.18,127.0,128.4,2.51,73.98,5.13
59,60,600206,有研新材,17.16,-3.81,-0.68,448821,781620120.0,3.81,17.83,17.15,17.8,17.84,5.3,95.09,3.74
60,61,688665,四方光电,38.49,-3.94,-1.58,11474,44637790.0,4.37,39.95,38.2,39.3,40.07,1.15,36.59,3.77
61,62,300643,万通智控,14.44,-4.05,-0.61,68439,99871908.52,3.92,15.0,14.41,15.0,15.05,2.97,29.5,3.02
62,63,603005,晶方科技,30.73,-4.06,-1.3,249629,777892755.0,4.25,32.02,30.66,31.88,32.03,3.83,81.48,4.74
63,64,830879,基康仪器,15.82,-4.12,-0.68,22749,36788053.48,5.7,16.64,15.7,16.32,16.5,2.02,21.48,3.71
64,65,003005,竞业达,35.26,-4.21,-1.55,41979,149661616.65,3.67,36.52,35.17,36.45,36.81,5.69,179.58,3.12
65,66,688135,利扬芯片,19.23,-4.23,-0.85,42461,82894633.0,4.28,20.01,19.15,20.01,20.08,2.12,-62.68,3.43
66,67,301413,安培龙,94.81,-4.5,-4.47,26570,252480111.52,4.67,98.2,93.56,97.65,99.28,4.62,112.14,7.85
67,68,688458,美芯晟,36.74,-4.52,-1.74,24968,92650043.0,3.9,38.07,36.57,37.81,38.48,2.97,-61.31,2.17
68,69,300632,光莆股份,13.77,-4.57,-0.66,91076,126874958.68,4.71,14.41,13.73,14.26,14.43,4.12,43.95,2.35
69,70,301499,维科精密,28.58,-4.73,-1.42,54516,159268270.75,6.1,30.35,28.52,30.25,30.0,15.77,97.97,3.16
70,71,300279,和晶科技,6.8,-4.76,-0.34,183367,126510019.2,5.18,7.15,6.78,7.1,7.14,4.0,47.17,3.42
71,72,300354,东华测试,47.2,-4.84,-2.4,59216,283334817.0,6.05,49.94,46.94,48.91,49.6,7.29,49.44,8.89
72,73,603158,腾龙股份,10.33,-4.88,-0.53,401736,425183259.0,5.89,10.97,10.33,10.85,10.86,8.19,16.08,2.26
73,74,300557,理工光科,34.45,-4.94,-1.79,31559,110523379.75,4.86,36.2,34.44,36.09,36.24,3.45,89.55,3.28
74,75,300211,亿通科技,10.98,-5.43,-0.63,234093,261011199.79,4.48,11.5,10.98,11.5,11.61,7.84,-84.28,6.83
75,76,600480,凌云股份,18.0,-5.66,-1.08,469026,862806303.0,5.82,19.08,17.97,18.68,19.08,5.11,25.35,2.29
76,77,002937,兴瑞科技,20.76,-5.76,-1.27,88211,186556394.0,5.4,21.93,20.74,21.8,22.03,2.97,24.09,4.17
77,78,603197,保隆科技,44.48,-5.76,-2.72,57914,261327161.0,5.91,47.0,44.21,47.0,47.2,2.74,28.46,3.05
78,79,872374,云里物里,34.1,-5.78,-2.09,24327,84769625.41,6.6,36.49,34.1,35.73,36.19,7.2,92.76,10.95
79,80,688051,佳华科技,25.44,-5.78,-1.56,15073,38974211.0,6.11,26.97,25.32,26.83,27.0,1.95,-20.69,2.7
80,81,301488,豪恩汽电,68.85,-5.89,-4.31,21076,147571788.46,5.66,72.99,68.85,72.3,73.16,9.0,67.82,4.96
81,82,688322,奥比中光-UW,58.3,-5.97,-3.7,140867,832039176.0,4.82,60.99,58.0,60.7,62.0,5.48,-388.75,8.13
82,83,605488,福莱新材,47.9,-6.04,-3.08,77321,375536637.0,5.24,50.44,47.77,50.03,50.98,4.0,100.7,6.75
83,84,300445,康斯特,20.41,-6.16,-1.34,107399,223719135.3,5.06,21.48,20.38,21.44,21.75,7.56,36.37,3.75
84,85,688286,敏芯股份,73.59,-6.25,-4.91,19841,148021857.0,6.38,78.2,73.19,77.2,78.5,3.54,-118.07,4.01
85,86,300473,德尔股份,28.67,-6.34,-1.94,138536,405441196.78,5.72,30.41,28.66,30.31,30.61,9.23,134.45,2.78
86,87,300507,苏奥传感,8.52,-6.48,-0.59,706367,610582765.99,5.71,9.0,8.48,9.0,9.11,9.14,46.32,3.32
87,88,832491,奥迪威,30.38,-6.55,-2.13,76448,238102240.4,7.87,32.9,30.34,32.43,32.51,6.7,36.14,4.29
88,89,430556,雅达股份,10.23,-6.75,-0.74,87168,90990322.09,6.38,10.9,10.2,10.8,10.97,7.38,46.93,3.19
89,90,002456,欧菲光,13.11,-6.76,-0.95,2578825,3438507304.0,4.69,13.74,13.08,13.71,14.06,7.93,691.03,11.98
90,91,301008,宏昌科技,25.93,-7.06,-1.97,89012,239094199.9,7.03,27.88,25.92,27.02,27.9,9.19,49.79,2.7
91,92,300007,汉威科技,43.05,-7.32,-3.4,416065,1815630669.44,8.31,46.52,42.66,45.65,46.45,14.7,132.5,4.93
92,93,688595,芯海科技,40.55,-7.99,-3.52,61952,256836643.0,7.42,43.8,40.53,43.8,44.07,4.35,-33.84,7.63
93,94,832978,开特股份,22.38,-9.06,-2.23,70056,162456797.46,8.13,24.38,22.38,24.03,24.61,6.99,20.52,5.88
94,95,834407,驰诚股份,25.0,-9.16,-2.52,24816,64294429.51,10.94,27.9,24.89,27.69,27.52,9.63,63.32,6.25
95,96,603286,日盈电子,32.27,-9.99,-3.58,140441,464268083.0,10.13,35.9,32.27,35.9,35.85,12.29,294.13,4.33
