,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300108,*ST吉药,1.04,10.64,0.1,1161275,120854311.01,13.83,1.1,0.97,0.97,0.94,17.71,-2.25,-1.35
1,2,002554,惠博普,2.96,10.04,0.27,1084063,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
2,3,600759,洲际油气,2.54,9.96,0.23,5203959,1292524272.0,9.96,2.54,2.31,2.31,2.31,12.56,50.8,1.28
3,4,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
4,5,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
5,6,300301,*ST长方,2.04,6.81,0.13,364128,75105301.83,8.38,2.18,2.02,2.08,1.91,4.61,-33.91,31.4
6,7,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
7,8,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
8,9,002750,*ST龙津,1.67,5.03,0.08,228325,37801583.46,6.29,1.67,1.57,1.61,1.59,5.73,-53.76,1.33
9,10,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
10,11,000622,*ST恒立,2.81,4.85,0.13,163898,45587291.34,5.22,2.81,2.67,2.72,2.68,3.85,-55.27,7.17
11,12,600777,ST新潮,2.19,4.78,0.1,999507,218471842.0,1.44,2.19,2.16,2.17,2.09,1.57,6.76,0.69
12,13,300117,*ST嘉寓,0.89,4.71,0.04,613515,55159277.0,11.76,0.95,0.85,0.86,0.85,8.56,-2.31,-0.38
13,14,300208,*ST中程,2.29,4.57,0.1,299727,68210999.8,11.42,2.39,2.14,2.19,2.19,4.36,-9.75,-3.58
14,15,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
15,16,600871,石化油服,2.04,3.55,0.07,2391007,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
16,17,601106,中国一重,2.91,3.19,0.09,1212958,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
17,18,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
18,19,600569,安阳钢铁,1.95,2.63,0.05,584607,114422246.0,4.74,1.99,1.9,1.9,1.9,2.04,-1.93,1.5
19,20,002210,飞马国际,2.57,2.39,0.06,1639162,414558124.75,4.38,2.59,2.48,2.5,2.51,6.16,152.83,21.62
20,21,600518,康美药业,2.22,2.3,0.05,4448366,992763621.0,3.69,2.28,2.2,2.25,2.17,3.27,4602.37,4.37
21,22,600751,海航科技,3.0,2.04,0.06,1473050,446506693.0,6.8,3.11,2.91,2.94,2.94,5.72,58.41,1.17
22,23,600715,*ST文投,2.18,1.87,0.04,239273,51973267.0,3.27,2.21,2.14,2.14,2.14,0.9,-16.69,5.6
23,24,000898,鞍钢股份,2.53,1.61,0.04,688256,175169106.48,3.61,2.57,2.48,2.48,2.49,0.86,-3.5,0.48
24,25,000669,ST金鸿,1.95,1.56,0.03,131777,25796652.4,5.21,2.01,1.91,1.91,1.92,1.94,-10.45,8.5
25,26,600169,太原重工,2.73,1.49,0.04,950880,262482275.0,5.58,2.83,2.68,2.69,2.69,2.85,98.55,1.78
26,27,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
27,28,600117,西宁特钢,2.38,1.28,0.03,652108,155566838.0,3.83,2.43,2.34,2.36,2.35,2.0,-14.43,1.54
28,29,002256,兆新股份,2.46,1.23,0.03,536960,131560838.0,4.12,2.5,2.4,2.43,2.43,3.73,-40.44,4.11
29,30,002528,ST英飞拓,2.63,1.15,0.03,276229,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
30,31,002047,宝鹰股份,2.68,1.13,0.03,275578,73628550.9,4.53,2.72,2.6,2.63,2.65,1.82,-7.03,-21.24
31,32,600231,凌钢股份,1.83,1.1,0.02,279854,51485036.0,3.87,1.87,1.8,1.81,1.81,0.99,-2.87,0.88
32,33,601996,丰林集团,2.17,0.93,0.02,231026,50041481.0,2.79,2.19,2.13,2.14,2.15,2.06,-73.39,0.9
33,34,000518,四环生物,2.33,0.87,0.02,225903,52304113.66,2.6,2.35,2.29,2.31,2.31,2.19,-123.08,5.14
34,35,000609,*ST中迪,2.42,0.83,0.02,63898,15337153.0,2.5,2.44,2.38,2.38,2.4,2.2,-5.1,2.55
35,36,601866,中远海发,2.42,0.83,0.02,1208997,294307683.0,2.92,2.46,2.39,2.4,2.4,1.22,17.84,1.09
36,37,002638,勤上股份,2.43,0.83,0.02,442746,107009805.82,3.32,2.45,2.37,2.42,2.41,3.29,-62.82,1.43
37,38,600568,ST中珠,1.32,0.76,0.01,116331,15247602.0,1.53,1.32,1.3,1.3,1.31,0.7,-21.35,1.16
38,39,601518,吉林高速,2.79,0.72,0.02,232234,65038385.0,2.53,2.83,2.76,2.77,2.77,1.23,10.15,1.01
39,40,002471,中超控股,2.84,0.71,0.02,542986,155189632.7,3.55,2.89,2.79,2.8,2.82,4.16,-427.67,2.32
40,41,002377,国创高新,2.91,0.69,0.02,375722,110638928.64,5.19,3.01,2.86,2.89,2.89,4.14,-43.31,5.54
41,42,601880,辽港股份,1.54,0.65,0.01,1606306,248648309.0,3.27,1.57,1.52,1.52,1.53,0.86,29.2,0.92
42,43,601588,北辰实业,1.77,0.57,0.01,272702,48271820.0,2.27,1.79,1.75,1.77,1.76,1.03,-4.82,0.51
43,44,688538,和辉光电-U,2.25,0.45,0.01,770949,173526170.0,2.23,2.28,2.23,2.24,2.24,1.34,-12.38,3.1
44,45,000709,河钢股份,2.28,0.44,0.01,1238687,285353628.99,3.08,2.34,2.27,2.27,2.27,1.2,31.08,0.46
45,46,600103,青山纸业,2.27,0.44,0.01,712342,161895786.0,2.65,2.31,2.25,2.26,2.26,3.22,44.23,1.3
46,47,600726,华电能源,2.32,0.43,0.01,334677,77764717.0,2.6,2.35,2.29,2.31,2.31,1.22,30.39,4.52
47,48,601868,中国能建,2.31,0.43,0.01,3681949,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
48,49,000897,津滨发展,2.4,0.42,0.01,343105,82106321.17,2.09,2.42,2.37,2.39,2.39,2.12,7.84,1.26
49,50,002495,佳隆股份,2.46,0.41,0.01,340354,83648962.2,2.45,2.49,2.43,2.45,2.45,4.77,108.58,2.08
50,51,000078,海王生物,2.45,0.41,0.01,335805,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
51,52,600252,中恒集团,2.45,0.41,0.01,789792,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
52,53,600170,上海建工,2.54,0.4,0.01,1492594,381262487.0,2.37,2.58,2.52,2.53,2.53,1.68,12.53,0.73
53,54,000927,中国铁物,2.62,0.38,0.01,612817,160946846.69,1.92,2.65,2.6,2.61,2.61,1.01,27.19,1.7
