,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000753,漳州发展,5.04,10.04,0.46,1730304,848309603.92,11.14,5.04,4.53,4.56,4.58,17.45,76.06,1.84
1,2,002278,神开股份,11.29,10.04,1.03,1299283,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
2,3,000779,甘咨询,11.97,10.02,1.09,740426,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
3,4,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
4,5,300397,天和防务,15.2,7.19,1.02,1283913,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
5,6,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
6,7,300778,新城市,11.7,4.09,0.46,136353,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
7,8,300411,金盾股份,14.53,3.93,0.55,446201,643303210.55,7.01,14.68,13.7,13.88,13.98,14.56,214.26,6.19
8,9,600178,东安动力,14.28,3.7,0.51,804592,1120381992.0,12.2,14.83,13.15,13.53,13.77,17.25,-3156.33,2.64
9,10,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
10,11,300887,谱尼测试,9.05,2.61,0.23,403480,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
11,12,301073,君亭酒店,22.96,2.32,0.52,80615,182750464.86,3.92,23.03,22.15,22.35,22.44,7.18,182.84,4.62
12,13,300050,世纪鼎利,6.14,1.99,0.12,459234,274105343.0,5.81,6.15,5.8,6.03,6.02,8.43,-44.96,8.48
13,14,300607,拓斯达,36.13,1.83,0.65,516051,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
14,15,688636,智明达,40.18,1.21,0.48,41297,167888664.0,6.4,41.76,39.22,39.6,39.7,3.67,234.95,4.1
15,16,300989,蕾奥规划,16.18,1.06,0.17,79847,130458810.5,4.43,16.53,15.82,15.85,16.01,5.3,-95.45,3.39
16,17,833394,民士达,27.4,1.03,0.28,42700,117048487.55,4.13,27.98,26.86,27.03,27.12,8.9,39.86,5.6
17,18,002389,航天彩虹,21.23,0.95,0.2,201903,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
18,19,600720,中交设计,8.77,0.92,0.08,95372,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
19,20,688297,中无人机,43.91,0.85,0.37,73683,322305839.0,2.48,44.28,43.2,43.47,43.54,2.71,-549.73,5.21
20,21,300201,海伦哲,6.01,0.84,0.05,637992,382658977.44,4.19,6.12,5.87,5.93,5.96,6.35,34.18,4.26
21,22,600736,苏州高新,6.08,0.83,0.05,288652,173609593.0,3.98,6.15,5.91,6.05,6.03,2.51,22.15,0.94
22,23,300365,恒华科技,6.91,0.73,0.05,364903,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
23,24,603879,ST永悦,4.07,0.49,0.02,97704,39403723.0,3.7,4.11,3.96,4.05,4.05,2.72,-32.41,3.88
24,25,002765,蓝黛科技,16.07,0.44,0.07,1659055,2730151340.11,8.19,17.12,15.81,15.98,16.0,27.84,75.85,4.28
25,26,000733,振华科技,54.72,0.39,0.21,148765,820772173.0,4.62,56.32,53.8,54.04,54.51,2.69,35.29,2.1
26,27,000547,航天发展,7.69,0.39,0.03,324145,250802740.68,4.05,7.91,7.6,7.63,7.66,2.04,-16.53,1.95
27,28,300699,光威复材,33.54,0.3,0.1,209082,707800058.86,4.16,34.6,33.21,33.83,33.44,2.55,37.32,5.03
28,29,002438,江苏神通,12.35,0.16,0.02,213398,265875334.9,2.92,12.64,12.28,12.35,12.33,4.55,20.63,1.83
29,30,600576,祥源文旅,9.2,0.11,0.01,88675,82275071.0,3.48,9.42,9.1,9.18,9.19,1.34,66.04,3.49
30,31,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
31,32,600820,隧道股份,6.38,0.0,0.0,252627,162015136.0,1.88,6.48,6.36,6.38,6.38,0.8,10.03,0.69
32,33,600212,绿能慧充,8.87,0.0,0.0,249645,221308509.0,4.4,9.05,8.66,8.79,8.87,4.85,-1440.02,11.03
33,34,002544,普天科技,24.14,-0.08,-0.02,375304,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
34,35,000524,岭南控股,10.24,-0.1,-0.01,83944,85981552.0,1.85,10.33,10.14,10.25,10.25,1.25,38.06,3.05
35,36,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
36,37,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
37,38,605090,九丰能源,26.08,-0.27,-0.07,37064,96980273.0,1.38,26.33,25.97,26.13,26.15,0.58,8.22,1.85
38,39,300732,设研院,6.89,-0.29,-0.02,63621,43847858.9,1.88,6.96,6.83,6.88,6.91,1.97,-11.3,0.85
39,40,000561,烽火电子,8.63,-0.35,-0.03,180061,156180170.0,3.12,8.8,8.53,8.63,8.66,2.99,-66.69,2.85
40,41,002111,威海广泰,11.6,-0.43,-0.05,123737,143117749.67,2.92,11.74,11.4,11.62,11.65,2.59,35.91,2.01
41,42,688598,金博股份,30.92,-0.45,-0.14,95120,290004744.0,5.09,31.5,29.92,30.88,31.06,4.66,-8.14,1.21
42,43,603017,中衡设计,8.84,-0.45,-0.04,29614,26099921.0,1.69,8.9,8.75,8.83,8.88,1.07,27.36,1.65
43,44,003013,地铁设计,15.28,-0.52,-0.08,25928,39698383.0,1.69,15.45,15.19,15.27,15.36,0.65,15.78,2.45
44,45,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
45,46,600372,中航机载,11.96,-0.66,-0.08,374755,452646204.0,2.24,12.19,11.92,11.97,12.04,0.77,36.08,1.56
46,47,002625,光启技术,40.75,-0.71,-0.29,191782,783462968.2,1.34,41.2,40.65,40.93,41.04,1.08,122.61,9.99
47,48,002352,顺丰控股,42.73,-0.72,-0.31,156278,670942226.14,2.25,43.48,42.51,43.0,43.04,0.33,20.98,2.54
48,49,000089,深圳机场,6.72,-0.74,-0.05,97856,66083375.0,1.33,6.79,6.7,6.75,6.77,0.48,31.62,1.23
49,50,000768,中航西飞,25.64,-0.74,-0.19,301656,779318308.73,3.02,26.2,25.42,25.72,25.83,1.09,56.68,3.52
50,51,002151,北斗星通,26.54,-0.75,-0.2,68595,182998464.25,2.02,27.02,26.48,26.53,26.74,1.55,-169.76,2.63
51,52,688568,中科星图,57.95,-0.75,-0.44,66903,390036965.0,3.17,59.25,57.4,58.14,58.39,1.23,89.52,8.2
52,53,002985,北摩高科,24.3,-0.82,-0.2,34638,84694708.4,2.65,24.83,24.18,24.31,24.5,1.67,72.65,3.17
53,54,601698,中国卫通,20.33,-0.88,-0.18,345704,709113311.0,2.54,20.83,20.31,20.4,20.51,0.82,133.95,5.48
54,55,688648,中邮科技,24.43,-0.89,-0.22,10162,24931703.0,2.15,24.83,24.3,24.7,24.65,1.54,-22.15,2.13
55,56,688567,孚能科技,14.04,-0.92,-0.13,165965,235961235.0,5.29,14.7,13.95,14.47,14.17,1.36,-53.38,1.73
56,57,600879,航天电子,9.72,-0.92,-0.09,409702,402182892.0,2.65,9.96,9.7,9.75,9.81,1.24,42.81,1.55
57,58,600038,中直股份,37.01,-0.96,-0.36,73584,274282133.0,2.22,37.69,36.86,37.26,37.37,1.1,63.7,1.89
58,59,688066,航天宏图,21.13,-0.98,-0.21,158924,339266566.0,4.45,21.88,20.93,21.0,21.34,6.08,-3.86,5.62
59,60,000677,恒天海龙,4.01,-0.99,-0.04,283486,114611821.5,2.47,4.1,4.0,4.04,4.05,3.28,66.19,6.92
60,61,002436,兴森科技,13.04,-0.99,-0.13,718661,942956789.44,3.11,13.36,12.95,13.1,13.17,4.79,-522.89,4.35
61,62,600562,国睿科技,21.02,-1.04,-0.22,51793,109155878.0,2.92,21.43,20.81,21.22,21.24,0.42,53.16,4.55
62,63,688009,中国通号,5.61,-1.06,-0.06,365166,207122840.0,2.29,5.74,5.61,5.66,5.67,0.42,17.04,1.24
63,64,300227,光韵达,9.22,-1.07,-0.1,436720,409652001.44,5.47,9.62,9.11,9.2,9.32,10.58,105.49,2.87
64,65,300272,开能健康,6.49,-1.07,-0.07,92421,60051162.0,1.98,6.57,6.44,6.55,6.56,2.14,33.38,3.2
65,66,300690,双一科技,23.9,-1.08,-0.26,76772,185808798.0,4.06,24.78,23.8,24.0,24.16,6.97,46.19,2.73
66,67,603153,上海建科,18.81,-1.1,-0.21,25995,49062972.0,1.74,19.04,18.71,18.93,19.02,1.93,22.34,2.15
67,68,603357,设计总院,9.33,-1.17,-0.11,96243,90605250.0,2.44,9.54,9.31,9.41,9.44,1.75,12.48,1.47
