,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002086,东方海洋,3.76,9.62,0.33,4725647,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
1,2,688068,热景生物,91.33,4.12,3.61,32660,296952985.0,11.97,96.0,85.5,86.57,87.72,3.53,-47.12,2.74
2,3,688137,近岸蛋白,35.51,0.71,0.25,9082,32193659.0,2.64,35.67,34.74,35.32,35.26,2.78,-45.47,1.19
3,4,688393,安必平,36.07,0.22,0.08,39328,141652605.0,2.89,36.5,35.46,35.99,35.99,4.2,153.15,2.69
4,5,300832,新产业,60.05,0.2,0.12,24599,147007863.6,2.15,60.43,59.14,59.9,59.93,0.36,25.58,5.81
5,6,603658,安图生物,41.88,-0.26,-0.11,23753,99475201.0,1.64,42.19,41.5,41.88,41.99,0.42,18.77,2.85
6,7,002252,上海莱士,6.91,-0.58,-0.04,301405,208750501.0,1.29,6.98,6.89,6.95,6.95,0.45,18.72,1.47
7,8,603392,万泰生物,66.43,-0.67,-0.45,22854,152118833.0,1.58,67.16,66.1,66.87,66.88,0.18,236.38,6.76
8,9,688575,亚辉龙,16.72,-0.77,-0.13,37802,63386820.0,1.6,16.93,16.66,16.84,16.85,0.66,31.61,3.45
9,10,002432,九安医疗,41.44,-1.03,-0.43,48097,200278973.16,1.86,42.09,41.31,41.85,41.87,1.09,10.74,1.02
10,11,300298,三诺生物,23.81,-1.04,-0.25,44182,105490452.2,1.62,24.15,23.76,24.03,24.06,0.97,39.46,4.4
11,12,605369,拱东医疗,28.5,-1.08,-0.31,8872,25407339.0,2.01,28.97,28.39,28.79,28.81,0.56,23.82,2.7
12,13,688389,普门科技,15.37,-1.09,-0.17,66615,102677908.0,2.19,15.62,15.28,15.53,15.54,1.55,18.99,3.21
13,14,688399,硕世生物,70.33,-1.11,-0.79,5137,36137991.0,1.97,71.28,69.88,71.28,71.12,0.91,-1929.24,1.23
14,15,603387,基蛋生物,8.68,-1.14,-0.1,50575,44171745.0,2.16,8.83,8.64,8.8,8.78,1.0,16.32,1.7
15,16,688505,复旦张江,8.1,-1.34,-0.11,23932,19532491.0,1.95,8.26,8.1,8.19,8.21,0.34,211.31,3.64
16,17,300318,博晖创新,5.8,-1.36,-0.08,59436,34601666.0,2.38,5.91,5.77,5.86,5.88,0.74,149.83,3.4
17,18,300760,迈瑞医疗,240.5,-1.43,-3.48,49600,1202174321.08,2.31,245.88,240.25,243.62,243.98,0.41,20.56,7.86
18,19,002022,科华生物,5.98,-1.48,-0.09,66631,40116131.52,2.47,6.11,5.96,6.06,6.07,1.3,-18.89,0.79
19,20,688426,康为世纪,20.54,-1.49,-0.31,12420,25686149.0,2.73,20.97,20.4,20.59,20.85,3.27,-14.22,1.58
20,21,300482,万孚生物,23.48,-1.51,-0.36,49178,116105717.33,1.89,23.9,23.45,23.84,23.84,1.14,19.45,2.11
21,22,300003,乐普医疗,11.64,-1.52,-0.18,184939,216516326.42,2.12,11.85,11.6,11.78,11.82,1.14,20.45,1.4
22,23,300165,ST天瑞,3.18,-1.55,-0.05,108305,34500769.4,2.48,3.23,3.15,3.21,3.23,2.58,-172.74,1.14
23,24,300639,凯普生物,5.99,-1.64,-0.1,72956,43896327.54,2.3,6.11,5.97,6.06,6.09,1.15,-11.09,0.86
24,25,002932,明德生物,19.02,-1.65,-0.32,19022,36379252.97,2.22,19.39,18.96,19.24,19.34,1.22,40.98,0.75
25,26,300439,美康生物,11.12,-1.68,-0.19,43742,49001737.0,3.09,11.42,11.07,11.26,11.31,1.5,14.27,1.48
26,27,688338,赛科希德,24.97,-1.69,-0.43,8817,22189365.0,2.28,25.46,24.88,25.4,25.4,0.83,22.86,1.61
27,28,688298,东方生物,33.51,-1.7,-0.58,50368,171559787.0,4.4,34.91,33.41,34.09,34.09,2.5,-13.2,1.01
28,29,300206,理邦仪器,12.17,-1.7,-0.21,50229,61442476.0,2.26,12.41,12.13,12.35,12.38,1.48,30.78,3.5
29,30,002030,达安基因,6.16,-1.75,-0.11,181814,112781355.64,2.71,6.3,6.13,6.25,6.27,1.3,-12.9,1.04
30,31,300642,透景生命,15.15,-1.75,-0.27,34318,52283553.55,2.59,15.48,15.08,15.41,15.42,2.49,75.94,1.64
31,32,603718,海利生物,7.14,-1.79,-0.13,52290,37551648.0,2.34,7.27,7.1,7.26,7.27,0.81,174.64,3.69
32,33,300869,康泰医学,14.18,-1.8,-0.26,34190,48876655.0,2.49,14.5,14.14,14.42,14.44,1.36,431.51,2.99
33,34,603122,合富中国,7.23,-1.9,-0.14,52362,38123453.0,2.58,7.4,7.21,7.35,7.37,1.32,104.4,2.46
34,35,688317,之江生物,17.3,-1.93,-0.34,12926,22526488.0,2.1,17.62,17.25,17.58,17.64,0.67,-26.07,0.91
35,36,688217,睿昂基因,22.27,-1.94,-0.44,11099,24933119.0,2.69,22.82,22.21,22.74,22.71,1.99,-86.0,1.37
36,37,300289,利德曼,5.0,-1.96,-0.1,66838,33677889.0,2.55,5.11,4.98,5.08,5.1,1.23,1903.81,1.56
37,38,002643,万润股份,11.27,-2.0,-0.23,137128,155618828.0,2.17,11.49,11.24,11.45,11.5,1.51,26.56,1.49
38,39,688468,科美诊断,7.76,-2.02,-0.16,59673,46729711.0,3.03,7.98,7.74,7.95,7.92,1.49,24.51,2.2
39,40,002584,西陇科学,7.66,-2.05,-0.16,171499,132044459.45,2.56,7.82,7.62,7.76,7.82,3.97,52.38,1.95
40,41,603222,济民健康,6.64,-2.06,-0.14,87221,58230263.0,2.65,6.8,6.62,6.77,6.78,1.66,92.03,2.22
41,42,688075,安旭生物,40.13,-2.07,-0.85,6668,26931892.0,2.78,41.16,40.02,40.65,40.98,0.52,25.36,0.98
42,43,600645,中源协和,21.31,-2.07,-0.45,59560,127686704.0,2.85,21.8,21.18,21.73,21.76,1.27,56.02,2.76
43,44,688526,科前生物,15.03,-2.08,-0.32,21513,32582893.0,3.13,15.42,14.94,15.25,15.35,0.46,18.68,1.78
44,45,600079,人福医药,19.89,-2.16,-0.44,217778,435836495.0,3.0,20.42,19.81,20.36,20.33,1.41,15.32,1.82
45,46,301060,兰卫医学,10.29,-2.19,-0.23,53774,55717160.5,3.23,10.58,10.24,10.58,10.52,1.51,-76.16,2.38
46,47,300406,九强生物,16.04,-2.31,-0.38,51044,82412177.21,3.17,16.48,15.96,16.42,16.42,1.2,18.96,2.49
47,48,688767,博拓生物,37.96,-2.42,-0.94,12559,48585273.0,3.73,39.35,37.9,39.2,38.9,1.18,22.92,1.68
48,49,603882,金域医学,33.09,-2.45,-0.83,90928,303576264.0,3.51,34.19,33.0,33.83,33.92,1.98,122.52,2.06
49,50,300396,迪瑞医疗,15.65,-2.49,-0.4,48227,76323609.0,3.49,16.19,15.63,16.1,16.05,1.77,16.62,2.04
50,51,300018,中元股份,7.81,-2.86,-0.23,398635,313588342.71,3.36,8.04,7.77,7.99,8.04,10.46,42.35,2.94
51,52,300030,阳普医疗,6.01,-2.91,-0.18,66244,40219502.7,3.72,6.22,5.99,6.19,6.19,2.43,-32.78,2.73
52,53,002957,科瑞技术,17.47,-3.16,-0.57,130943,231373833.32,3.6,17.98,17.33,17.84,18.04,3.19,33.39,2.42
53,54,300109,新开源,16.73,-3.46,-0.6,170877,292762292.05,5.14,17.62,16.73,17.16,17.33,3.81,19.54,2.31
54,55,002980,华盛昌,28.2,-3.72,-1.09,60305,172013929.47,3.14,28.99,28.07,28.8,29.29,8.4,27.47,3.47
55,56,688301,奕瑞科技,105.88,-3.75,-4.12,16994,181144035.0,4.9,110.02,104.63,110.0,110.0,1.19,30.26,3.24
56,57,688253,英诺特,36.84,-3.94,-1.51,51305,190948852.0,6.1,38.8,36.46,38.2,38.35,7.46,20.46,2.52
57,58,300676,华大基因,55.97,-4.0,-2.33,97470,551277653.07,4.36,58.29,55.75,58.01,58.3,2.36,-140.58,2.37
58,59,688606,奥泰生物,72.11,-4.41,-3.33,8765,64378390.0,6.63,77.1,72.1,75.35,75.44,1.11,18.83,1.47
59,60,300244,迪安诊断,16.0,-4.48,-0.75,257530,418216936.48,4.0,16.65,15.98,16.64,16.75,5.14,57.31,1.42
60,61,688105,诺唯赞,22.56,-4.53,-1.07,27073,62214085.0,6.14,23.8,22.35,23.56,23.63,0.68,-527.76,2.27
61,62,603108,润达医疗,20.5,-4.61,-0.99,351783,732329728.0,4.28,21.39,20.47,21.27,21.49,5.83,184.06,2.88
62,63,300463,迈克生物,13.7,-4.66,-0.67,168600,234827583.48,5.64,14.44,13.63,14.36,14.37,3.43,22.37,1.28
63,64,688289,圣湘生物,22.76,-6.07,-1.47,165491,385888379.0,6.77,24.33,22.69,24.23,24.23,2.86,50.91,1.82
64,65,603716,塞力医疗,11.78,-6.95,-0.88,325527,386822181.0,8.61,12.72,11.63,12.66,12.66,17.04,-30.12,2.31
65,66,688656,浩欧博,88.98,-7.58,-7.3,7216,65837334.0,8.88,95.32,86.77,95.32,96.28,1.14,152.46,6.91
66,67,600538,国发股份,5.6,-8.65,-0.53,567242,323947198.0,11.09,6.2,5.52,6.15,6.13,10.82,-105.43,3.46
