,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300397,天和防务,15.2,7.19,1.02,1283913,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
1,2,000530,冰山冷热,6.35,4.27,0.26,1067472,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
2,3,000796,凯撒旅业,4.21,3.44,0.14,1318817,551308552.69,5.41,4.25,4.03,4.03,4.07,9.91,-278.87,7.86
3,4,002694,顾地科技,4.83,1.26,0.06,132559,64331973.8,6.08,5.0,4.71,4.77,4.77,2.4,-44.89,7.37
4,5,002701,奥瑞金,5.02,1.01,0.05,381881,192567955.61,3.82,5.14,4.95,4.97,4.97,1.49,12.66,1.41
5,6,600706,曲江文旅,10.92,0.83,0.09,97846,105751597.0,2.68,10.98,10.69,10.75,10.83,3.85,-11.55,4.75
6,7,001368,通达创智,23.56,0.68,0.16,45453,106075473.0,4.83,23.99,22.86,23.2,23.4,14.34,24.05,2.0
7,8,600018,上港集团,5.63,0.54,0.03,516429,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
8,9,002918,蒙娜丽莎,9.56,0.42,0.04,65377,62359886.0,1.58,9.62,9.47,9.48,9.52,2.98,21.18,0.96
9,10,002081,金 螳 螂,3.51,0.29,0.01,214431,75457559.38,2.0,3.55,3.48,3.49,3.5,0.81,14.94,0.69
10,11,600136,ST明诚,2.47,0.0,0.0,58726,14373094.0,1.62,2.47,2.43,2.47,2.47,0.3,-132.61,14.6
11,12,601718,际华集团,2.75,0.0,0.0,590906,163927721.0,2.55,2.81,2.74,2.74,2.75,1.35,-204.99,0.71
12,13,600684,珠江股份,3.53,0.0,0.0,178554,63299133.0,2.27,3.59,3.51,3.54,3.53,2.09,130.33,6.52
13,14,600749,西藏旅游,11.8,-0.08,-0.01,55273,65048144.0,1.61,11.87,11.68,11.8,11.81,2.44,100.21,2.55
14,15,000558,天府文旅,3.42,-0.29,-0.01,561563,192436543.39,3.5,3.49,3.37,3.4,3.43,4.36,-373.99,4.08
15,16,603558,健盛集团,10.32,-0.39,-0.04,45677,47165253.0,2.41,10.46,10.21,10.4,10.36,1.29,10.39,1.49
16,17,001300,三柏硕,12.59,-0.55,-0.07,38690,48897174.5,3.48,12.91,12.47,12.56,12.66,5.84,111.3,2.91
17,18,600881,亚泰集团,1.78,-0.56,-0.01,471011,83863167.0,1.68,1.8,1.77,1.79,1.79,1.45,-3.36,1.29
18,19,002035,华帝股份,7.46,-0.8,-0.06,110539,82731581.92,2.13,7.57,7.41,7.52,7.52,1.42,11.75,1.71
19,20,600060,海信视像,22.93,-0.82,-0.19,111789,256090214.0,3.46,23.43,22.63,23.06,23.12,0.86,17.13,1.59
20,21,600287,ST舜天,4.71,-0.84,-0.04,36250,17109028.0,3.16,4.8,4.65,4.73,4.75,0.83,27.1,0.99
21,22,600826,兰生股份,7.98,-0.87,-0.07,54199,43463235.0,2.24,8.13,7.95,8.06,8.05,0.74,21.75,1.51
22,23,002431,棕榈股份,2.1,-0.94,-0.02,199899,42322007.78,3.3,2.15,2.08,2.12,2.12,1.1,-4.87,1.44
23,24,000639,西王食品,3.04,-0.98,-0.03,328901,100343315.84,2.61,3.1,3.02,3.07,3.07,3.05,39.32,0.97
24,25,002346,柘中股份,11.66,-1.02,-0.12,30836,36003027.93,2.55,11.85,11.55,11.74,11.78,0.78,-26.16,1.92
25,26,600052,东望时代,4.45,-1.11,-0.05,63577,28471042.0,2.22,4.54,4.44,4.49,4.5,0.75,30.23,1.25
26,27,600637,东方明珠,7.82,-1.14,-0.09,283398,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
27,28,002168,ST惠程,2.52,-1.18,-0.03,280224,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
28,29,603908,牧高笛,24.84,-1.19,-0.3,23714,59034916.0,3.34,25.37,24.53,25.1,25.14,2.54,18.82,4.02
29,30,600768,宁波富邦,9.88,-1.2,-0.12,44623,44116254.0,4.0,10.13,9.73,9.9,10.0,3.34,-226.11,3.38
30,31,300999,金龙鱼,31.56,-1.22,-0.39,73894,235096940.34,2.07,32.19,31.53,31.83,31.95,1.36,68.39,1.83
31,32,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
32,33,300651,金陵体育,14.3,-1.24,-0.18,26499,37802057.0,2.62,14.49,14.11,14.49,14.48,3.53,63.4,2.36
33,34,002780,三夫户外,11.44,-1.29,-0.15,46102,52763942.0,2.67,11.65,11.34,11.64,11.59,3.53,157.91,2.59
34,35,605099,共创草坪,21.24,-1.3,-0.28,7355,15695526.0,1.86,21.52,21.12,21.34,21.52,0.18,16.25,3.22
35,36,002486,嘉麟杰,2.16,-1.37,-0.03,286390,62114950.0,2.74,2.21,2.15,2.18,2.19,3.46,78.81,1.7
36,37,605299,舒华体育,8.91,-1.44,-0.13,56384,50403382.0,2.21,9.05,8.85,9.0,9.04,1.37,40.6,2.86
37,38,000811,冰轮环境,12.81,-1.46,-0.19,263742,335481132.74,3.92,12.99,12.48,12.99,13.0,3.54,15.48,1.68
38,39,002858,力盛体育,12.15,-1.54,-0.19,68349,82909602.0,3.24,12.4,12.0,12.26,12.34,4.66,105.87,3.43
39,40,300994,久祺股份,13.12,-1.65,-0.22,63933,83257125.07,4.05,13.34,12.8,13.11,13.34,5.48,27.77,2.73
40,41,600158,中体产业,8.11,-1.7,-0.14,156679,127431169.0,1.33,8.2,8.09,8.16,8.25,1.63,251.97,2.99
41,42,603081,大丰实业,14.59,-1.75,-0.26,164824,235854743.0,6.46,14.78,13.82,14.78,14.85,4.06,85.13,2.08
42,43,300005,探路者,8.1,-1.82,-0.15,271492,223502617.9,3.64,8.37,8.07,8.18,8.25,3.07,52.76,3.43
43,44,002615,哈尔斯,8.09,-1.82,-0.15,77792,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
44,45,002098,浔兴股份,8.5,-1.85,-0.16,18335,15741550.2,2.89,8.72,8.47,8.66,8.66,0.51,13.29,2.35
45,46,300043,星辉娱乐,4.03,-1.95,-0.08,632196,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
46,47,301287,康力源,32.04,-1.96,-0.64,11488,37093513.0,2.05,32.68,32.01,32.51,32.68,6.75,37.41,1.93
47,48,833429,康比特,17.94,-2.02,-0.37,29657,53082528.41,4.48,18.31,17.49,18.25,18.31,2.62,18.72,2.6
48,49,002659,凯文教育,4.63,-2.32,-0.11,102599,47877505.0,2.53,4.73,4.61,4.73,4.74,1.71,-93.64,1.27
49,50,002400,省广集团,8.17,-2.39,-0.2,700809,576800674.57,2.75,8.38,8.15,8.34,8.37,4.06,117.1,2.9
50,51,605080,浙江自然,30.71,-2.41,-0.76,13900,42849002.0,4.13,31.7,30.4,31.7,31.47,0.98,20.03,2.16
51,52,300979,华利集团,63.02,-2.78,-1.8,25225,160751432.37,4.24,65.35,62.6,64.43,64.82,0.22,19.15,4.22
52,53,002395,双象股份,16.89,-2.82,-0.49,42367,72227700.2,2.76,17.33,16.85,17.22,17.38,1.58,41.24,4.66
53,54,603129,春风动力,178.87,-2.84,-5.23,16984,304932840.0,3.64,184.0,177.3,184.0,184.1,1.11,18.93,4.61
54,55,600814,杭州解百,8.22,-2.84,-0.24,148078,122379223.0,2.96,8.43,8.18,8.43,8.46,2.03,18.94,1.67
55,56,300133,华策影视,7.49,-2.98,-0.23,607059,460325849.49,3.11,7.72,7.48,7.68,7.72,3.74,64.25,2.01
56,57,300703,创源股份,14.71,-3.22,-0.49,45553,67917347.2,2.89,15.15,14.71,15.1,15.2,2.68,33.34,3.15
57,58,002181,粤 传 媒,5.64,-3.26,-0.19,243530,139011375.0,3.26,5.83,5.64,5.76,5.83,2.15,-129.13,1.58
58,59,002768,国恩股份,25.38,-3.31,-0.87,61923,159268457.98,4.57,26.45,25.25,26.25,26.25,3.5,11.27,1.44
59,60,300232,洲明科技,7.71,-3.38,-0.27,275455,214800776.43,3.38,7.95,7.68,7.94,7.98,3.11,49.41,1.75
60,61,300291,百纳千成,4.84,-3.39,-0.17,301103,147833747.0,3.99,5.02,4.82,5.0,5.01,3.24,-63.22,1.3
61,62,002587,奥拓电子,6.21,-3.57,-0.23,235159,147336962.93,4.04,6.43,6.17,6.41,6.44,4.56,-153.1,3.04
62,63,300162,雷曼光电,7.34,-3.93,-0.3,136917,101674194.0,4.19,7.64,7.32,7.62,7.64,4.02,-53.29,3.28
63,64,002599,盛通股份,10.79,-4.26,-0.48,359281,390023116.58,4.44,11.2,10.7,11.19,11.27,8.92,9620.0,4.02
64,65,600358,ST联合,3.58,-5.04,-0.19,567147,203299943.0,2.65,3.68,3.58,3.58,3.77,11.23,-49.13,14.85
65,66,002899,英派斯,25.03,-5.44,-1.44,68261,173253327.2,5.74,26.38,24.86,26.38,26.47,4.62,31.78,2.2
66,67,300819,聚杰微纤,28.5,-6.74,-2.06,128143,369880676.98,7.85,30.2,27.8,29.02,30.56,9.51,55.11,4.89
67,68,002105,信隆健康,9.71,-10.01,-1.08,555880,548659140.17,6.95,10.46,9.71,10.35,10.79,15.25,3199.9,3.97
