,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
2,3,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
3,4,688118,普元信息,26.6,5.14,1.3,76647.0,201063671.0,10.28,27.2,24.6,24.99,25.3,8.35,382.49,2.85
4,5,600289,*ST信通,9.18,5.03,0.44,116981.0,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
5,6,000851,ST高鸿,2.74,4.98,0.13,589538.0,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
6,7,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
7,8,688206,概伦电子,25.03,4.29,1.03,188349.0,465155713.0,7.88,25.5,23.61,24.21,24.0,10.63,-113.98,5.56
8,9,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
9,10,301396,宏景科技,86.25,3.98,3.3,185315.0,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
10,11,301299,卓创资讯,73.0,3.4,2.4,44951.0,324192095.27,6.97,74.12,69.2,70.0,70.6,12.76,62.4,7.48
11,12,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
12,13,600804,*ST鹏博,1.77,2.91,0.05,863849.0,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
13,14,301316,慧博云通,29.33,2.2,0.63,316593.0,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
14,15,300290,荣科科技,18.9,2.16,0.4,311267.0,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
15,16,300368,ST汇金,4.99,1.22,0.06,96625.0,48015603.0,2.84,5.04,4.9,4.92,4.93,1.83,-68.0,7.91
16,17,002528,ST英飞拓,2.63,1.15,0.03,276229.0,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
17,18,002771,真视通,18.64,0.87,0.16,169607.0,315592646.25,8.06,19.49,18.0,18.29,18.48,9.72,-127.15,6.06
18,19,000888,峨眉山Ａ,13.68,0.81,0.11,185062.0,251883454.48,2.65,13.77,13.41,13.41,13.57,3.51,22.16,2.74
